N	2gram	Bakhtin_Fr_6	Vladivir
1	и в	41	40
2	то что	10	28
3	не только	10	25
4	и не	3	25
5	у него	7	24
6	то есть	24	24
7	том что	7	18
8	в том	2	18
9	но и	13	18
10	еще и	1	18
11	также и	6	17
12	что в	7	17
13	в этом	12	16
14	в его	7	14
15	так что	2	14
16	не может	4	14
17	точки зрения	2	13
18	вовсе не	7	13
19	только в	3	13
20	в конце	2	12
21	а именно	2	12
22	сказать что	6	12
23	никогда не	8	11
24	потому что	3	11
25	таким образом	17	11
26	о том	9	11
27	в году	6	10
28	не просто	1	10
29	ни в	1	10
30	и его	13	10
31	то это	1	10
32	прежде всего	10	10
33	как раз	2	10
34	и потому	2	10
35	это есть	1	10
36	и то	2	9
37	уже не	1	9
38	что это	5	9
39	в себе	5	9
40	и с	16	9
41	в своей	2	9
42	не менее	1	9
43	есть только	3	9
44	что же	1	9
45	под названием	1	9
46	как мы	12	8
47	в своем	5	8
48	в этой	8	8
49	он не	2	8
50	не был	2	8
51	и что	5	8
52	а также	5	8
53	для него	1	8
54	может быть	2	8
55	а не	2	8
56	так же	5	8
57	хотя и	2	7
58	и как	4	7
59	и если	1	7
60	что все	2	7
61	с тем	1	7
62	как и	7	7
63	несмотря на	1	7
64	в то	6	7
65	там же	1	7
66	что и	1	7
67	того что	3	7
68	так как	10	7
69	вместе с	6	7
70	а в	4	7
71	и на	9	6
72	кроме того	9	6
73	то в	1	6
74	не мог	3	6
75	с точки	2	6
76	по себе	1	6
77	в смысле	1	6
78	во всем	5	6
79	и это	1	6
80	и от	4	6
81	так и	5	6
82	об этом	1	6
83	и здесь	1	6
84	и даже	4	6
85	xix века	1	6
86	да и	1	6
87	но это	3	6
88	мы уже	18	5
89	в ней	4	5
90	в истории	2	5
91	более или	1	5
92	все эти	11	5
93	можно было	1	5
94	же касается	1	5
95	или менее	1	5
96	но если	2	5
97	в отношении	1	5
98	дело в	1	5
99	тем что	5	5
100	для нас	2	5
101	ничего не	1	5
102	эти три	1	5
103	у нас	4	5
104	еще в	5	5
105	с другой	4	5
106	конце концов	1	5
107	что он	6	5
108	в одном	5	5
109	не было	1	5
110	в данном	3	5
111	между прочим	1	5
112	в самом	10	4
113	то же	5	4
114	что если	2	4
115	и о	1	4
116	еще не	1	4
117	но не	2	4
118	то он	2	4
119	все же	4	4
120	но в	8	4
121	есть все	1	4
122	было бы	3	4
123	чем в	1	4
124	в котором	4	4
125	даже в	4	4
126	не имеет	1	4
127	то время	1	4
128	в дальнейшем	2	4
129	в глаза	1	4
130	мог бы	1	4
131	никак не	3	4
132	утверждает что	1	4
133	если мы	2	4
134	здесь в	9	4
135	а с	1	4
136	говорит о	1	4
137	до конца	2	4
138	и все	9	4
139	него в	1	4
140	как это	2	4
141	по существу	1	4
142	в основном	1	4
143	в результате	4	4
144	есть и	2	4
145	на самом	1	3
146	на первом	1	3
147	здесь не	1	3
148	в чем	3	3
149	за пределы	2	3
150	перед нами	3	3
151	не удалось	1	3
152	и у	2	3
153	уже в	4	3
154	из этих	2	3
155	в нем	16	3
156	при этом	3	3
157	является не	1	3
158	но все	1	3
159	это было	2	3
160	это не	1	3
161	далеко не	1	3
162	первом плане	1	3
163	не больше	1	3
164	нисколько не	1	3
165	не столько	1	3
166	не в	4	3
167	этих трех	1	3
168	и против	1	3
169	того чтобы	4	3
170	тех кто	1	3
171	всякого рода	1	3
172	все то	5	3
173	в духе	3	3
174	жизнь и	1	3
175	и вообще	4	3
176	настоящее время	1	3
177	к нему	3	3
178	говорит в	1	3
179	что здесь	1	3
180	как нечто	1	3
181	и весьма	2	3
182	и тем	1	3
183	по этому	1	3
184	с одной	4	3
185	был бы	2	3
186	человека и	2	3
187	именно в	4	3
188	в связи	1	3
189	мы видели	2	3
190	и вовсе	2	3
191	подобного рода	1	3
192	одной стороны	4	3
193	как бы	7	3
194	и для	3	3
195	в настоящее	1	3
196	в трактате	2	3
197	вполне понятно	2	3
198	как на	1	3
199	в таком	1	3
200	в этот	1	2
201	сам по	1	2
202	эта речь	1	2
203	должна быть	2	2
204	с таким	1	2
205	и само	2	2
206	мы не	2	2
207	в сущности	8	2
208	не вполне	1	2
209	можно предполагать	1	2
210	он был	4	2
211	он сам	3	2
212	первый план	3	2
213	что его	1	2
214	данном случае	2	2
215	себе и	1	2
216	есть просто	1	2
217	и речи	1	2
218	природа в	1	2
219	как говорит	1	2
220	с этим	3	2
221	что касается	1	2
222	этом же	1	2
223	и наконец	4	2
224	и к	1	2
225	только то	1	2
226	абстрактных категорий	1	2
227	в которой	1	2
228	в целом	1	2
229	в нашем	1	2
230	если они	1	2
231	не как	1	2
232	работе о	1	2
233	и по	1	2
234	же не	1	2
235	в другом	4	2
236	нечего и	1	2
237	должен был	1	2
238	в жизни	1	2
239	но уже	2	2
240	были в	1	2
241	очень легко	1	2
242	на первый	3	2
243	в этих	2	2
244	и сейчас	2	2
245	в их	1	2
246	дается в	1	2
247	не понимает	1	2
248	на него	1	2
249	но только	1	2
250	же время	5	2
251	ровно ничего	1	2
252	был и	1	2
253	связи с	2	2
254	здесь же	2	2
255	были еще	2	2
256	не могут	2	2
257	и вполне	1	2
258	той или	1	2
259	не существует	1	2
260	взять его	1	2
261	роль в	4	2
262	здесь нет	1	2
263	три его	1	2
264	его в	1	2
265	бы в	2	2
266	и творческий	1	2
267	но с	2	2
268	он прошел	1	2
269	одной из	3	2
270	что даже	2	2
271	и так	1	2
272	он уже	1	2
273	мы будем	3	2
274	в начале	3	2
275	свидетельствует о	1	2
276	а то	1	2
277	из них	5	2
278	себе в	2	2
279	могло бы	1	2
280	мы находим	2	2
281	здесь и	8	2
282	только с	3	2
283	для того	1	2
284	же деле	1	2
285	и самая	2	2
286	в предисловии	1	2
287	самом же	1	2
288	которых мы	2	2
289	не на	2	2
290	что мы	2	2
291	но оно	3	2
292	к своему	1	2
293	в изображении	1	2
294	наряду с	1	2
295	думали что	1	2
296	стороны и	2	2
297	для понимания	1	2
298	в церкви	1	2
299	с этой	3	2
300	в книге	3	2
301	не является	1	2
302	которых он	1	2
303	этом отношении	3	2
304	все они	2	2
305	другой стороны	2	2
306	того же	4	2
307	к его	1	2
308	жизни а	1	2
309	из этого	4	2
310	с его	5	2
311	об этих	1	2
312	к этой	1	2
313	как известно	2	1
314	также что	3	1
315	например в	6	1
316	в сфере	1	1
317	до него	1	1
318	для выяснения	1	1
319	чтобы не	1	1
320	по адресу	1	1
321	мы здесь	1	1
322	сын и	1	1
323	тех же	2	1
324	это и	2	1
325	он хотел	1	1
326	из самых	2	1
327	отчетливо выражен	1	1
328	из его	1	1
329	и больше	1	1
330	самых существенных	1	1
331	из всех	1	1
332	для своего	1	1
333	правильного понимания	1	1
334	это совершенно	1	1
335	здесь уже	1	1
336	труды были	1	1
337	та же	4	1
338	трех основных	1	1
339	он как	1	1
340	есть нечто	2	1
341	всех теоретических	1	1
342	которого мы	1	1
343	принадлежит к	1	1
344	представление о	2	1
345	конечно и	4	1
346	из одной	1	1
347	и говорить	1	1
348	чрезвычайно мало	1	1
349	и мира	1	1
350	во всех	17	1
351	живых существ	1	1
352	сказать и	1	1
353	свою жизнь	1	1
354	в новом	2	1
355	и никак	1	1
356	связанного с	1	1
357	что дух	1	1
358	можно дать	1	1
359	нет и	1	1
360	что они	2	1
361	один и	1	1
362	к сожалению	1	1
363	в поисках	1	1
364	как в	4	1
365	с чисто	1	1
366	за этим	1	1
367	только ее	1	1
368	первых двух	1	1
369	что по	1	1
370	дело только	1	1
371	точку зрения	1	1
372	он в	2	1
373	бы не	1	1
374	думать что	1	1
375	дальнейшем на	1	1
376	им в	1	1
377	он делает	1	1
378	как он	2	1
379	так сказать	2	1
380	только чисто	1	1
381	эпохи возрождения	1	1
382	характерен для	1	1
383	перестает быть	1	1
384	именно то	1	1
385	что еще	1	1
386	в корне	2	1
387	и вот	1	1
388	божества в	1	1
389	их в	2	1
390	на земле	1	1
391	в плане	3	1
392	различие между	1	1
393	такого же	1	1
394	не за	1	1
395	конечно в	2	1
396	его не	1	1
397	была в	1	1
398	все признаки	1	1
399	на все	3	1
400	лишь в	2	1
401	второй половины	2	1
402	заключается в	2	1
403	с начала	1	1
404	мира с	1	1
405	было использовано	1	1
406	ведь в	1	1
407	знаком с	1	1
408	популярен в	1	1
409	в них	7	1
410	рядом с	5	1
411	эту тему	1	1
412	которой он	1	1
413	и прямо	1	1
414	обратимся к	1	1
415	были ему	1	1
416	тут нет	1	1
417	во время	9	1
418	и их	3	1
419	существенных сторон	1	1
420	мы встретились	1	1
421	просто в	1	1
422	никакому сомнению	1	1
423	место в	1	1
424	в которых	1	1
425	признать что	1	1
426	не раз	1	1
427	мир и	1	1
428	но эта	2	1
429	не будем	2	1
430	но он	5	1
431	земле и	1	1
432	его время	1	1
433	есть именно	2	1
434	только этого	1	1
435	говорит не	1	1
436	с такими	1	1
437	общего и	1	1
438	того кто	1	1
439	или если	1	1
440	этой работы	1	1
441	же мы	1	1
442	почти все	1	1
443	этой области	1	1
444	что с	1	1
445	одна из	1	1
446	что их	2	1
447	чтобы в	1	1
448	к этим	3	1
449	в основе	4	1
450	как здесь	1	1
451	можно судить	1	1
452	для всего	2	1
453	это мы	1	1
454	если кто	1	1
455	того как	1	1
456	он успел	1	1
457	и весь	1	1
458	же между	1	1
459	время к	1	1
460	если считать	1	1
461	того в	1	1
462	предполагать что	2	1
463	же года	1	1
464	ему и	1	1
465	перехода к	1	1
466	свидетельствуют о	1	1
467	до того	3	1
468	раз как	1	1
469	как будто	1	1
470	ему не	1	1
471	настоящего времени	1	1
472	в космосе	1	1
473	очень часто	1	1
474	исходить из	1	1
475	начиная с	2	1
476	которому принадлежал	1	1
477	его за	1	1
478	и другим	1	1
479	для его	2	1
480	и он	5	1
481	в последующие	2	1
482	индивидуальную жизнь	1	1
483	и действию	1	1
484	всем этим	1	1
485	всего этого	1	1
486	в ее	5	1
487	здесь также	1	1
488	нет никакой	1	1
489	в себя	1	1
490	говорится что	1	1
491	важен для	1	1
492	и сам	3	1
493	говорит на	1	1
494	и признаки	1	1
495	здесь он	3	1
496	те же	3	1
497	ясно что	1	1
498	особенно в	1	1
499	с самим	1	1
500	и каждый	1	1
501	отличается четкостью	1	1
502	том как	1	1
503	веры в	1	1
504	даны в	1	1
505	собой и	1	1
506	термином в	1	1
507	стремление к	1	1
508	и нужно	1	1
509	каждый раз	1	1
510	источников его	1	1
511	то они	1	1
512	и поэтому	1	1
513	внимание на	2	1
514	язык и	1	1
515	одного из	1	1
516	или на	1	1
517	на что	1	1
518	можно сказать	1	1
519	классическое выражение	1	1
520	основе своей	1	1
521	и были	1	1
522	входил в	1	1
523	доходит до	2	1
524	и во	2	1
525	говорить об	1	1
526	там и	2	1
527	а потому	1	1
528	отметить что	2	1
529	в глазах	1	1
530	вслед за	1	1
531	века и	1	1
532	том почему	1	1
533	если взять	1	1
534	видим что	1	1
535	в литературе	5	1
536	здесь от	1	1
537	куда входит	1	1
538	один из	6	1
539	также до	1	1
540	мы видим	6	1
541	и влияние	2	1
542	понятно и	1	1
543	словом и	1	1
544	по времени	1	1
545	бы его	1	1
546	это очень	1	1
547	когда эта	1	1
548	для нее	1	1
549	начало в	1	1
550	говорит только	1	1
551	их не	1	1
552	здесь с	1	1
553	не касается	1	1
554	хотя у	1	1
555	в эти	2	1
556	самом деле	4	1
557	в знаменитом	3	1
558	конечно не	3	1
559	литературы в	1	1
560	да еще	2	1
561	об его	1	1
562	поэтому его	1	1
563	него и	1	1
564	ii но	1	1
565	этому вопросу	1	1
566	в третьей	3	1
567	оно всегда	1	1
568	не дает	1	1
569	и других	1	1
570	в прославлении	1	1
571	земли и	4	1
572	с постоянными	1	1
573	притом не	1	1
574	на их	1	1
575	о каком	1	1
576	в последние	1	1
577	и др	10	1
578	возможно что	2	1
579	выходит за	3	1
580	или иной	1	1
581	и из	1	1
582	до сих	3	1
583	влияние на	1	1
584	однако что	1	1
585	о влиянии	1	1
586	что человек	2	1
587	подлежит никакому	1	1
588	по своим	1	1
589	к которому	1	1
590	и прежде	2	1
591	он это	1	1
592	на чем	1	1
593	во второй	1	1
594	такое же	1	1
595	в природе	1	1
596	всякого человека	1	1
597	себя и	1	1
598	что для	1	1
599	в некоторых	1	1
600	нужно сказать	2	1
601	был в	2	1
602	на этот	1	1
603	гибели в	1	1
604	и внешний	1	1
605	а так	1	1
606	конечно всегда	1	1
607	о чем	1	1
608	уверенность в	1	1
609	что из	1	1
610	и об	1	1
611	в частности	2	1
612	раз на	1	1
613	объединяет и	1	1
614	многие и	1	1
615	мы говорим	1	1
616	в строгом	1	1
617	было для	1	1
618	есть такое	1	1
619	из трактата	1	1
620	строгом смысле	1	1
621	он говорит	1	1
622	на эту	1	1
623	если человек	1	1
624	но этот	1	1
625	довлеет себе	1	1
626	в первой	3	1
627	исходя из	1	1
628	которым он	1	1
629	мы сказали	1	1
630	этого слова	1	1
631	слова и	1	1
632	нас интересует	1	1
633	конечно есть	1	1
634	и нет	1	1
635	которая здесь	1	1
636	сих пор	3	1
637	только для	1	1
638	все это	11	1
639	поэтому что	1	1
640	не исчерпывает	1	1
641	и часто	2	1
642	тем и	1	1
643	потому не	1	1
644	на небе	1	1
645	не подлежит	1	1
646	он чувствовал	1	1
647	мира и	2	1
648	между ними	3	1
649	тот кто	1	1
650	а к	1	1
651	служит и	1	1
652	у них	1	1
653	еще более	2	1
654	года в	1	1
655	разной степени	1	1
656	эти труды	1	1
657	самом себе	1	1
658	и необходимо	1	1
659	в словесном	1	1
660	даже при	1	1
661	это все	2	1
662	это вообще	1	1
663	в системе	1	1
664	состоит из	2	1
665	они были	3	1
666	природе и	1	1
667	для нашего	1	1
668	можно наблюдать	1	1
669	были и	1	1
670	в трех	1	1
671	сила и	2	1
672	будучи в	1	1
673	в действительности	1	1
674	жизни и	3	1
675	но эти	1	1
676	и другие	2	1
677	того времени	2	1
678	по поводу	1	1
679	все что	4	1
680	они не	3	1
