N	3gram	Berdyaev_O_1	Tragedij
1	униженные и оскорбленные	1	9
2	в записках из	3	2
3	преступлении и наказании	3	2
4	в преступлении и	3	2
5	бросается в глаза	1	2
6	между этими двумя	1	2
7	не в силах	1	2
8	о том что	1	2
9	и в самом	1	2
10	из мертвого дома	2	2
11	в том что	1	2
12	в этом мире	2	1
13	со злом в	1	1
14	в бесах есть	1	1
15	одно из самых	1	1
16	ивана карамазова в	1	1
17	это должно быть	1	1
18	и не может	1	1
19	сам по себе	1	1
20	не случайно достоевский	1	1
21	как это часто	1	1
22	и то что	1	1
23	в самой природе	1	1
24	записках из подполья	3	1
25	в виду не	1	1
26	во всяком случае	1	1
27	смысле этого слова	1	1
28	и не быть	1	1
29	и в этом	2	1
30	по сравнению с	1	1
31	то что достоевский	1	1
32	не могут быть	2	1
33	у достоевского не	1	1
34	по природе своей	1	1
35	бы и не	1	1
36	а это было	1	1
37	вместо того чтобы	1	1
38	не может быть	2	1
39	приходит в голову	1	1
40	ставрогина и в	1	1
41	и все же	1	1
42	как и все	2	1
43	его ума и	1	1
44	в другом разговоре	1	1
45	в самом деле	1	1
46	после того как	1	1
47	в братьях карамазовых	1	1
48	добро и зло	1	1
49	как и в	1	1
