N	3gram	Berdyaev_M_2	StatiiOP
1	в том что	2	11
2	не может быть	8	5
3	с точки зрения	1	4
4	в этом отношении	1	4
5	о том что	2	4
6	в конце концов	1	3
7	на то что	1	3
8	но это не	2	3
9	потому что он	2	2
10	может быть назван	2	2
11	но и в	1	2
12	до сих пор	3	2
13	что это за	1	2
14	и в этом	3	2
15	между тем как	1	2
16	у него есть	1	2
17	только тогда когда	1	2
18	к тому что	3	2
19	и всегда у	1	1
20	потому что в	1	1
21	а не в	2	1
22	и той же	2	1
23	но так как	1	1
24	как и всегда	2	1
25	на самом деле	1	1
26	тут у него	2	1
27	сойти с ума	1	1
28	для себя и	1	1
29	можно найти элементы	1	1
30	том что он	1	1
31	сам по себе	1	1
32	не может жить	1	1
33	на почве этого	1	1
34	но и это	1	1
35	его не интересовала	1	1
36	не потому что	1	1
37	у него было	1	1
38	его отношении к	1	1
39	и сам он	1	1
40	в этом направлении	1	1
41	ни на что	1	1
42	между народом и	1	1
43	на этом пути	2	1
44	нас не было	2	1
45	тем что выше	1	1
46	чем у пушкина	1	1
47	для того же	1	1
48	от того что	3	1
49	не означает что	1	1
50	его отношение к	4	1
51	и народ в	1	1
52	на протяжении всего	1	1
53	что у него	1	1
54	той или иной	1	1
55	одной и той	2	1
56	у нас не	2	1
57	для того чтобы	4	1
