N	2gram	Losev_Prob_2	IolandNe
1	и с	10	3
2	стр а	1	3
3	и не	37	2
4	в этом	17	2
5	оба они	1	2
6	он не	2	2
7	что в	11	2
8	самого себя	2	2
9	ничего не	10	2
10	бы что	2	2
11	же это	5	1
12	все это	4	1
13	и др	2	1
14	и тот	3	1
15	а для	1	1
16	и в	35	1
17	и о	4	1
18	я не	1	1
19	то и	4	1
20	то она	1	1
21	бы в	3	1
22	как только	3	1
23	многое другое	2	1
24	при такой	2	1
25	значительной мере	3	1
26	и со	1	1
27	с другой	6	1
28	и та	1	1
29	это было	2	1
30	а в	4	1
31	к нам	1	1
32	того что	12	1
33	стали бы	1	1
34	и без	5	1
35	как о	3	1
36	а с	1	1
37	другой стороны	5	1
38	и еще	1	1
39	не так	2	1
40	а также	2	1
41	нам в	2	1
42	в основе	3	1
43	что для	3	1
44	что при	4	1
45	в значительной	3	1
46	говорить о	10	1
47	и сам	2	1
48	есть только	8	1
49	а если	1	1
50	так и	7	1
51	бы его	2	1
52	от этого	1	1
53	того чтобы	2	1
54	во многом	1	1
55	никогда не	1	1
56	и очень	1	1
57	бы все	1	1
58	и ничего	2	1
59	тем что	4	1
60	в целом	3	1
61	и многое	1	1
62	по поводу	2	1
63	введение в	3	1
64	в них	2	1
65	все эти	7	1
66	но когда	1	1
67	и и	1	1
68	от нее	1	1
69	если бы	4	1
70	для того	3	1
71	другое дело	1	1
72	без этого	1	1
