N	2gram	Propp_Morf_1	Mirosoze
1	и в	13	46
2	у него	1	22
3	может быть	52	21
4	в этом	14	20
5	не только	4	18
6	и не	12	18
7	для него	1	18
8	но и	4	15
9	не может	14	15
10	как и	3	13
11	ведет к	1	13
12	а не	11	13
13	не есть	1	13
14	друг друга	3	12
15	прежде всего	9	12
16	потому что	3	12
17	но он	1	11
18	у нас	2	11
19	но в	2	10
20	та же	2	10
21	в себе	1	10
22	он не	3	10
23	он был	1	9
24	не в	3	9
25	не знает	1	9
26	и есть	2	8
27	отношение к	1	8
28	так как	16	8
29	она не	2	8
30	как бы	3	8
31	но это	6	8
32	связана с	3	7
33	как в	3	7
34	и к	4	7
35	в нашем	3	7
36	в этой	2	7
37	хотя бы	4	7
38	и для	2	7
39	что он	4	7
40	вопрос о	7	6
41	там и	1	6
42	что это	1	6
43	в русской	1	6
44	он сам	1	6
45	и здесь	5	6
46	доходит до	1	6
47	так же	3	6
48	того что	3	6
49	и там	1	6
50	то же	7	5
51	друг к	2	5
52	совсем не	3	5
53	привести к	1	5
54	и вот	1	5
55	что она	2	5
56	к другу	2	5
57	в своей	1	5
58	во всем	1	5
59	и его	1	5
60	к тому	4	5
61	те же	1	5
62	это не	6	5
63	один из	5	5
64	в его	1	5
65	для того	2	5
66	то что	8	5
67	и все	1	5
68	также и	4	4
69	все ли	2	4
70	к чему	3	4
71	с его	2	4
72	нет в	1	4
73	том что	4	4
74	тому что	4	4
75	не имеет	2	4
76	того чтобы	3	4
77	только и	1	4
78	перед ним	1	4
79	должны быть	1	4
80	они и	3	4
81	так и	6	4
82	означает что	2	4
83	себя в	1	4
84	уже не	2	4
85	вопроса о	1	4
86	что и	7	4
87	они не	1	4
88	самого себя	2	4
89	т е	21	4
90	что в	8	4
91	смысле слова	4	3
92	это и	2	3
93	высшей степени	1	3
94	начала в	1	3
95	и на	1	3
96	в чем	1	3
97	и она	1	3
98	в россии	2	3
99	в каждом	1	3
100	не будет	1	3
101	и с	1	3
102	на все	1	3
103	его в	2	3
104	ни в	1	3
105	в них	1	3
106	в высшей	1	3
107	и тогда	1	3
108	можно ли	1	3
109	того как	2	3
110	себя и	2	3
111	момент в	1	3
112	не существует	3	3
113	в образе	4	3
114	если бы	2	3
115	о том	2	3
116	что они	2	3
117	в том	6	3
118	природой и	1	3
119	только в	2	3
120	не так	1	3
121	и никогда	1	3
122	тем что	4	3
123	от того	3	3
124	с другим	1	3
125	до сих	1	3
126	тех которые	1	3
127	и нет	1	3
128	сих пор	1	3
129	лишь как	1	3
130	теряет свою	1	3
131	сказать что	2	3
132	есть и	4	3
133	и за	2	2
