N	2gram	Losev_Vesc_1	Narrotol
1	не только	36	32
2	может быть	16	25
3	но и	18	23
4	в качестве	1	21
5	и не	29	20
6	и в	21	19
7	в том	8	18
8	в этом	4	17
9	не в	5	14
10	в частности	1	14
11	том что	8	14
12	тогда как	1	12
13	а не	19	12
14	то что	27	11
15	а в	4	11
16	точки зрения	5	10
17	не может	17	10
18	при этом	1	9
19	так и	3	9
20	в его	2	9
21	со стороны	5	9
22	в себе	14	8
23	с другой	6	8
24	не является	1	8
25	еще не	8	7
26	все же	4	7
27	времени и	1	7
28	как и	8	7
29	к тому	3	7
30	а также	1	7
31	с одной	3	7
32	одной стороны	3	7
33	с его	1	6
34	но не	5	6
35	точка зрения	1	6
36	в той	3	6
37	то в	4	6
38	тем самым	1	6
39	в себя	13	6
40	о том	6	6
41	что он	1	6
42	именно в	1	6
43	как это	2	6
44	но в	5	6
45	между двумя	1	5
46	не все	1	5
47	отличие от	1	5
48	отнюдь не	5	5
49	и как	8	5
50	уже не	9	5
51	в этой	3	5
52	тому же	1	5
53	далеко не	1	5
54	в отличие	1	5
55	по себе	13	5
56	в основе	3	5
57	и его	2	5
58	к себе	4	5
59	к нему	1	5
60	нуждается в	1	5
61	себя в	10	5
62	или иной	1	5
63	в данном	5	5
64	можно сказать	6	5
65	не предполагает	4	5
66	переход от	1	4
67	данном случае	2	4
68	то же	6	4
69	из которых	1	4
70	перед нами	2	4
71	в нем	2	4
72	в принципе	1	4
73	в силу	3	4
74	же не	1	4
75	и с	8	4
76	было бы	14	4
77	и тем	3	4
78	не мог	1	4
79	той или	2	4
80	не столько	1	4
81	о нем	1	4
82	одного из	1	4
83	основе своей	2	4
84	во втором	2	4
85	только в	14	4
86	хотя бы	6	4
87	у него	2	4
88	в особенности	1	4
89	что не	5	4
90	прежде всего	9	4
91	если не	3	4
92	как бы	12	4
93	да и	3	4
94	отличается от	7	4
95	же в	1	4
96	сказать что	17	4
97	другой стороны	2	4
98	это и	6	3
99	в первом	2	3
100	же как	1	3
101	в сущности	4	3
102	и он	1	3
103	в ней	12	3
104	может не	2	3
105	бы то	4	3
106	в ее	7	3
107	если в	1	3
108	что они	6	3
109	хотя и	4	3
110	когда он	1	3
111	что это	13	3
112	уже в	1	3
113	из этих	1	3
114	не есть	49	3
115	без чего	3	3
116	то ни	4	3
117	не будет	12	3
118	в третьем	1	3
119	ни в	1	3
120	тем не	3	3
121	не менее	3	3
122	в то	3	3
123	тем что	2	3
124	одна из	5	3
125	никогда не	2	3
126	на себя	1	3
127	по своей	2	3
128	этом отношении	1	3
129	могут быть	1	3
130	как мы	4	3
131	с ее	6	3
132	свою очередь	4	3
133	сводится к	2	3
134	то или	2	3
135	и самого	1	3
136	не с	7	3
137	мог бы	5	3
138	о ней	2	3
139	а именно	1	3
140	один из	3	3
141	но о	1	3
142	из них	4	3
143	не о	1	3
144	и даже	6	3
145	даже не	7	3
146	или иначе	4	3
147	не обязательно	1	3
148	в свою	4	3
149	а с	3	3
150	как будто	1	3
151	что в	9	3
152	будто бы	1	3
153	ни было	4	3
154	жизни в	1	3
155	жизни и	2	3
156	и потому	5	2
157	самом деле	4	2
158	к другому	1	2
