N	3gram	Losev_Dial_4	OGranits
1	с точки зрения	9	5
2	не может быть	6	4
3	есть прежде всего	3	3
4	вполне понятно что	1	3
5	что иное как	8	2
6	представим себе что	2	2
7	в зависимости от	1	2
8	в данном случае	1	2
9	не только его	1	2
10	с другой стороны	1	2
11	ничего общего с	2	2
12	есть не что	5	2
13	не что иное	8	2
14	в том что	9	2
15	тот же самый	1	1
16	что в этом	1	1
17	только потому что	1	1
18	в чем же	2	1
19	этой точки зрения	2	1
20	иметь в виду	2	1
21	в виду что	1	1
22	в нем только	1	1
23	равно как и	2	1
24	подобно тому как	4	1
25	выйти за пределы	3	1
26	должно было бы	1	1
27	и есть не	1	1
28	и не может	1	1
29	можно говорить о	1	1
30	в отличие от	1	1
31	и не мог	2	1
32	не было бы	1	1
33	нужно сказать что	1	1
34	в собственном смысле	2	1
35	ни о какой	1	1
36	с этой точки	2	1
37	и в области	1	1
38	то или иное	3	1
39	по себе а	1	1
40	ту или иную	2	1
41	для того чтобы	5	1
42	если бы мы	1	1
43	ничего общего не	2	1
44	не входит в	1	1
45	между собою и	1	1
46	тем не менее	2	1
47	и вместе с	1	1
48	мы собственно говоря	1	1
49	и как бы	1	1
50	в течение всей	1	1
51	в этот момент	1	1
52	в связи с	1	1
53	течение всего своего	1	1
54	а не как	1	1
55	само по себе	4	1
56	прежде всего в	1	1
57	что же такое	1	1
58	указать на то	1	1
59	математическую формулу можно	1	1
60	и если наконец	1	1
61	то же время	6	1
62	объект никогда не	1	1
63	но тем не	1	1
64	та или иная	2	1
65	хотя бы в	1	1
66	включает в себя	1	1
67	но в то	2	1
68	в течение всего	2	1
69	на то что	3	1
70	в то же	6	1
71	тех или иных	1	1
72	теперь мы можем	2	1
73	общего не имеет	1	1
