N	4gram	Tiupa_Lite_3	Psycholo
1	с этой точки зрения	1	4
2	потому не может быть	1	2
3	с таким расчетом чтобы	1	2
4	таким расчетом чтобы вызвать	1	2
5	и в самом деле	2	2
6	и тем не менее	1	1
7	с одной стороны и	2	1
8	психологическое исследование искусства всегда	1	1
9	производилось в одном из	1	1
10	в одном из двух	1	1
11	всегда производилось в одном	1	1
12	организованных с таким расчетом	1	1
13	направлений либо изучалась психология	1	1
14	либо изучалось переживание зрителя	1	1
15	двух направлений либо изучалась	1	1
16	в том числе и	2	1
17	и потому не может	1	1
18	не что иное как	1	1
19	изучалось переживание зрителя читателя	1	1
20	искусства всегда производилось в	1	1
21	чтобы вызвать эстетическую реакцию	1	1
22	механизм действия художественного произведения	1	1
23	самый механизм действия художественного	1	1
24	состоит в том что	1	1
25	либо изучалась психология творца	1	1
26	исследование искусства всегда производилось	1	1
27	расчетом чтобы вызвать эстетическую	1	1
28	состоит в том чтобы	1	1
29	одном из двух направлений	1	1
30	из двух направлений либо	1	1
