N	2gram	Medvedev_I_1	Morfolog
1	и в	1	13
2	в этом	2	13
3	и др	1	12
4	так и	1	9
5	и не	2	9
6	с другой	1	8
7	по существу	1	8
8	а также	1	6
9	а в	1	6
10	тех же	1	4
11	следующим образом	1	4
12	на котором	1	4
13	ничего не	2	4
14	тем что	1	4
15	по отношению	1	4
16	другой стороны	1	4
17	а если	1	4
18	отношению к	1	4
19	что в	2	4
20	в целом	1	3
21	а по	1	3
22	того чтобы	1	3
23	если бы	1	3
24	он не	2	3
25	в руки	1	3
26	только что	1	3
27	а с	1	2
28	это было	1	2
29	для него	1	2
30	все эти	1	2
31	для того	1	2
32	с героем	1	2
33	того что	1	2
34	себя в	1	2
35	самого себя	2	2
36	свою жену	1	1
37	следовательно в	1	1
38	более чем	1	1
39	и дети	1	1
40	и тот	1	1
41	них не	1	1
42	этим и	1	1
43	нисколько не	1	1
44	могло бы	1	1
45	все это	1	1
46	видит в	1	1
47	и очень	1	1
48	точно и	1	1
49	исследователь должен	1	1
50	в основе	1	1
51	что при	1	1
52	то она	1	1
53	и с	3	1
54	и задача	1	1
55	после смерти	1	1
56	и многое	1	1
57	говорить о	1	1
58	со всеми	1	1
59	не дает	1	1
60	не так	1	1
61	и со	1	1
62	многое другое	1	1
63	то получается	1	1
64	о жизни	1	1
65	только для	1	1
66	бы в	1	1
