N	2gram	Propp_Isto_4	Morfolog
1	может быть	14	52
2	и т	27	49
3	т д	24	47
4	и пр	11	40
5	волшебного средства	1	21
6	таким образом	10	20
7	в сказке	47	19
8	не может	6	17
9	представляет собой	2	17
10	т е	18	16
11	в этих	7	16
12	могут быть	6	15
13	этих случаях	8	14
14	с этим	2	14
15	и в	26	13
16	в этом	7	13
17	эта форма	2	13
18	и др	5	12
19	так как	9	12
20	сказке №	1	11
21	связи с	3	11
22	волшебное средство	9	11
23	чаще всего	1	11
24	мы видим	6	11
25	перед нами	3	11
26	видим что	2	10
27	заметить что	1	10
28	представляют собой	4	10
29	прежде всего	1	9
30	так и	10	9
31	в связи	2	9
32	из дома	1	9
33	то же	8	9
34	этом случае	3	9
35	и не	9	9
36	мы имеем	7	9
37	не всегда	6	9
38	а не	6	9
39	а затем	3	8
40	при помощи	10	8
41	в результате	1	8
42	что и	9	8
43	ход действия	1	8
44	с другой	4	8
45	по существу	3	8
46	все же	9	7
47	в тех	4	7
48	вопрос о	4	7
49	или же	3	7
50	но если	1	7
51	и этим	2	7
52	в качестве	7	7
53	нет необходимости	3	7
54	хода действия	1	7
55	имеем в	2	7
56	в лес	3	7
57	и здесь	5	6
58	в форме	2	6
59	в иное	7	6
60	а в	8	6
61	но не	5	6
62	это не	5	6
63	не могут	2	6
64	в том	3	6
65	этот случай	9	6
66	во время	7	6
67	иное царство	6	6
68	подобно тому	1	6
69	а также	3	6
70	образом мы	1	5
71	не менее	2	5
72	или в	3	5
73	в распоряжение	1	5
74	здесь можно	2	5
75	мы не	1	5
76	во всех	1	5
77	наряду с	3	5
78	в образе	3	5
79	потому что	6	5
80	и другие	3	5
81	герой получает	4	5
82	не все	1	5
83	мы увидим	3	5
84	один из	1	5
85	этот момент	2	5
86	тому как	1	5
87	можно наблюдать	2	5
88	это явление	1	5
89	то что	16	5
90	иногда в	2	5
91	если мы	1	5
92	на коне	8	5
93	как бы	3	5
94	и затем	1	4
95	то мы	2	4
96	как мы	5	4
97	на его	3	4
98	очень часто	1	4
99	как и	7	4
100	на пути	1	4
101	видно что	1	4
102	о пощаде	3	4
103	так же	18	4
104	змея и	1	4
105	вовсе не	4	4
106	точки зрения	1	4
107	раньше чем	5	4
108	там где	3	4
109	на этом	2	4
110	в некоторых	5	4
111	на котором	3	4
112	если в	1	4
113	об этом	7	4
114	тем что	5	4
115	его в	9	4
116	показать что	1	4
117	героя а	2	4
118	тем не	2	4
119	что в	14	4
120	обращается в	1	4
121	распоряжение героя	1	4
122	хотя и	2	4
123	тех же	2	4
124	как в	7	4
125	в других	2	4
126	три года	4	4
127	трудных задач	1	4
128	ничего не	5	4
129	то это	5	4
130	наблюдать что	1	4
131	другой стороны	4	4
132	в сказку	7	4
133	в иных	1	4
134	д но	1	4
135	героя в	7	4
136	ложного героя	2	4
137	увидим ниже	1	4
138	герой и	2	4
139	было бы	2	4
140	он похищает	1	4
141	в точности	5	4
142	не только	15	4
143	и как	5	4
144	пр а	1	3
145	вступают в	2	3
146	для хода	1	3
147	если герой	2	3
148	то можно	1	3
149	в целом	2	3
150	что они	6	3
151	начинается с	2	3
152	и убивает	1	3
153	к нему	6	3
154	независимо от	1	3
155	рассматриваться как	1	3
156	от того	2	3
157	живые существа	1	3
158	у яги	5	3
159	целый ряд	1	3
160	то здесь	2	3
161	в то	1	3
162	же в	3	3
163	но все	5	3
164	очень многих	1	3
165	по функциям	1	3
166	ни в	2	3
167	между собой	1	3
168	в начале	1	3
169	к чему	1	3
170	но и	12	3
171	из которых	5	3
172	все функции	1	3
173	на него	3	3
174	случай мы	1	3
175	связана с	2	3
176	мы можем	6	3
177	мы должны	5	3
178	на нем	5	3
179	в руки	3	3
180	сам он	1	3
181	этого момента	1	3
182	только что	3	3
183	другие формы	1	3
184	если бы	2	3
185	можно ограничиться	1	3
186	друг друга	1	3
187	с того	3	3
188	в ход	1	3
189	а по	4	3
190	по воздуху	1	3
191	с собой	5	3
192	он не	7	3
193	со змеем	2	3
194	большей частью	3	3
195	здесь же	1	3
196	но в	5	3
197	обращаются с	1	3
198	он должен	3	3
199	и змей	1	3
200	и по	5	3
201	это уже	2	3
202	из них	2	3
203	в пределах	1	3
204	но это	3	3
205	руки героя	1	3
206	том что	3	3
207	сказке о	3	2
208	все эти	3	2
209	что сказка	1	2
210	функции выделены	1	2
211	бы они	1	2
212	момент в	1	2
213	можно указать	2	2
214	дает сказка	2	2
215	но есть	2	2
216	таких случаях	2	2
217	переходит на	1	2
218	так если	1	2
219	утверждать что	1	2
220	в другом	5	2
221	как их	1	2
222	о том	4	2
223	многих других	3	2
224	орел и	1	2
225	можно сказать	1	2
226	что эти	1	2
227	этом явлении	1	2
228	или не	1	2
229	этого не	2	2
230	перейти к	1	2
231	выдает себя	1	2
232	мотив не	1	2
233	испытание героя	1	2
234	есть нечто	1	2
235	время как	1	2
236	большинстве случаев	1	2
237	волшебного помощника	2	2
238	показать как	1	2
239	или просто	2	2
240	случаях когда	3	2
241	в виде	2	2
242	благодарные животные	5	2
243	пощаде и	1	2
244	по группам	1	2
245	в большинстве	1	2
246	право на	2	2
247	можно заметить	1	2
248	его и	2	2
249	к другой	1	2
250	хотя бы	2	2
251	что эта	3	2
252	поставить вопрос	2	2
253	с двумя	1	2
254	но здесь	1	2
255	как это	3	2
256	та же	1	2
257	от него	2	2
258	а на	4	2
259	превращаться в	1	2
260	и наоборот	2	2
261	есть специфические	1	2
262	с тем	2	2
263	камень и	1	2
264	здесь имеется	2	2
265	и только	5	2
266	одной из	1	2
267	иных случаях	1	2
268	путь к	1	2
269	из кольца	1	2
270	чтобы овладеть	1	2
271	с дарителем	1	2
272	чем это	1	2
273	того что	2	2
274	таких случаев	2	2
275	в таких	2	2
276	случае он	1	2
277	женится на	1	2
278	что ни	3	2
279	в нее	1	2
280	героя из	1	2
281	мачеха велит	1	2
282	можно вызвать	2	2
283	или на	2	2
284	сказку как	2	2
285	иную форму	1	2
286	из его	1	2
287	с героем	1	2
288	перед боем	1	2
289	однако в	2	2
290	и к	1	2
291	не имеет	3	2
292	играют в	1	2
293	бы составить	1	2
294	ни одной	2	2
295	средство а	1	2
296	на дороге	1	2
297	отсюда видно	1	2
298	можно установить	1	2
299	можно бы	1	2
300	и его	10	2
301	один раз	1	2
302	сказки а	1	2
303	или по	1	2
304	себя за	1	2
305	но эти	1	2
306	коня и	8	2
307	сказать что	2	2
308	по щучьему	1	2
309	а с	1	2
310	ясно что	1	2
311	просит не	1	2
312	с золотыми	3	2
313	и за	2	2
314	уже не	5	2
315	же функции	1	2
316	герой в	3	2
317	можно показать	2	2
318	от погони	3	2
319	и сказка	1	2
320	мы уже	5	2
321	дается в	1	2
322	животных и	1	2
323	он действует	1	2
324	или нет	1	2
325	живое существо	2	2
326	не от	1	2
327	когда герой	4	2
328	совершенно одинаково	2	2
329	и что	5	2
330	только в	3	2
331	и конь	2	2
332	на птице	2	2
333	в лесу	12	2
334	у нее	2	2
335	ни к	1	2
336	в различных	1	2
337	быть и	1	2
338	сказка знает	2	2
339	конь который	2	2
340	с этого	1	2
341	герой это	1	2
342	получает от	1	2
343	здесь не	4	2
344	в частности	2	2
345	есть и	2	2
346	ниже в	2	2
347	на друга	1	2
348	на берег	1	2
349	то время	1	2
350	помощи которой	2	2
351	велит зарезать	1	2
352	себя в	2	2
353	иначе чем	1	2
354	и функции	1	2
355	иные формы	1	2
356	эти функции	1	2
357	к этому	5	2
358	что он	10	2
359	к себе	3	2
360	и более	3	2
361	одному из	1	2
362	имеется в	2	2
363	точно так	5	2
364	а впоследствии	2	2
365	так например	2	2
366	друг на	1	2
367	по ночам	3	2
368	же происходит	3	2
369	этот вопрос	2	2
370	за другом	1	2
371	друг за	1	2
372	без всякой	1	2
373	тех случаях	2	2
374	что мы	3	2
375	и тогда	1	2
376	не знает	1	2
377	является в	1	2
378	д в	1	2
379	одна из	2	2
380	которое может	1	2
381	герою в	2	2
382	но для	2	2
383	способность превращаться	1	2
384	и при	3	2
385	или три	1	1
386	и тот	2	1
387	одной сказке	2	1
388	одним из	1	1
389	в брак	2	1
390	откуда они	1	1
391	о которых	1	1
392	и там	2	1
393	главным образом	2	1
394	по мосту	1	1
395	он бежит	1	1
396	в отдельности	2	1
397	или иное	1	1
398	существом которое	1	1
399	приводит к	1	1
400	и все	2	1
401	ни вздумать	1	1
402	или другие	2	1
403	но она	1	1
404	отца а	1	1
405	известным образом	1	1
406	часто встречается	1	1
407	и с	5	1
408	входить в	3	1
409	бы в	1	1
410	эту функцию	1	1
411	для нас	3	1
412	е мы	1	1
413	если с	1	1
414	как дарители	1	1
415	и вот	2	1
416	одно и	1	1
417	в последней	1	1
418	в главе	2	1
419	у царя	1	1
420	данном случае	3	1
421	они представляют	1	1
422	другие персонажи	1	1
423	тогда как	4	1
424	в него	1	1
425	должны быть	1	1
426	талисманы и	2	1
427	просто отмечаем	1	1
428	из волшебной	1	1
429	но он	4	1
430	говорилось выше	1	1
431	бы на	1	1
432	мокнут под	1	1
433	для исследователя	1	1
