N	2gram	Bakhtin_Pr_1	EvropaiC
1	таким образом	12	32
2	в том	8	31
3	и в	29	24
4	том что	7	20
5	все эти	9	19
6	не может	12	18
7	то что	15	17
8	может быть	24	15
9	все же	9	15
10	точки зрения	19	13
11	самом деле	6	12
12	в своем	8	12
13	до сих	2	12
14	в этом	22	12
15	сих пор	2	12
16	с этим	2	11
17	между тем	5	11
18	все это	6	11
19	во всех	1	10
20	по отношению	8	10
21	так и	7	10
22	как бы	19	10
23	отношению к	8	10
24	все что	3	10
25	при этом	2	9
26	как и	12	9
27	с другом	1	9
28	друг с	2	9
29	в результате	4	9
30	что в	8	9
31	а и	1	8
32	в самом	10	8
33	с точки	13	8
34	не в	7	8
35	если бы	9	8
36	так же	6	8
37	и все	1	8
38	на самом	5	7
39	из этих	1	7
40	из элементов	1	7
41	или менее	1	7
42	по существу	3	7
43	того чтобы	1	7
44	к тому	1	7
45	для этого	1	7
46	о том	1	7
47	и что	2	7
48	что он	8	7
49	для того	1	7
50	но и	14	7
51	и не	31	7
52	более или	1	7
53	должна быть	5	6
54	еще не	5	6
55	и на	7	6
56	тогда как	1	6
57	что касается	1	6
58	в этой	4	6
59	в мире	6	6
60	в сознании	2	6
61	несмотря на	6	6
62	с ним	5	6
63	что и	4	6
64	того что	1	6
65	только в	10	6
66	все они	1	6
67	так что	2	6
68	так как	6	6
69	с другой	3	6
70	отличается от	3	6
71	у них	1	6
72	как на	3	6
73	из всех	1	5
74	как к	3	5
75	и к	2	5
76	но в	7	5
77	в которой	2	5
78	что это	1	5
79	в целом	6	5
80	в себе	7	5
81	не только	15	5
82	и если	1	5
83	но все	5	5
84	не будет	1	5
85	что все	1	5
86	и с	4	5
87	лишь в	1	5
88	его в	6	5
89	между собою	1	5
90	так называемого	1	5
91	в то	10	5
92	как будто	3	5
93	по сравнению	1	5
94	в его	24	5
95	потому что	8	5
96	и их	1	5
97	у него	5	5
98	именно в	5	5
99	далеко не	3	5
100	ничем не	1	5
101	другой стороны	3	5
102	сравнению с	1	5
103	быть и	1	5
104	и для	4	5
105	и от	2	5
106	случае если	1	5
107	к этому	1	5
108	одним из	6	4
109	то же	14	4
110	мы уже	2	4
111	та же	1	4
112	отношение к	2	4
113	что как	1	4
114	хотя и	1	4
115	ни один	3	4
116	он не	5	4
117	всех этих	2	4
118	из них	1	4
119	должно быть	4	4
120	в их	3	4
121	признать что	1	4
122	из которых	2	4
123	связи с	2	4
124	тех кто	1	4
125	никогда не	3	4
126	на вопрос	2	4
127	уже существующих	1	4
128	и у	3	4
129	если мы	1	4
130	не есть	2	4
131	не так	1	4
132	а потому	2	4
133	в конце	6	4
134	в области	1	4
135	а с	1	4
136	социальной жизни	2	4
137	конце концов	5	4
138	не могут	6	4
139	в состоянии	1	4
140	этом случае	1	4
141	мы должны	3	4
142	ибо в	2	4
143	хотя бы	2	4
144	совершенно не	1	4
145	в таком	1	4
146	же как	1	3
147	слагается из	1	3
148	вопрос о	2	3
149	но даже	1	3
150	в данном	2	3
151	которые не	1	3
152	в истории	2	3
153	и наконец	4	3
154	в нашем	1	3
155	в тех	1	3
156	к которой	1	3
157	в нем	19	3
158	и по	1	3
159	в совершенно	1	3
160	заключается в	1	3
161	это не	9	3
162	на почве	3	3
163	в жизни	2	3
164	чем в	2	3
165	одного и	1	3
166	таким же	3	3
167	даже в	4	3
168	с современными	1	3
169	образом в	1	3
170	а лишь	2	3
171	уже и	2	3
172	от того	4	3
173	у нас	1	3
174	должны быть	1	3
175	что оно	2	3
176	и это	5	3
177	то ни	2	3
178	данном случае	2	3
179	то они	2	3
180	настоящее время	1	3
181	тот же	2	3
182	даже если	1	3
183	конечно не	2	3
184	в начале	1	3
185	и других	1	3
186	может служить	1	3
187	как у	1	3
188	прежде всего	7	3
189	же не	2	3
190	и потому	6	3
191	целом ряде	3	3
192	мы сказали	1	3
193	в настоящее	1	3
194	ее и	1	3
195	не то	1	3
196	бы в	3	3
197	только что	1	3
198	а в	7	3
199	что мы	1	3
200	в котором	2	2
201	и до	3	2
202	можно лишь	1	2
203	со своей	1	2
204	входящих в	1	2
205	теперь мы	1	2
206	в сущности	5	2
207	так чтобы	4	2
208	и ее	2	2
209	же что	5	2
210	в ней	2	2
211	свою очередь	1	2
212	бы то	2	2
213	тем как	4	2
214	во всяком	5	2
215	друг к	1	2
216	но как	3	2
217	вступают в	1	2
218	что они	1	2
219	из таких	1	2
220	быть изображена	1	2
221	усматривает в	1	2
222	то в	1	2
223	и там	1	2
224	может лежать	1	2
225	но на	1	2
226	вследствие этого	2	2
227	что она	6	2
228	не следует	1	2
229	как разные	1	2
230	он все	2	2
231	он должен	1	2
232	или вовсе	1	2
233	из него	1	2
234	что такой	1	2
235	же касается	1	2
236	к другу	1	2
237	между отдельными	2	2
238	эти отрицательные	1	2
239	в них	3	2
240	нет в	1	2
241	и особенно	1	2
242	со своими	2	2
243	и уже	2	2
244	мы видели	1	2
245	потому и	1	2
246	такой же	1	2
247	в один	2	2
248	на первый	1	2
249	которую он	1	2
250	но если	1	2
251	следует что	1	2
252	в которых	2	2
253	точку зрения	6	2
254	образом и	1	2
255	совершенно иной	1	2
256	том и	1	2
257	тому что	3	2
258	она не	7	2
259	между людьми	1	2
260	одна из	3	2
261	на себе	2	2
262	на него	3	2
263	в процессе	4	2
264	в основе	4	2
265	только не	1	2
266	в самой	6	2
267	и весь	1	2
268	на этом	1	2
269	от нее	1	2
270	если же	3	2
271	должен быть	1	2
272	как мы	4	2
273	иной чем	1	2
274	как не	8	2
275	рассматривать как	1	2
276	только при	1	2
277	чтобы быть	1	2
278	в себя	3	2
279	и сам	2	2
280	что у	1	2
281	те же	2	2
282	из одного	4	2
283	при том	1	2
284	все его	3	2
285	в виду	1	2
286	именно потому	2	2
287	в другом	1	2
288	другими словами	1	2
289	же время	9	2
290	все в	3	2
291	к нему	6	2
292	во втором	1	2
293	если это	1	2
294	для самого	2	2
295	было бы	5	2
296	образом как	1	2
297	но с	3	2
298	этих черт	2	2
299	этот вопрос	2	2
300	надо понимать	1	2
301	и так	1	2
302	они могут	2	2
303	жизни и	2	2
304	эти черты	1	2
305	то и	2	2
306	ни было	2	2
307	одно из	2	2
308	для него	18	2
309	всяком случае	3	2
310	вовсе не	7	2
311	к ним	1	2
312	из нее	1	2
313	к той	1	2
314	и только	1	2
315	не было	4	2
316	себя и	2	2
317	что для	1	2
318	в одно	1	2
319	в частности	1	2
320	все то	4	2
321	него в	2	2
322	независимо от	1	2
323	но не	9	2
324	в точке	1	2
325	что же	4	2
326	этого слова	1	2
327	только то	3	2
328	с этой	2	2
329	при условии	1	2
330	в индивидуальном	1	2
331	между ними	2	2
332	не знает	3	2
333	возможно лишь	1	2
334	в свою	1	2
335	два человека	1	2
336	они не	4	2
337	и наиболее	1	1
338	себя как	2	1
339	смысле слова	1	1
340	от этой	1	1
341	например в	3	1
342	все остальное	2	1
343	он может	3	1
344	ее до	1	1
345	показаться что	1	1
346	это и	5	1
347	в первом	1	1
348	из самых	1	1
349	какого-нибудь другого	1	1
350	из его	2	1
351	сам автор	1	1
352	исходит из	1	1
353	все те	2	1
354	высшей степени	1	1
355	в зависимости	5	1
356	собою в	1	1
357	и должен	1	1
358	той же	5	1
359	отношения к	3	1
360	совершенно в	1	1
361	а как	7	1
362	на тех	1	1
363	она имеет	1	1
364	мы не	1	1
365	не во	3	1
366	единство и	1	1
367	этом не	1	1
368	время как	1	1
369	на себя	2	1
370	на практике	1	1
371	я не	3	1
372	социальной группы	1	1
373	разобраться в	2	1
374	хотя конечно	1	1
375	зависимости от	5	1
376	к своему	1	1
377	и самого	4	1
378	он сам	3	1
379	на их	1	1
380	с его	9	1
381	не отличается	1	1
382	точками зрения	2	1
383	в создании	1	1
384	а следовательно	1	1
385	в теснейшей	1	1
386	и другие	1	1
387	а только	1	1
388	себе и	3	1
389	со стороны	1	1
390	ее он	2	1
391	то каждый	1	1
392	нет и	1	1
393	к сожалению	1	1
394	мира в	5	1
395	него только	1	1
396	первый взгляд	1	1
397	из возможных	2	1
398	как в	6	1
399	что именно	1	1
400	однако не	2	1
401	перед нами	5	1
402	кроме того	3	1
403	каждого своя	1	1
