N	2gram	Tiupa_Anal_2	Tragedij
1	и в	16	18
2	в романе	1	10
3	в этом	18	9
4	не только	16	8
5	и на	6	7
6	может быть	6	7
7	как бы	10	7
8	и не	12	7
9	но в	6	6
10	и его	4	6
11	в образе	1	6
12	же время	2	6
13	у него	4	6
14	то же	4	5
15	это не	1	5
16	как и	14	5
17	несмотря на	3	5
18	в то	2	5
19	так и	15	5
20	не может	4	5
21	я не	1	4
22	еще не	2	4
23	в себе	7	4
24	в целом	8	4
25	в этой	9	4
26	в нем	1	4
27	об этом	1	4
28	том что	12	4
29	что я	1	4
30	и что	1	4
31	но и	12	4
32	и даже	9	4
33	прежде всего	3	4
34	так же	2	4
35	но это	1	4
36	все это	4	4
37	что в	2	4
38	и все	3	4
39	то что	7	4
40	в мире	6	3
41	и он	2	3
42	своего рода	12	3
43	отнюдь не	8	3
44	как в	4	3
45	в своем	4	3
46	и как	1	3
47	все эти	1	3
48	при этом	10	3
49	то есть	9	3
50	тем самым	4	3
51	что с	2	3
52	о чем	2	3
53	в поле	4	3
54	с ее	2	3
55	и сам	3	3
56	жизнь и	1	3
57	с ним	2	3
58	к нему	1	3
59	в его	2	3
60	один из	2	3
61	уже в	1	3
62	для него	4	3
63	в конце	4	3
64	как будто	3	3
65	как это	6	3
66	в основном	1	3
67	в первом	1	2
68	и до	2	2
69	и за	3	2
70	а как	2	2
71	из своих	2	2
72	никогда не	3	2
73	и то	3	2
74	он был	2	2
75	не был	3	2
76	столь же	4	2
77	с его	1	2
78	отличие от	2	2
79	тут же	1	2
80	так что	3	2
81	и я	2	2
82	как говорит	2	2
83	о жизни	2	2
84	перед нами	1	2
85	имеет в	1	2
86	в самом	6	2
87	бы и	1	2
88	то и	1	2
89	жизнью и	2	2
90	по словам	1	2
91	он не	2	2
92	что же?	1	2
93	что она	2	2
94	что все	2	2
95	его в	2	2
96	в глазах	1	2
97	ни в	1	2
98	не мог	3	2
99	в ходе	4	2
100	в отличие	2	2
101	но эта	2	2
