N	2gram	Berdyaev_M_2	KulturaY
1	т е	4	32
2	и в	46	23
3	точки зрения	2	23
4	в том	3	22
5	не только	18	17
6	в этом	20	16
7	было бы	1	16
8	с точки	1	16
9	самом деле	1	14
10	может быть	21	14
11	в самом	5	13
12	что в	4	13
13	потому что	12	12
14	для того	5	12
15	вопрос о	6	11
16	том что	4	11
17	того чтобы	4	11
18	можно было	2	11
19	в его	5	11
20	того что	6	11
21	а не	13	11
22	у нас	11	10
23	и не	18	10
24	хотя бы	7	9
25	так как	8	9
26	прежде всего	12	9
27	лишь в	2	8
28	если бы	3	8
29	уже не	4	8
30	до сих	3	8
31	сих пор	3	8
32	как на	1	8
33	все эти	1	7
34	в нашем	7	7
35	должно быть	2	7
36	того как	3	7
37	те же	5	7
38	и что	2	7
39	с другой	1	7
40	или иной	2	7
41	сказать что	3	7
42	то же	5	6
43	говорить о	1	6
44	только в	3	6
45	так и	4	6
46	и тем	1	6
47	с тем	1	6
48	ничего не	2	6
49	связи с	2	6
50	не может	15	6
51	по себе	2	6
52	о том	3	6
53	после того	2	6
54	что и	4	6
55	тот же	2	6
56	что он	7	6
57	для этого	4	6
58	также и	4	5
59	и есть	8	5
60	я не	5	5
61	в чем	3	5
62	независимо от	1	5
63	хотя и	2	5
64	как бы	8	5
65	что она	5	5
66	как и	13	5
67	не в	9	5
68	от того	3	5
69	не могут	1	5
70	но также	1	5
71	той или	1	5
72	и должно	3	5
73	при чем	1	5
74	тем что	3	5
75	что же	2	5
76	но это	8	5
77	а в	2	5
78	того же	1	4
79	в сущности	2	4
80	на практике	1	4
81	для нашей	2	4
82	как в	7	4
83	в своем	8	4
84	только тогда	1	4
85	целый ряд	1	4
86	вопросом о	1	4
87	в целом	1	4
88	этого слова	1	4
89	в своей	5	4
90	что такое	1	4
91	которые в	2	4
92	тому что	4	4
93	тогда когда	2	4
94	учения о	1	4
95	в ее	1	4
96	были бы	2	4
97	а также	1	4
98	между тем	2	4
99	один из	5	4
100	что не	2	4
101	не случайно	2	4
102	не было	11	4
103	в той	1	4
104	то что	5	4
105	я и	2	3
106	на самом	1	3
107	это и	3	3
108	то в	2	3
109	по преимуществу	5	3
110	той же	3	3
111	есть не	5	3
112	мы не	1	3
113	сам по	2	3
114	в ней	11	3
115	то он	2	3
116	по отношению	2	3
117	отношение к	8	3
118	и к	7	3
119	бы и	5	3
120	что это	6	3
121	бы не	2	3
122	но на	2	3
123	он не	10	3
124	и вот	5	3
125	и с	3	3
126	с этой	1	3
127	не так	3	3
128	но если	1	3
129	в которых	1	3
130	имеет смысл	1	3
131	и более	1	3
132	так называемого	1	3
133	в отношении	5	3
134	она не	8	3
135	как о	1	3
136	не имеет	4	3
137	и именно	1	3
138	должна быть	1	3
139	не по	1	3
140	был бы	1	3
141	что на	1	3
142	не потому	1	3
143	не есть	13	3
144	всего этого	1	3
145	будет уже	1	3
146	на вопрос	1	3
147	но и	15	3
148	нас в	2	3
149	это не	5	3
150	и только	1	3
151	в какой	1	3
152	а лишь	2	3
153	уже в	2	3
154	вопроса о	4	3
155	ни в	3	3
156	а с	1	3
157	стать на	1	3
158	xix века	1	3
159	но для	2	3
160	к тому	5	3
161	формы и	1	3
162	мы должны	1	3
163	по поводу	1	3
164	они не	4	3
165	смысле слова	3	2
166	чтобы не	3	2
167	к другому	3	2
168	отношению к	2	2
169	на западе	1	2
170	ответить на	1	2
171	на себя	1	2
172	быть в	1	2
173	не понимали	1	2
174	не то	1	2
175	не все	1	2
176	за пределы	1	2
177	что они	3	2
178	сама по	1	2
179	более чем	2	2
180	как к	2	2
181	смысле этого	1	2
182	когда он	1	2
183	и как	1	2
184	увидим что	2	2
185	но в	10	2
186	для которого	1	2
187	он в	3	2
188	и тот	2	2
189	как он	3	2
190	отношений между	1	2
191	и если	2	2
192	в россии	3	2
193	на этом	2	2
194	но все	1	2
195	что все	5	2
196	с целью	1	2
197	его в	3	2
198	на протяжении	1	2
199	я все	1	2
200	чем в	2	2
201	остается в	1	2
202	в этих	2	2
203	и без	1	2
204	в котором	1	2
205	своего рода	1	2
206	нас к	1	2
207	вернемся к	1	2
208	что есть	2	2
209	не о	2	2
210	по своему	1	2
211	в русском	4	2
212	отличается от	1	2
