N	2gram	Potebnia_M_3	Hudozhes
1	в мире	1	23
2	то есть	34	18
3	и не	15	16
4	не только	21	15
5	и в	30	15
6	в том	32	15
7	тогда как	2	13
8	может быть	28	13
9	при этом	3	12
10	и его	4	12
11	а в	12	12
12	но не	7	11
13	в этом	10	11
14	в себе	16	11
15	я в	1	11
16	то же	23	10
17	по отношению	5	10
18	как бы	3	10
19	так и	11	10
20	а не	15	10
21	отношению к	5	10
22	но и	19	10
23	точки зрения	2	9
24	в его	4	9
25	сводится к	1	8
26	себя в	1	8
27	в душе	10	8
28	я и	3	7
29	отличие от	1	7
30	но в	1	7
31	в то	10	7
32	с другой	7	7
33	в искусстве	3	7
34	с его	1	6
35	отношение к	2	6
36	том что	18	6
37	не в	15	6
38	же время	5	6
39	в ее	2	6
40	не может	6	6
41	что в	17	6
42	в их	2	5
43	более или	3	5
44	в самом	8	5
45	то что	18	5
46	ни в	2	5
47	я есть	1	5
48	тем самым	7	5
49	могут быть	3	5
50	можно сказать	3	5
51	того что	18	5
52	только в	21	5
53	уже не	6	5
54	и т.п	1	5
55	между ними	1	5
56	другой стороны	4	5
57	или менее	3	5
58	я с	1	5
59	в нем	9	5
60	отношения к	1	4
61	и то	8	4
62	место в	3	4
63	говорить о	3	4
64	еще не	5	4
65	а только	3	4
66	хотя и	1	4
67	и как	5	4
68	порядка в	1	4
69	он не	4	4
70	и тем	5	4
71	в слове	32	4
72	в этих	1	4
73	в своей	2	4
74	не столько	2	4
75	говоря словами	1	4
76	и т.д	1	4
77	входит в	2	4
78	между тем	9	4
79	искусства в	1	4
80	в форме	2	4
81	для него	9	4
82	со стороны	3	4
83	прежде всего	3	4
84	не знает	3	4
85	произведения искусства	2	4
86	например в	6	4
87	к тому	7	4
88	сказать что	5	4
89	художественного произведения	5	3
90	того же	1	3
91	значении этого	1	3
92	на деле	5	3
93	со своей	2	3
94	и ее	1	3
95	в целом	3	3
96	в виду	1	3
97	в художественном	1	3
98	в которой	3	3
99	не следует	5	3
100	он должен	1	3
101	одно и	5	3
102	лишь в	1	3
103	его в	3	3
104	это не	1	3
105	как и	10	3
106	с точки	1	3
107	но он	1	3
108	тем не	3	3
109	их в	2	3
110	однако в	1	3
111	произведений искусства	1	3
112	не менее	5	3
113	однако если	1	3
114	потому что	46	3
115	не будет	3	3
116	в произведении	3	3
117	так в	2	3
118	мог бы	1	3
119	если бы	12	3
120	и внешней	1	3
121	и что	10	3
122	что он	6	3
123	к нему	3	3
124	человека с	1	3
125	к содержанию	3	3
126	в области	2	3
127	далеко не	4	3
128	не на	1	3
129	человеческой жизни	3	3
130	была бы	4	3
131	человека к	1	3
132	по своему	2	3
133	в данном	1	3
134	таким образом	14	3
135	в свою	3	3
136	в таком	3	3
137	таком случае	2	2
138	человека и	5	2
139	и это	4	2
140	это и	2	2
141	по преимуществу	1	2
142	противном случае	1	2
143	собою в	1	2
144	я как	5	2
145	но она	1	2
146	принадлежит к	1	2
147	не вполне	1	2
148	на свою	2	2
149	и на	3	2
150	в чем	3	2
151	субъекту и	1	2
152	но как	2	2
153	не входит	1	2
154	не все	4	2
155	за пределы	2	2
156	сама по	2	2
157	еще один	1	2
158	в своем	5	2
159	в противном	1	2
160	образом и	3	2
161	все эти	1	2
162	бы не	4	2
163	право на	1	2
164	в этой	2	2
165	но на	1	2
166	не как	2	2
167	в силу	3	2
168	и возможность	1	2
169	ни был	1	2
170	могла бы	2	2
171	об этом	2	2
172	времени и	1	2
173	по себе	16	2
174	в них	5	2
175	несмотря на	2	2
176	с другими	5	2
177	искусства может	1	2
178	сводятся к	1	2
179	нас самих	1	2
180	к такой	1	2
181	и более	1	2
182	лично для	1	2
183	вовсе не	7	2
184	даже в	2	2
185	тому что	3	2
186	и притом	2	2
187	личности к	1	2
188	не могло	1	2
189	не принадлежит	1	2
190	не является	1	2
191	не принадлежат	1	2
192	языка в	5	2
193	оно не	4	2
194	для себя	3	2
195	и о	2	2
196	того чтобы	3	2
197	свою очередь	3	2
198	здесь не	1	2
199	с языком	1	2
200	или в	3	2
201	с самим	1	2
202	в порядке	1	2
203	о том	2	2
204	при котором	1	2
205	в глаза	1	2
206	однако с	1	2
207	я думаю	2	2
208	другого в	1	2
209	именно в	3	2
210	известного рода	1	2
211	с одной	7	2
212	из которого	1	2
213	есть в	3	2
214	слова не	2	2
215	или даже	1	2
216	одно из	5	2
217	никто не	3	2
218	слова в	7	2
219	в одном	2	2
220	же художественное	1	2
221	для меня	4	2
222	при всей	1	2
223	у него	2	2
224	для того	4	2
225	или иначе	1	2
226	а с	2	2
227	себя и	4	2
228	в художественной	1	2
229	жизни то	1	2
230	превращается в	1	2
231	одной стороны	3	2
232	начиная с	1	2
233	так же	3	2
234	и потому	4	2
235	как в	10	2
236	к своему	2	2
237	так или	2	2
238	и по	4	2
239	для понимания	4	2
240	жизни в	1	2
241	художественное произведение	6	2
242	во всех	1	2
243	собственно говоря	2	2
244	тем более	4	2
245	с ним	6	2
246	отношении к	2	2
247	одной из	2	2
248	произведении искусства	4	2
249	искусство есть	2	1
250	художественном произведении	3	1
251	к субъекту	2	1
252	на сердце	1	1
253	говоря о	4	1
254	в сфере	1	1
255	чтобы не	1	1
256	переходит к	1	1
257	себе этот	2	1
258	не такое	1	1
259	бы для	1	1
260	и есть	3	1
261	то в	1	1
262	чего не	1	1
263	отношения между	1	1
264	в строгом	1	1
265	из его	1	1
266	свое место	2	1
267	а об	1	1
268	едва ли	1	1
269	действительности и	3	1
270	уже по	1	1
271	сливается с	2	1
272	той же	2	1
273	есть не	7	1
274	содержания в	2	1
275	из своих	1	1
276	от своих	4	1
277	в сущности	1	1
278	человек должен	1	1
279	как я	1	1
280	и со	1	1
281	но напротив	1	1
282	не знают	1	1
283	в каждой	4	1
284	начало и	1	1
285	произведение и	1	1
286	необходимая для	1	1
287	на них	1	1
288	это возможно	1	1
289	как субъекта	1	1
290	столь же	4	1
291	время в	3	1
292	бы то	1	1
