N	2gram	Tiupa_Hudo_1	UchenyiS
1	и в	14	14
2	а не	12	10
3	не только	12	10
4	прежде всего	11	8
5	и не	2	8
6	не может	7	7
7	в этом	11	7
8	то что	8	7
9	может быть	5	6
10	то же	9	5
11	и только	1	5
12	в художественном	2	5
13	все это	2	5
14	хотя бы	1	5
15	с другой	1	4
16	но и	5	4
17	в их	2	4
18	в конечном	2	4
19	конечном счете	2	4
20	в этой	8	4
21	то ни	1	3
22	и то	1	3
23	это не	7	3
24	было бы	6	3
25	нашему мнению	1	3
26	как и	9	3
27	в частности	5	3
28	в своей	10	3
29	и т.д	1	3
30	к сожалению	1	3
31	в то	8	3
32	все же	3	3
33	но в	5	3
34	не следует	2	3
35	же время	8	3
36	по нашему	2	3
37	для него	10	3
38	не как	1	3
39	не о	2	3
40	что все	1	2
41	а между	1	2
42	же не	1	2
43	и с	4	2
44	а его	2	2
45	до сих	2	2
46	а как	1	2
47	самом деле	5	2
48	художественных произведений	1	2
49	в итоге	1	2
50	к области	1	2
51	превращается в	3	2
52	мы не	2	2
53	о чем	1	2
54	если бы	3	2
55	что мы	1	2
56	ничего не	8	2
57	как таковой	1	2
58	не столько	2	2
59	том что	16	2
60	на первый	1	2
61	сводится к	1	2
62	литературы и	1	2
63	в широком	1	2
64	нам представляется	1	2
65	нас в	1	2
66	с его	5	2
67	но не	3	2
68	в сторону	1	2
69	в противовес	2	2
70	не все	1	2
71	в его	8	2
72	по себе	2	2
73	конце концов	1	2
74	сих пор	2	2
75	но это	1	2
76	этом смысле	1	2
77	в том	12	2
78	и для	3	2
79	что он	9	2
80	в себе	11	2
81	при таком	1	2
82	формы и	1	2
83	в самом	4	2
84	между тем	8	2
85	и у	1	2
86	только в	5	2
87	не в	7	2
88	в системе	2	2
89	этом отношении	3	2
90	еще ничего	1	2
91	его и	1	2
92	всех этих	1	2
93	представляется нам	2	2
94	их и	1	2
95	не могут	1	2
96	могут быть	1	2
97	в конце	4	2
98	же самое	1	2
99	не случайно	7	2
100	как раз	4	2
101	тем что	3	2
102	что она	4	2
103	правило не	1	1
104	для себя	3	1
105	двух первых	1	1
106	и это	4	1
107	тем в	1	1
108	конструктивный принцип	1	1
109	об этом	5	1
110	же как	2	1
111	не делает	1	1
112	в этот	1	1
113	человека и	1	1
114	даже не	1	1
115	в виду	1	1
116	и служит	1	1
117	входит в	1	1
118	первую очередь	2	1
119	данном случае	1	1
120	или иначе	2	1
121	для читателя	1	1
122	сюда же	1	1
123	и быть	4	1
124	было и	1	1
125	в произведении	1	1
126	установка на	1	1
127	в пределах	3	1
128	смысла слов	1	1
129	и др	1	1
130	художником и	1	1
131	что для	1	1
132	никогда не	6	1
133	литературного произведения	1	1
134	так и	13	1
135	по его	1	1
136	одной стороны	1	1
137	той же	2	1
138	бы послужить	1	1
139	достоевского и	1	1
140	в сфере	1	1
141	относится к	1	1
142	этого не	1	1
143	автор видит	1	1
144	отсюда и	2	1
145	до конца	2	1
146	оно все	1	1
147	с тем	1	1
148	обращение к	1	1
149	со своими	1	1
150	пафос его	1	1
151	ссылка на	1	1
152	именно к	1	1
153	и даже	3	1
154	должно быть	2	1
155	иначе говоря	2	1
156	об анне	1	1
157	по теории	2	1
158	и слово	1	1
159	можно сказать	4	1
160	или менее	1	1
161	в г	1	1
