N	3gram	Medvedev_U_1	FransuaR
1	то же время	3	5
2	в то же	3	5
3	в самом деле	2	4
4	с одной стороны	1	4
5	в той же	1	4
6	большей или меньшей	1	3
7	на первый план	1	3
8	в этом отношении	2	3
9	в большей или	1	3
10	до сих пор	2	3
11	и то что	2	2
12	или меньшей степени	1	2
13	в данном случае	1	2
14	одним из самых	1	2
15	с другой стороны	3	2
16	в том что	2	2
17	конечно не в	1	2
18	и прежде всего	1	2
19	другой стороны в	1	1
20	более или менее	1	1
21	и не только	1	1
22	является одним из	1	1
23	в значительной мере	1	1
24	мы полагаем что	1	1
25	сам по себе	1	1
26	в этой области	3	1
27	но в то	1	1
28	в конце концов	2	1
29	это было и	1	1
30	и в этой	2	1
31	все же не	1	1
32	не может быть	4	1
33	в широком смысле	1	1
34	не только в	1	1
35	насколько нам известно	1	1
36	уже знакомый нам	1	1
37	можно сказать что	1	1
38	в этой же	1	1
39	что все они	1	1
40	и с другой	1	1
41	выдвигает на первый	1	1
