N	2gram	Vinokur_Vv_1	OGranits
1	и в	27	13
2	и его	5	12
3	прежде всего	8	9
4	может быть	24	8
5	не может	13	8
6	и не	13	8
7	и т.п	1	7
8	в его	10	7
9	точки зрения	7	7
10	только в	13	6
11	как бы	5	6
12	не только	21	6
13	то что	17	6
14	мы должны	1	6
15	таким образом	19	6
16	языка и	12	5
17	и т.д	4	5
18	все же	8	5
19	но ведь	4	5
20	метода в	1	5
21	с точки	2	5
22	хотя бы	5	5
23	и эта	1	5
24	мы не	2	4
25	тех пор	1	4
26	еще и	3	4
27	но в	10	4
28	до тех	1	4
29	вопроса о	1	4
30	мы можем	2	4
31	то же	8	4
32	лишь в	1	4
33	в своей	4	4
34	было бы	5	4
35	все это	6	4
36	о задачах	1	4
37	в каждом	4	4
38	вряд ли	2	3
39	связана с	4	3
40	и то	5	3
41	в ее	11	3
42	самом деле	6	3
43	так и	1	3
44	понятно что	3	3
45	говорить о	3	3
46	для целей	1	3
47	в их	11	3
48	пор пока	1	3
49	по отношению	4	3
50	общего с	1	3
51	с этим	2	3
52	в которой	1	3
53	в себе	4	3
54	языка как	2	3
55	не как	3	3
56	в одном	4	3
57	так как	13	3
58	одно и	1	3
59	материала и	1	3
60	наукой о	2	3
61	но и	5	3
62	слово в	1	3
63	как и	5	3
64	и уже	3	3
65	со всей	3	3
66	точку зрения	1	3
67	что же	3	3
68	не в	8	3
69	да и	4	3
70	но для	1	3
71	и для	4	3
72	никогда не	3	3
73	и все	1	3
74	превращается в	1	3
75	отношению к	4	3
76	не столько	2	3
77	что в	11	3
78	смысле слова	7	2
79	для себя	1	2
80	и др	2	2
81	данном случае	5	2
82	художественных произведений	2	2
83	зависимости от	1	2
84	на две	1	2
85	мы уже	1	2
86	есть не	3	2
87	мог бы	2	2
88	не исчерпывается	2	2
89	если бы	2	2
90	что иное	4	2
91	иное как	5	2
92	не что	4	2
93	к предмету	1	2
94	с самого	1	2
95	и должно	1	2
96	себе что	3	2
97	для исследования	1	2
98	в ней	3	2
99	ее в	1	2
100	а также	3	2
101	в чем	4	2
102	между тем	8	2
103	в общем	12	2
104	нуждается в	2	2
105	в языке	1	2
106	во всей	1	2
107	наконец в	1	2
108	основная мысль	1	2
109	чем же	3	2
110	материалом для	1	2
111	случае и	1	2
112	как в	1	2
113	в данном	11	2
114	в этом	34	2
115	в том	31	2
116	двух разных	1	2
117	мы видим	1	2
118	тот же	1	2
119	с ними	1	2
120	в действительности	1	2
121	или иного	1	2
122	от этого	5	2
123	в этот	2	2
124	в целом	5	2
125	и тем	5	2
126	все эти	3	2
127	с одной	4	2
128	учение о	2	2
129	уже в	5	2
130	в нем	13	2
131	при этом	3	2
132	для него	1	2
133	в другом	3	2
134	отношений между	3	2
135	вовсе не	6	2
136	в зависимости	1	2
137	о языке	3	2
138	тем что	6	2
139	в них	4	2
140	объект и	1	2
141	но одно	1	2
142	в области	4	2
143	литературного языка	1	2
144	с другой	8	2
145	а как	3	2
146	в самом	12	2
147	входит в	2	2
148	того или	1	2
149	истории языка	5	2
150	одной стороны	4	2
151	он только	1	2
152	соответствии с	2	2
153	литературное произведение	2	2
154	более того	1	2
155	не на	1	2
156	а не	3	2
157	другой стороны	5	2
158	в руках	1	2
159	не мог	2	2
160	несмотря на	2	2
161	в связи	2	2
162	том что	26	2
163	и истории	2	2
164	с помощью	1	2
165	в г	5	2
166	от своего	1	2
167	и при	2	2
168	и ее	4	2
169	так же	3	2
170	в отношении	2	2
171	своего рода	3	2
172	в течение	5	2
173	в тех	2	2
174	с этой	4	2
175	слова и	1	2
176	с историей	3	2
177	не менее	8	2
178	самого начала	1	2
179	не имеет	4	2
180	замкнутого круга	1	2
181	об особой	1	2
182	бы в	1	2
183	истории литературы	3	2
184	и историей	6	2
185	и является	1	2
186	во всем	2	2
187	а в	5	2
188	еще в	1	2
189	в материал	1	2
190	и к	1	2
191	могут быть	4	2
192	историей литературы	1	2
193	чем иным	1	2
194	в своих	2	2
195	к тому	4	2
196	и это	6	1
197	можно говорить	1	1
198	одним из	5	1
199	также и	16	1
200	же как	3	1
201	человека и	1	1
202	в виду	4	1
203	того же	3	1
204	но вообще	1	1
205	значительной мере	1	1
206	выражения в	1	1
207	только потому	1	1
208	науки о	9	1
209	это и	1	1
210	в собственном	2	1
211	работы но	1	1
212	и есть	3	1
213	проявляются в	1	1
214	в себя	1	1
215	и до	2	1
216	ведь и	1	1
217	собственном смысле	2	1
218	на том	3	1
219	для которой	1	1
220	можно было	7	1
221	отсюда и	2	1
222	здесь нет	4	1
223	осуществляется в	1	1
224	мы имеем	3	1
225	нуждаются в	1	1
226	и о	1	1
227	возможно только	1	1
228	всегда связана	1	1
229	вопрос о	8	1
230	достаточной мере	1	1
231	другое дело	3	1
232	для этого	3	1
233	по себе	9	1
234	по мере	4	1
235	исследования в	1	1
236	это обычно	1	1
237	историческая судьба	1	1
238	в определенной	1	1
239	же автора	1	1
240	в сложных	1	1
241	идеализма и	1	1
242	между наукой	1	1
243	из того	2	1
244	этого термина	2	1
245	то это	3	1
246	словесного искусства	1	1
247	первых филологов	1	1
248	другом месте	2	1
249	в каждой	2	1
250	слово не	1	1
251	внимание на	4	1
252	другими словами	1	1
253	и что	4	1
254	еще не	4	1
255	в широком	7	1
256	нам представляется	1	1
257	время в	2	1
258	времени в	3	1
259	в различных	2	1
260	в конечном	1	1
261	то мы	1	1
262	данного языка	1	1
263	к нему	2	1
264	на самом	1	1
265	совсем не	3	1
266	но не	7	1
267	этом говорит	1	1
268	вся эта	1	1
269	памятника от	1	1
270	тем сложнее	1	1
271	может и	1	1
272	природы и	1	1
273	отношение к	3	1
274	нет и	1	1
275	или иное	1	1
276	и речи	1	1
277	на то	1	1
278	язык есть	1	1
279	и эстетического	1	1
280	в истории	9	1
281	в одной	1	1
282	эта связь	1	1
283	познания в	1	1
284	явление и	1	1
285	языковой формы	1	1
286	служить материалом	1	1
287	в своем	3	1
288	то или	1	1
289	один из	6	1
290	которые и	1	1
291	понять и	1	1
292	и как	9	1
293	его к	2	1
294	одной из	3	1
295	этот вопрос	4	1
296	история литературы	2	1
297	что он	4	1
298	скорее как	1	1
299	или иную	1	1
300	в значительной	2	1
301	литературы все	1	1
302	стать не	1	1
303	или же	3	1
304	это заставляет	2	1
305	выражение в	1	1
306	ни одна	2	1
307	в этой	3	1
308	что к	1	1
309	с их	5	1
310	о слове	1	1
311	остановиться на	1	1
312	в дальнейшем	2	1
313	само собой	2	1
314	и тот	1	1
315	на всем	1	1
316	литературы в	3	1
317	и у	1	1
318	только на	3	1
319	если он	1	1
320	положение что	1	1
321	вследствие этого	1	1
322	наук в	2	1
323	к слову	1	1
324	что она	3	1
325	исторических разысканий	1	1
326	в статье	1	1
327	речь в	4	1
328	этого процесса	1	1
329	или даже	1	1
330	и других	3	1
331	на эту	1	1
332	его и	1	1
333	ту или	1	1
334	т.д и	1	1
335	одно из	5	1
336	состоит в	2	1
337	в виде	4	1
338	содержания и	1	1
339	как их	1	1
340	в конце	3	1
341	и должна	1	1
342	сложность этой	1	1
343	одном случае	1	1
344	осуществляются в	1	1
345	но что	3	1
346	или философской	1	1
347	только с	3	1
348	понимании его	1	1
349	из него	1	1
350	каждый из	2	1
351	подобно тому	1	1
352	и никогда	1	1
353	с системой	2	1
354	отличие от	3	1
355	на этом	3	1
356	его можно	2	1
357	лишь с	1	1
358	или иных	3	1
359	не должно	1	1
