N	3gram	Vinokur_Ku_1	DiskursI
1	в отличие от	1	12
2	в том что	15	6
3	то же время	2	5
4	с одной стороны	1	4
5	в то же	2	4
6	по отношению к	8	4
7	в этом отношении	5	4
8	о том что	5	3
9	так и в	2	3
10	той или иной	1	3
11	и все же	1	3
12	не может быть	3	3
13	в соответствии с	3	2
14	по большей части	2	2
15	это еще не	1	2
16	на мой взгляд	2	2
17	в первую очередь	2	2
18	что же касается	4	2
19	и того же	2	2
20	в этом случае	2	2
21	и то же	1	2
22	состоит в том	3	2
23	и может быть	1	2
24	в сочетании с	1	2
25	одного и того	2	2
26	в свое время	2	2
27	в наше время	1	2
28	с точки зрения	9	2
29	при этом в	1	2
30	одно и то	1	2
31	можно говорить о	1	1
32	оно не проявляется	1	1
33	в большинстве случаев	1	1
34	что в них	2	1
35	и там где	1	1
36	в это время	1	1
37	а с другой	3	1
38	и в то	1	1
39	которое было ему	1	1
40	дело не с	1	1
41	с другой стороны	6	1
42	в одно и	1	1
43	между тем как	1	1
44	из той же	1	1
45	того или иного	3	1
46	лицом к лицу	1	1
47	речь идет о	2	1
48	с совершенно иными	1	1
49	той мере в	5	1
50	в качестве нового	1	1
51	в целом и	2	1
52	в применении к	1	1
53	мере в какой	5	1
54	в той мере	5	1
55	в самом деле	7	1
56	все то что	1	1
57	прежде всего на	1	1
58	по аналогии с	1	1
59	целом и в	1	1
60	та или иная	1	1
61	отнюдь не является	1	1
62	не говоря уже	1	1
63	все же остается	1	1
64	друг от друга	1	1
65	не в том	4	1
66	но прежде всего	1	1
67	тем не менее	4	1
68	но для этого	1	1
69	во всяком случае	5	1
70	в иных случаях	2	1
71	но не менее	1	1
72	во втором случае	1	1
73	по крайней мере	5	1
