N	3gram	Tiupa_Anal_3	Myshleni
1	в том что	7	31
2	заключается в том	1	14
3	с точки зрения	2	11
4	с одной стороны	2	9
5	в этом смысле	1	8
6	с другой стороны	5	8
7	в этом отношении	3	7
8	и тот же	1	7
9	один и тот	1	7
10	в самом деле	1	6
11	и того же	3	5
12	в готовом виде	1	5
13	не только не	3	5
14	одного и того	3	5
15	для того чтобы	1	5
16	и той же	2	4
17	мы обратимся к	1	4
18	одной и той	2	4
19	в этом случае	1	3
20	между тем как	1	3
21	во всяком случае	2	3
22	в связи с	1	3
23	о том что	5	3
24	речь идет о	1	3
25	состояла в том	1	2
26	в отличие от	2	2
27	а с другой	1	2
28	те же слова	1	2
29	в данном случае	3	2
30	в противоречие с	1	2
31	в том чтобы	1	2
32	то что они	1	2
33	не могут быть	1	2
34	в свое время	2	2
35	между собой и	1	2
36	в свою очередь	4	2
37	подобно тому как	2	2
38	если бы он	1	1
39	по своей природе	1	1
40	мы будем иметь	1	1
41	что иное как	1	1
42	не является ни	1	1
43	в одном слове	1	1
44	как бы не	1	1
45	не говоря уже	1	1
46	на самом деле	1	1
47	в зависимости от	1	1
48	что он не	1	1
49	мы не станем	1	1
50	до сих пор	1	1
51	состоит не в	1	1
52	со всеми остальными	1	1
53	и здесь мы	1	1
54	сказать что они	1	1
55	значении этого слова	1	1
56	говоря уже о	1	1
57	как если бы	1	1
58	было бы сказать	1	1
59	том что мы	1	1
60	здесь мы имеем	1	1
61	далеко не всегда	1	1
62	не только в	1	1
63	с целым рядом	1	1
64	возвращает нас к	1	1
65	по своему происхождению	1	1
66	так и на	1	1
67	при этом он	2	1
68	и является в	1	1
69	мы имеем дело	4	1
70	и как бы	1	1
71	имеем дело с	1	1
72	свое внимание на	1	1
73	отличие от ряда	1	1
74	не только к	2	1
75	со стороны его	1	1
76	к тому же	3	1
77	в сущности говоря	1	1
78	таким же образом	1	1
79	говоря словами самого	1	1
80	как бы в	1	1
81	не может быть	1	1
82	едва ли не	2	1
83	при этом как	2	1
84	по отношению к	7	1
85	в этом же	1	1
86	представляется нам не	1	1
87	само по себе	1	1
88	вопрос о том	1	1
89	можно сказать что	2	1
90	друг от друга	1	1
91	в переносном смысле	1	1
92	уже по одному	1	1
93	они могут быть	1	1
94	не что иное	1	1
95	тем не менее	2	1
96	том что он	2	1
97	как и в	4	1
98	возникает в результате	1	1
99	что и в	1	1
100	но и к	1	1
101	тот факт что	1	1
