N	2gram	Potebnia_M_2	Sovremen
1	не может	12	17
2	может быть	23	12
3	таким образом	11	11
4	мы не	11	9
5	органической жизни	1	9
6	в каждом	2	8
7	в этом	8	7
8	не можем	6	7
9	и в	24	7
10	каждый раз	1	6
11	мы можем	12	6
12	ничего не	1	6
13	как и	7	6
14	и не	19	6
15	и наконец	1	5
16	все эти	2	5
17	что же	1	5
18	прежде всего	7	5
19	с точки	1	5
20	в условиях	1	5
21	вопрос о	2	4
22	мы должны	2	4
23	в том	18	4
24	при нормальном	1	4
25	в целом	3	4
26	если мы	3	4
27	из них	5	4
28	же это	1	4
29	так как	10	4
30	мы видели	1	4
31	не только	15	4
32	в развитии	1	4
33	как бы	9	4
34	вместе с	11	4
35	это не	3	4
36	их в	2	4
37	а в	8	4
38	жизни и	1	4
39	можем назвать	1	3
40	ли мы	2	3
41	он может	1	3
42	с самого	2	3
43	на две	2	3
44	то же	12	3
45	но мы	3	3
46	между собой	1	3
47	видели что	1	3
48	все же	5	3
49	еще не	4	3
50	но в	4	3
51	мы получаем	1	3
52	он в	1	3
53	в себе	10	3
54	уже в	5	3
55	как он	4	3
56	в наших	1	3
57	что она	3	3
58	в одном	6	3
59	в нем	9	3
60	при этом	13	3
61	было бы	13	3
62	само собою	2	3
63	а не	18	3
64	и потому	2	3
65	мы называем	3	3
66	не в	13	3
67	все это	2	3
68	самого начала	2	3
69	при таком	1	3
70	одна из	4	3
71	для нас	31	3
72	и все	3	3
73	у нас	2	3
74	состоит из	1	3
75	когда мы	2	3
76	отличается от	1	3
77	как мы	1	2
78	свою очередь	6	2
79	и есть	2	2
80	тем же	3	2
81	той же	3	2
82	времени и	1	2
83	на этом	2	2
84	говорим о	1	2
85	и что	4	2
86	на другом	2	2
87	на их	1	2
88	и во	3	2
89	самом деле	2	2
90	в его	2	2
91	может иметь	1	2
92	с этим	7	2
93	дает нам	1	2
94	некоторое время	2	2
95	только один	4	2
96	в самом	4	2
97	к чему	1	2
98	по мнению	1	2
99	в которой	5	2
100	не будем	1	2
101	или же	7	2
102	что это	3	2
103	в нашем	2	2
104	из этих	4	2
105	с одной	4	2
106	со всеми	1	2
107	и они	2	2
108	уже не	4	2
109	то и	9	2
110	развития мы	1	2
111	так сказать	4	2
112	тем не	6	2
113	мы знаем	2	2
114	всяком случае	7	2
115	еще мало	1	2
116	у него	2	2
117	и изменение	1	2
118	и по	2	2
119	отличие от	1	2
120	но все	2	2
121	то ни	1	2
122	известных нам	1	2
123	что все	2	2
124	с общим	2	2
125	в некоторых	4	2
126	а на	1	2
127	такой же	4	2
128	свою собственную	1	2
129	что такое	2	2
130	он должен	1	2
131	в отличие	1	2
132	знаем что	1	2
133	форма в	1	2
134	не менее	5	2
135	можно назвать	2	2
136	на котором	1	2
137	не знаем	2	2
138	этих двух	1	2
139	мы видим	2	2
140	не дает	2	2
141	тот же	5	2
142	в свою	6	2
143	не могут	7	2
144	могут быть	8	2
145	что при	1	2
146	что в	16	2
147	в таком	4	2
148	во всяком	7	2
149	должен быть	1	1
150	и это	2	1
151	оно может	2	1
152	можем определить	1	1
153	человека и	3	1
154	то она	1	1
155	другое направление	2	1
156	на другой	2	1
157	очень важную	1	1
158	на самом	2	1
159	но тем	3	1
160	между двумя	6	1
161	так в	4	1
162	первое время	1	1
163	нас на	2	1
164	и до	1	1
165	не имеют	2	1
166	от всяких	1	1
167	они нам	1	1
168	и могут	1	1
169	мы уже	1	1
170	те же	3	1
171	из всех	1	1
172	есть не	5	1
173	во многом	1	1
174	при одном	1	1
175	и само	1	1
176	это только	1	1
177	это что	2	1
178	мы в	3	1
179	что уже	1	1
180	только переходит	1	1
181	поэтому в	1	1
182	если бы	11	1
183	и вообще	3	1
