N	3gram	Bakhtin_fo_2	Sovremen
1	с точки зрения	8	5
2	не может быть	1	4
3	не может не	1	3
4	с самого начала	1	3
5	друг с другом	4	2
6	в отличие от	1	2
7	в свою очередь	1	2
8	может быть и	2	2
9	так как он	1	2
10	то же самое	2	2
11	каждая из этих	1	1
12	быть и речи	1	1
13	и в этом	3	1
14	мы в дальнейшем	1	1
15	вполне достаточно для	1	1
16	самому своему существу	1	1
17	в связи с	7	1
18	все более и	1	1
19	равно как и	2	1
20	одна и та	2	1
21	на самом деле	1	1
22	как и во	1	1
23	всего необходимо отметить	1	1
24	в этом случае	2	1
25	из многих его	1	1
26	не было бы	2	1
27	в дальнейшем мы	2	1
28	до сих пор	2	1
29	и во всех	2	1
30	то же время	4	1
31	тот или иной	1	1
32	они не могут	1	1
33	и в то	3	1
34	сами по себе	2	1
35	со всеми ее	1	1
36	по аналогии с	1	1
37	друг на друга	2	1
38	и та же	2	1
39	на ее месте	1	1
40	прежде всего необходимо	1	1
41	это значит что	2	1
42	очень важную роль	1	1
43	более и более	1	1
44	все же в	2	1
45	той или иной	1	1
46	и прежде всего	3	1
47	но все же	1	1
48	по самому своему	1	1
49	о жизни и	1	1
50	в то же	4	1
51	это как бы	1	1
52	зрения может быть	1	1
53	важную роль в	1	1
54	в себе в	1	1
55	в том что	3	1
56	в данном случае	1	1
57	дело идет о	1	1
58	с одной стороны	1	1
59	именно в том	1	1
