N	3gram	Nazirov_Vr_1	KulturaY
1	с точки зрения	2	16
2	тем не менее	1	9
3	до сих пор	1	8
4	в том что	2	8
5	и в этом	1	4
6	в связи с	3	4
7	и в самом	1	4
8	а с другой	1	3
9	не только как	1	3
10	с другой стороны	1	3
11	не может быть	2	3
12	о том что	1	3
13	в известном смысле	1	2
14	тем более что	1	2
15	от того как	1	2
16	далеко не все	1	1
17	в этом смысле	1	1
18	и не может	1	1
19	и в то	1	1
20	у тургенева в	1	1
21	а также в	1	1
22	но в этом	1	1
23	по крайней мере	1	1
24	не только не	1	1
25	но и как	1	1
26	может быть и	1	1
27	а тем более	1	1
28	войне и мире	1	1
29	в то время	1	1
30	так же как	1	1
31	заключается в том	1	1
32	можно говорить об	1	1
33	они как бы	1	1
34	во всяком случае	1	1
35	то же время	4	1
36	и о том	2	1
37	в войне и	1	1
38	в свою очередь	1	1
39	что в ней	1	1
40	с помощью которых	1	1
41	не с точки	1	1
42	в то же	4	1
43	имеется в виду	1	1
