N	3gram	Bakhtin_Pr_1	Literetu
1	то же время	9	9
2	в то же	9	9
3	не может быть	4	7
4	в том что	6	5
5	с другой стороны	3	4
6	с точки зрения	13	3
7	в этом отношении	3	3
8	в данном случае	2	3
9	по отношению к	8	3
10	но с другой	2	3
11	о том что	1	2
12	подобно тому как	3	2
13	в этом случае	1	2
14	и т п	3	2
15	по крайней мере	1	2
16	это прежде всего	1	2
17	и в сущности	2	1
18	такого героя и	1	1
19	в своих границах	1	1
20	но и не	2	1
21	и наконец в	1	1
22	такова что позволяет	1	1
23	то же самое	1	1
24	что же касается	1	1
25	он не может	1	1
26	тем что в	1	1
27	и не может	2	1
28	и к собственному	1	1
29	бы то ни	2	1
30	же время не	3	1
31	а так как	1	1
32	только то что	2	1
33	в себе и	1	1
34	не могут быть	1	1
35	на себе и	1	1
36	можно было бы	2	1
37	то что было	3	1
38	своего и чужого	1	1
39	мышления о мире	1	1
40	и в то	2	1
41	в конце концов	5	1
42	и в пределах	1	1
43	уже не раз	1	1
44	не только как	1	1
45	не в том	1	1
46	войти в его	1	1
47	в целом ряде	2	1
48	не укоренен в	1	1
49	в мире а	1	1
50	все то что	3	1
51	этой точки зрения	1	1
52	а в том	1	1
53	что может быть	2	1
54	может быть это	1	1
55	в свою очередь	1	1
56	на самом деле	4	1
57	в одном из	1	1
58	жизни а не	1	1
59	не только не	1	1
60	в пределах самого	1	1
61	но и он	1	1
62	то ни было	1	1
63	как и сам	1	1
64	в художественном мире	2	1
65	к тому что	1	1
66	тех или иных	1	1
67	быть не может	1	1
68	из тех кто	1	1
69	для того чтобы	1	1
70	для него в	1	1
71	как мы видели	1	1
