N	3gram	Vinokur_St_2	VerxiiNi
1	вместе с тем	5	8
2	с точки зрения	2	6
3	во всяком случае	3	6
4	более или менее	2	5
5	в том числе	1	5
6	до сих пор	5	5
7	для того чтобы	5	5
8	о том что	11	4
9	и вместе с	1	4
10	но все же	2	4
11	к тому же	2	4
12	так или иначе	1	3
13	точно так же	1	3
14	в конце концов	1	3
15	так же как	3	3
16	всяком случае не	2	3
17	в связи с	1	3
18	тем не менее	2	3
19	в том что	16	3
20	но все это	2	2
21	в этом отношении	9	2
22	с тех пор	1	2
23	то ни было	2	2
24	по сравнению с	1	2
25	то что он	2	2
26	бы то ни	2	2
27	но вместе с	1	2
28	таким образом в	1	2
29	то же время	1	2
30	ничего общего с	1	2
31	с самого начала	3	2
32	на то что	2	2
33	в то же	1	2
34	и в этом	2	2
35	а между тем	1	1
36	нет в нем	1	1
37	что в этом	1	1
38	в прямом смысле	1	1
39	иметь в виду	3	1
40	по отношению к	1	1
41	в котором он	1	1
42	в самом деле	2	1
43	в настоящее время	1	1
44	них как на	1	1
45	тем фактом что	1	1
46	не смотрел на	2	1
47	одно из таких	1	1
48	сами по себе	2	1
49	в первую очередь	1	1
50	вследствие того что	1	1
51	в каком он	1	1
52	с тем что	2	1
53	совершенно так же	2	1
54	виде в каком	1	1
55	таким образом уже	1	1
56	и сами по	1	1
57	в данном случае	1	1
58	был сделан в	1	1
59	тот факт что	4	1
60	в отличие от	2	1
61	мы видели выше	1	1
62	на них как	1	1
63	не в том	2	1
64	таким образом при	1	1
65	друг к другу	1	1
66	не имеет никакого	1	1
67	его не представляется	1	1
68	с другой стороны	3	1
69	речь идет о	3	1
70	в эту сторону	1	1
71	в то время	1	1
72	так и в	2	1
73	и это слово	1	1
74	в свою очередь	1	1
75	в одном из	3	1
76	не только не	2	1
77	в связь с	1	1
78	и в результате	1	1
79	не представляется возможным	2	1
80	после того как	4	1
81	кого больше не	1	1
82	при таких условиях	1	1
83	и что он	1	1
84	тем что в	1	1
85	в народных массах	1	1
86	надо иметь в	1	1
