N	2gram	Tiupa_Narr_1	Russkaja
1	не может	8	22
2	и не	23	19
3	в том	8	17
4	в этом	12	17
5	и в	11	14
6	с другом	1	14
7	друг с	1	14
8	то что	9	13
9	то же	8	11
10	точки зрения	5	11
11	таким образом	1	11
12	в то	4	10
13	же время	4	10
14	но и	27	10
15	в себе	6	9
16	не только	31	9
17	том что	7	9
18	с точки	1	9
19	может быть	15	9
20	во всяком	2	9
21	того чтобы	4	8
22	прежде всего	4	8
23	самом деле	3	7
24	отнюдь не	2	7
25	и с	3	7
26	в данном	11	7
27	к тому	6	7
28	не будет	2	7
29	о том	4	7
30	если в	2	6
31	в своем	3	6
32	и к	1	6
33	с тем	1	6
34	если бы	7	6
35	все это	1	6
36	и для	2	6
37	для того	3	6
38	что он	3	6
39	всяком случае	2	6
40	для всех	1	6
41	для него	4	6
42	на самом	1	6
43	и на	5	5
44	между собой	2	5
45	во всех	1	5
46	на то	2	5
47	в нем	4	5
48	при этом	19	5
49	он не	3	5
50	в своей	5	5
51	никогда не	4	5
52	потому что	5	5
53	последние дни	1	5
54	между тем	3	5
55	а потому	1	5
56	и только	2	5
57	только в	12	5
58	хотя бы	2	5
59	в последние	1	5
60	или иной	4	5
61	до сих	2	5
62	из которых	1	5
63	сих пор	2	5
64	а в	13	5
65	жизни в	2	5
66	и то	3	4
67	бы то	1	4
68	но не	4	4
69	себя в	2	4
70	все же	4	4
71	более или	1	4
72	не в	6	4
73	в этой	6	4
74	в корне	1	4
75	на земле	1	4
76	то ни	1	4
77	том случае	1	4
78	его в	1	4
79	как и	13	4
80	которой он	1	4
81	или менее	1	4
82	в их	1	4
83	точку зрения	1	4
84	во всем	1	4
85	приводит к	1	4
86	в мире	4	4
87	и т.д	6	4
88	в его	6	4
89	так как	1	4
90	со стороны	8	4
91	вместе с	2	4
92	как бы	6	4
93	жизни и	6	4
94	что в	3	4
95	к этой	1	4
96	все что	2	4
97	и т	1	3
98	то в	4	3
99	от церкви	1	3
100	еще не	4	3
101	он сам	3	3
102	из этих	4	3
103	в самом	6	3
104	что это	1	3
105	ни одна	1	3
106	главным образом	1	3
107	на том	1	3
108	и по	1	3
109	в другом	1	3
110	лишь в	3	3
111	для них	2	3
112	можно ли	1	3
113	одна из	4	3
114	связи с	2	3
115	в сознании	4	3
116	той или	5	3
117	данном случае	8	3
118	что может	2	3
119	для этого	1	3
120	сводится к	3	3
121	в значительной	1	3
122	что и	1	3
123	того что	4	3
124	одной из	1	3
125	в качестве	14	3
126	из них	4	3
127	в конце	2	3
128	друг друга	2	3
129	тем что	1	3
130	именно в	3	3
131	что для	1	3
132	не было	3	3
133	и потому	1	3
134	да и	2	3
135	при условии	1	3
136	она может	2	3
137	или в	6	3
138	о котором	1	3
139	и как	3	3
140	все они	1	3
141	случае если	1	3
142	речь идет	3	2
143	говоря о	1	2
144	и есть	1	2
145	к чему	3	2
146	из всех	1	2
147	на себя	4	2
148	но даже	1	2
149	в ней	4	2
150	в таком	2	2
151	по отношению	3	2
152	тогда как	10	2
153	не просто	1	2
154	друг от	1	2
155	с этим	1	2
156	целый ряд	1	2
157	и наконец	1	2
158	но в	7	2
159	не можем	1	2
160	и тот	1	2
161	во многих	1	2
162	состоит в	10	2
163	и вот	2	2
164	мы уже	1	2
165	в глазах	3	2
166	по себе	4	2
167	и тем	4	2
168	участие в	1	2
169	одному из	1	2
170	на основании	1	2
171	этого не	2	2
172	и тогда	2	2
173	нисколько не	1	2
174	в этих	2	2
175	во время	1	2
176	в котором	1	2
177	в силу	1	2
178	их в	3	2
179	для нее	1	2
180	любовь к	1	2
181	тому что	1	2
182	она не	2	2
183	для нас	1	2
184	у него	7	2
185	людей и	1	2
186	и является	2	2
187	как будто	3	2
188	в области	2	2
189	если только	1	2
190	к себе	4	2
191	всю свою	1	2
192	отличается от	1	2
193	понять что	1	2
194	указывает на	1	2
195	если же	1	2
196	и о	3	2
197	от друга	1	2
198	ясно что	1	2
199	даже не	1	2
200	они вели	1	2
201	к нему	4	2
202	вся эта	1	2
203	народов и	1	2
204	быть и	2	2
205	совершенно не	1	2
206	даже если	1	2
207	бы ни	1	2
208	их не	1	2
209	в россию	1	2
210	уже не	8	2
211	только на	2	2
212	в начале	3	2
213	но совершенно	1	2
214	его и	2	2
215	представить себе	1	2
216	не о	2	2
217	мы можем	2	2
218	только с	1	2
219	при отсутствии	2	2
220	и даже	2	2
221	а с	1	2
222	зависит от	2	2
223	а не	13	2
224	в частности	14	2
225	так же	1	2
226	ни от	2	2
227	но это	1	2
