N	2gram	Bakhtin_sl_2	RusskieA
1	и в	39	29
2	том что	5	22
3	в том	5	22
4	что в	3	22
5	как бы	7	18
6	в других	1	15
7	и другие	2	14
8	так как	4	13
9	может быть	37	13
10	п в	2	12
11	в этом	16	11
12	как и	6	11
13	одна из	4	11
14	не только	24	10
15	и с	9	10
16	все это	16	10
17	а на	1	9
18	о том	2	9
19	в некоторых	3	9
20	а в	4	9
21	его в	4	8
22	или на	2	8
23	но и	21	8
24	как в	13	7
25	мы видели	2	7
26	или в	2	7
27	мы не	2	6
28	еще не	7	6
29	и на	4	6
30	при этом	7	6
31	таким образом	8	6
32	того чтобы	2	6
33	для нас	5	6
34	для того	2	6
35	вместе с	2	6
36	в данном	2	6
37	этом случае	6	6
38	же в	1	6
39	и т	35	5
40	но не	6	5
41	но в	6	5
42	это не	5	5
43	т д	2	5
44	не может	20	5
45	для этого	4	5
46	и что	1	5
47	то что	2	5
48	к этому	1	5
49	то же	4	4
50	на них	2	4
51	видели что	1	4
52	не все	2	4
53	уже не	5	4
54	в них	6	4
55	далеко не	2	4
56	не в	9	4
57	тогда когда	2	4
58	а также	3	4
59	к нему	3	4
60	в виде	2	4
61	именно в	2	4
62	а не	14	4
63	как это	3	4
64	этих случаях	2	4
65	и все	5	4
66	в таком	4	4
67	и о	1	3
68	все эти	6	3
69	в этой	1	3
70	что она	1	3
71	и по	1	3
72	на этом	3	3
73	и других	4	3
74	с другими	4	3
75	должен был	1	3
76	не всегда	2	3
77	на первый	1	3
78	в эту	1	3
79	в этих	7	3
80	в отличие	12	3
81	но он	2	3
82	она не	6	3
83	в таких	1	3
84	как мы	7	3
85	должно было	1	3
86	во всех	12	3
87	в свете	3	3
88	а именно	2	3
89	того что	1	3
90	как например	2	3
91	между тем	3	3
92	в качестве	1	3
93	или даже	3	3
94	за ним	1	3
95	друг друга	1	3
96	отличие от	13	3
97	тем что	1	3
98	а наоборот	1	3
99	до конца	17	3
100	или с	1	3
101	для этой	1	3
102	и там	3	3
103	и от	3	3
104	на новый	1	3
105	одним из	2	2
106	тем и	1	2
107	это и	2	2
108	но она	2	2
109	между собой	1	2
110	не был	2	2
111	с одной	5	2
112	с этим	2	2
113	все же	6	2
114	как уже	2	2
115	и как	3	2
116	не было	2	2
117	этой цели	1	2
118	не можем	1	2
119	та же	1	2
120	если он	1	2
121	характер в	1	2
122	людей и	2	2
123	связанные с	4	2
124	об этом	1	2
125	должно быть	1	2
126	и еще	1	2
127	так в	2	2
128	в своей	1	2
129	в их	2	2
130	не столько	3	2
131	должны были	1	2
132	силу и	1	2
133	тем не	1	2
134	не менее	4	2
135	в то	4	2
136	дело не	1	2
137	того как	2	2
138	никогда не	7	2
139	к ней	2	2
140	во всем	4	2
141	связи с	3	2
142	кроме того	2	2
143	все то	1	2
144	в состав	3	2
145	что при	1	2
146	говорит о	1	2
147	должен быть	2	2
148	в виду	1	2
149	за пределами	1	2
150	не с	3	2
151	еще в	1	2
152	образом в	1	2
153	с другим	1	2
154	или их	1	2
155	влияние на	2	2
156	с другой	5	2
157	что и	3	2
158	в форме	2	2
159	также в	1	2
160	представления о	1	2
161	в него	7	2
162	в самый	1	2
163	один из	5	2
164	совсем не	1	2
165	и ее	1	2
166	иной характер	1	2
167	где они	2	2
168	совершался в	1	2
169	одно из	1	2
170	связано с	3	2
171	чем в	2	2
172	здесь в	3	2
173	прежде всего	8	2
174	одной стороны	5	2
175	там где	6	2
176	если она	3	2
177	могут быть	7	2
178	быть только	1	2
179	этом и	1	2
180	вокруг него	2	2
181	и для	5	2
182	жизни в	2	2
183	только как	1	2
184	и при	2	2
185	в своих	1	2
186	ту же	3	1
187	отношение к	4	1
188	человека и	3	1
189	и есть	1	1
190	исключения и	1	1
191	из самых	1	1
192	женщины и	1	1
193	можно говорить	2	1
194	и до	1	1
195	применении к	1	1
196	с таким	2	1
197	сливается с	4	1
198	мы уже	2	1
199	например в	5	1
200	она в	1	1
201	не была	3	1
202	говорить о	3	1
203	в самих	1	1
204	полное и	1	1
205	так называемые	1	1
206	в ней	3	1
207	и иначе	1	1
208	на нем	2	1
209	слова эти	1	1
210	что его	1	1
211	в различных	2	1
212	тем как	1	1
213	только два	1	1
214	самих себя	1	1
215	к слову	1	1
216	и свои	2	1
217	к сожалению	1	1
218	отнюдь не	1	1
219	независимо от	2	1
220	стороны и	3	1
221	в своем	6	1
222	в различные	2	1
223	к новому	3	1
224	все остальные	1	1
225	перед нами	3	1
226	хотя и	2	1
227	и наконец	5	1
228	более или	2	1
229	увидим что	1	1
230	в самом	1	1
231	уже в	2	1
232	он в	1	1
233	что так	1	1
234	выражение в	1	1
235	рассказ о	1	1
236	однако как	1	1
237	ее как	1	1
238	как он	2	1
239	на то	1	1
240	но на	1	1
241	вообще не	1	1
242	в нем	19	1
243	так сказать	6	1
244	образом на	1	1
245	всех этих	4	1
246	только в	5	1
247	в нее	2	1
248	но все	5	1
249	интересами и	1	1
250	значение в	2	1
251	в другом	2	1
252	на все	1	1
253	из себя	3	1
254	а как	1	1
255	знает что	1	1
256	входит в	4	1
257	того или	1	1
258	те или	1	1
259	и отдельные	1	1
260	пародии и	1	1
261	за ней	2	1
262	чаще всего	1	1
263	не соответствует	1	1
264	в новое	4	1
265	на основании	1	1
266	такой же	1	1
267	остается в	5	1
268	оно же	1	1
269	или менее	2	1
270	нужно чтобы	1	1
271	при изучении	1	1
272	или точнее	1	1
273	в такой	1	1
274	место в	1	1
275	но эта	2	1
276	только для	1	1
277	как от	1	1
278	однако в	2	1
279	и таким	1	1
280	с которой	1	1
281	можно понимать	1	1
282	как о	2	1
283	эти формы	4	1
284	нас это	1	1
285	дело в	2	1
286	и притом	1	1
287	ее с	1	1
288	на него	2	1
289	в основе	4	1
290	подходят к	1	1
291	в игру	1	1
292	следовательно и	1	1
293	ничего не	1	1
294	с одним	2	1
295	где уже	1	1
296	по своей	1	1
297	и его	33	1
298	же он	1	1
299	звучит в	1	1
300	этом отношении	3	1
301	не является	1	1
302	от их	1	1
303	и оно	2	1
304	и здесь	2	1
