N	3gram	Tiupa_Lite_1	Problema
1	по отношению к	2	19
2	не может быть	1	11
3	с точки зрения	2	6
4	в отличие от	5	5
5	между тем как	1	5
6	и прежде всего	3	5
7	в большинстве случаев	1	5
8	эстетический объект и	1	4
9	в данном случае	4	4
10	с другой стороны	1	4
11	в конечном счете	4	4
12	на самом деле	1	3
13	в самом деле	1	3
14	бы то ни	1	3
15	можно было бы	1	3
16	далеко не всегда	1	3
17	с одной стороны	2	3
18	то же время	5	3
19	в том что	11	3
20	в то же	5	3
21	тем не менее	2	3
22	в том же	3	2
23	отношению к действительности	1	2
24	в лучшем случае	1	2
25	и в частности	1	2
26	то ни было	1	2
27	не только в	4	2
28	мы имеем дело	1	2
29	от эстетического объекта	3	2
30	может и не	1	2
31	и тем самым	2	2
32	не может и	1	2
33	эстетического объекта не	1	2
34	в этом отношении	2	2
35	себя самого как	1	1
36	существенно живет на	1	1
37	именно в том	1	1
38	но в большинстве	1	1
39	к себе самому	1	1
40	культуры и в	1	1
41	иметь в виду	1	1
42	в свою очередь	1	1
43	не говоря уже	2	1
44	в этом последнем	1	1
45	подобно тому как	2	1
46	в частности для	1	1
47	имеется в виду	1	1
48	не могли быть	1	1
49	до сих пор	1	1
50	говоря уже о	1	1
51	как это ни	1	1
52	при этом в	3	1
53	в основе всего	1	1
54	по аналогии с	3	1
55	на основе общей	1	1
56	резко отличается от	1	1
57	его связи с	1	1
58	на то что	1	1
59	могли бы быть	1	1
60	не есть ли	1	1
61	в равной мере	1	1
62	в значительной степени	1	1
63	но в то	1	1
64	как говорится в	1	1
65	а также и	1	1
66	в равной степени	1	1
67	и в этом	1	1
68	по отношению ко	1	1
69	которые могли бы	1	1
70	в связи с	4	1
71	внутреннего и внешнего	1	1
72	факторов художественного впечатления	2	1
73	или иной культурной	1	1
74	как совокупность факторов	2	1
75	живет на границах	1	1
76	эстетического объекта данного	1	1
77	не может стать	1	1
78	не выходит за	1	1
79	в себе никакой	1	1
80	оно было бы	1	1
81	совокупность факторов художественного	2	1
82	в его связи	1	1
83	жизни и искусства	1	1
84	быть не может	1	1
85	бы не было	1	1
86	не нуждается в	1	1
87	себе самой в	1	1
88	дело в том	2	1
89	при этом быть	1	1
