N	2gram	Vinokur_St_3	slovoVRo
1	и в	25	41
2	в нем	1	30
3	и т	8	28
4	то есть	2	26
5	т п	6	23
6	литературного языка	1	20
7	могут быть	2	19
8	во всех	2	17
9	не только	12	16
10	и не	10	16
11	точки зрения	7	16
12	но и	9	16
13	а не	5	15
14	то же	5	14
15	и на	6	14
16	в то	7	14
17	и его	3	14
18	в пределах	1	14
19	может быть	19	14
20	и др	4	14
21	не может	7	14
22	в сущности	2	13
23	в его	12	13
24	в этом	24	12
25	до конца	3	12
26	же время	3	12
27	как бы	6	12
28	так и	5	11
29	язык и	1	10
30	в той	1	10
31	слово в	2	10
32	поэтического слова	2	9
33	все эти	3	9
34	таким образом	10	9
35	той или	1	9
36	или иной	2	9
37	точка зрения	4	8
38	как в	6	8
39	но в	5	8
40	на его	4	8
41	с точки	4	8
42	как мы	2	8
43	в особенности	4	8
44	или в	2	8
45	может не	1	8
46	слова в	1	8
47	прежде всего	10	8
48	отношение к	4	7
49	все же	4	7
50	жизни слова	1	7
51	в своей	4	7
52	не в	6	7
53	вовсе не	2	7
54	с ним	1	7
55	зрения на	1	7
56	в поэтическом	1	7
57	на фоне	1	7
58	все они	3	7
59	во всяком	4	7
60	того же	2	6
61	в плане	2	6
62	это не	7	6
63	в них	5	6
64	в отношении	2	6
65	слова как	2	6
66	только в	6	6
67	по своим	1	6
68	а в	6	6
69	отношении к	1	6
70	и к	4	5
71	в самом	2	5
72	так сказать	2	5
73	т д	2	5
74	всяком случае	4	5
75	все это	8	5
76	со своим	1	5
77	не на	2	5
78	подхода к	1	5
79	в языке	8	5
80	к нему	4	5
81	как его	1	5
82	с другой	5	5
83	ту же	1	4
84	одним из	1	4
85	по преимуществу	1	4
86	поэзии и	1	4
87	в ней	4	4
88	еще не	2	4
89	с его	3	4
90	за пределы	1	4
91	и наконец	3	4
92	в которой	4	4
93	всех этих	3	4
94	не как	2	4
95	в каждом	4	4
96	и с	4	4
97	лишь в	4	4
98	на почве	5	4
99	языка но	1	4
100	как и	4	4
101	в их	3	4
102	том же	1	4
103	преимущественно в	1	4
104	и для	4	4
105	с ее	2	4
106	ничего не	4	4
107	автор не	1	4
108	все его	1	4
109	язык в	1	4
110	один из	2	4
111	ли он	1	4
112	с одной	2	4
113	рядом с	1	4
114	одной стороны	3	4
115	и все	1	4
116	там где	1	4
117	в смысле	4	4
118	кроме того	3	4
119	известной степени	1	4
120	другой стороны	5	4
121	также и	1	3
122	в первом	1	3
123	его же	1	3
124	в своем	1	3
125	не требует	1	3
126	более или	1	3
127	из этих	6	3
128	связанные с	1	3
129	в поэзии	2	3
130	и сам	1	3
131	как оно	1	3
132	и может	2	3
133	его в	1	3
134	было бы	7	3
135	он не	5	3
136	и прямо	1	3
137	или менее	1	3
138	и ее	2	3
139	точку зрения	2	3
140	которые в	2	3
141	а иногда	1	3
142	не могло	1	3
143	никогда не	2	3
144	в разных	1	3
145	произведения как	2	3
146	и здесь	3	3
147	в других	1	3
148	к тому	2	3
149	смысле в	1	3
150	и этим	1	3
151	образом в	1	3
152	но здесь	1	3
153	тем чем	1	3
154	формы и	1	3
155	о том	8	3
156	не выходит	1	3
157	и во	2	3
158	все время	2	3
159	того что	5	3
160	в том	20	3
161	поэтому и	1	3
162	в качестве	4	3
163	конечно не	1	3
164	и других	2	3
165	из них	1	3
166	для него	3	3
167	с различными	1	3
168	так как	3	3
169	друг друга	1	3
170	у него	9	3
171	именно в	1	3
172	в свою	2	3
173	не было	4	3
174	в истории	1	3
175	не были	1	3
176	с этим	7	3
177	в данном	1	3
178	по существу	1	3
179	с этой	3	3
180	в результате	2	3
181	хотя бы	1	3
182	язык это	1	3
183	одной из	2	3
