N	2gram	Medvedev_V_1	OGranits
1	и в	26	13
2	и его	6	12
3	прежде всего	13	9
4	может быть	22	8
5	не может	17	8
6	и не	19	8
7	в его	14	7
8	и их	3	7
9	точки зрения	3	7
10	только в	7	6
11	как бы	5	6
12	не только	25	6
13	то что	6	6
14	таким образом	31	6
15	художественного произведения	6	5
16	все же	5	5
17	и наконец	2	5
18	но ведь	1	5
19	в поэзии	1	5
20	в музыке	1	5
21	в процессе	16	5
22	словесного материала	1	5
23	хотя бы	19	5
24	произведения как	5	4
25	еще и	2	4
26	но в	2	4
27	то же	10	4
28	лишь в	2	4
29	в сознании	4	4
30	в своей	4	4
31	было бы	7	4
32	все это	10	4
33	не является	5	4
34	материала в	1	4
35	в каждом	2	4
36	вряд ли	1	3
37	связана с	2	3
38	и то	1	3
39	в ее	4	3
40	самом деле	1	3
41	в пределах	5	3
42	так и	5	3
43	понятно что	1	3
44	говорить о	2	3
45	в их	5	3
46	по отношению	7	3
47	за пределы	1	3
48	общего с	1	3
49	с этим	3	3
50	в которой	2	3
51	ни один	7	3
52	в себе	6	3
53	не как	1	3
54	в одном	4	3
55	одно и	1	3
56	материала и	1	3
57	но и	10	3
58	как и	7	3
59	не в	6	3
60	да и	1	3
61	но для	2	3
62	и для	2	3
63	никогда не	4	3
64	и все	1	3
65	отношению к	7	3
66	не столько	2	3
67	что в	10	3
68	в искусстве	6	3
69	ничего общего	1	3
70	смысле слова	2	2
71	произведения но	1	2
72	и др	9	2
73	данном случае	1	2
74	художественных произведений	1	2
75	зависимости от	5	2
76	и может	2	2
77	роль в	4	2
78	и этот	2	2
79	к анализу	1	2
80	представлений и	2	2
81	является уже	1	2
82	если бы	3	2
83	и стиль	1	2
84	в ней	2	2
85	ее в	4	2
86	а также	1	2
87	в чем	2	2
88	между тем	5	2
89	явлений и	3	2
90	в общем	2	2
91	во всей	2	2
92	что они	3	2
93	вслед за	2	2
94	наконец в	1	2
95	к сожалению	2	2
96	чем же	4	2
97	может иметь	1	2
98	как в	1	2
99	в данном	1	2
100	в этом	26	2
101	в том	15	2
102	мы видим	1	2
103	вся область	1	2
104	с ними	4	2
105	или иного	1	2
106	во времени	1	2
107	в целом	4	2
108	все эти	6	2
109	с одной	2	2
110	уже в	1	2
111	кажется что	1	2
112	иным как	1	2
113	в нем	6	2
114	для него	8	2
115	в другом	2	2
116	вовсе не	3	2
117	в зависимости	6	2
118	тем что	1	2
119	в них	4	2
120	связанных с	1	2
121	этой проблемы	3	2
122	в области	2	2
123	с другой	11	2
124	а как	2	2
125	в самом	4	2
126	входит в	1	2
127	того или	2	2
128	не чем	1	2
129	одной стороны	2	2
130	материал в	1	2
131	он только	1	2
132	соответствии с	1	2
133	литературное произведение	1	2
134	а не	7	2
135	другой стороны	8	2
136	между собою	2	2
137	несмотря на	1	2
138	в связи	3	2
139	том что	8	2
140	и при	5	2
141	и ее	4	2
142	так же	3	2
143	в течение	2	2
144	которой является	1	2
145	с этой	1	2
146	слова и	1	2
147	художественное произведение	5	2
148	не менее	2	2
149	что эта	1	2
150	самого начала	1	2
151	не имеет	1	2
152	особенностей в	1	2
153	в книге	2	2
154	форм и	1	2
155	функцию в	1	2
156	на язык	2	2
157	наиболее полно	1	2
158	собственно говоря	1	2
159	от всех	1	2
160	бы в	3	2
161	а в	3	2
162	еще в	1	2
163	в целях	2	2
164	нет ничего	1	2
165	героя и	1	2
166	и к	3	2
167	в словесном	2	2
168	могут быть	5	2
169	чем иным	1	2
170	и отбор	2	2
171	в своих	2	2
172	к тому	4	2
173	данной области	1	1
174	и это	1	1
175	можно говорить	1	1
176	оно может	1	1
177	одним из	5	1
178	также и	2	1
179	в словесной	1	1
180	же как	2	1
181	своего развития	1	1
182	даже самые	1	1
183	человека и	3	1
184	и через	2	1
185	в виду	4	1
186	значительной мере	3	1
187	выражения в	1	1
188	как известно	2	1
189	на основе	5	1
190	что до	1	1
191	это и	6	1
192	и есть	5	1
193	и сводится	4	1
194	проявляются в	1	1
195	ту же	2	1
196	или иная	1	1
197	он всегда	1	1
198	философской системы	1	1
199	мере возможности	1	1
200	в образе	2	1
201	можно было	2	1
202	в нескольких	1	1
203	в несколько	1	1
204	мы имеем	3	1
205	содержания в	1	1
206	остается только	1	1
207	но у	1	1
208	мы в	1	1
209	вопрос о	1	1
210	для этого	1	1
211	по себе	2	1
212	по мере	1	1
213	это обычно	1	1
214	замысла так	1	1
215	утверждает и	1	1
216	связанное с	2	1
217	на себя	1	1
218	с ее	1	1
219	сводится к	3	1
220	из того	1	1
221	но даже	3	1
222	то это	2	1
223	или только	1	1
224	в действительной	1	1
225	другом месте	2	1
226	и он	2	1
227	в каждой	1	1
228	собою и	2	1
229	внимание на	1	1
230	следует иметь	2	1
231	и что	1	1
232	комплексы и	1	1
233	должна заняться	1	1
234	еще не	2	1
235	связи со	1	1
236	в различных	2	1
237	классового сознания	1	1
238	художественном творчестве	6	1
239	является таким	1	1
240	несомненно и	1	1
241	в конечном	7	1
242	развития не	1	1
243	не знала	1	1
244	но не	2	1
245	или иные	1	1
246	этом говорит	1	1
247	представляется не	1	1
248	высокой и	1	1
249	переходит в	1	1
250	отношение к	1	1
251	отметить что	2	1
252	в едином	1	1
253	богатство и	1	1
254	нет и	3	1
255	разница в	1	1
256	или иное	1	1
257	и достоевский	2	1
258	в свои	1	1
259	и речи	1	1
260	на то	1	1
261	даже для	1	1
262	каждом отдельном	2	1
263	в истории	1	1
264	полагая что	1	1
265	статье о	1	1
266	познания в	4	1
267	в своем	8	1
268	то или	1	1
269	один из	5	1
270	моменты в	1	1
271	творца и	1	1
272	понять и	1	1
273	и как	3	1
274	всего не	2	1
275	стиль в	1	1
276	одной из	1	1
277	этот вопрос	3	1
278	что он	4	1
279	более или	6	1
280	недостаточно изучены	1	1
281	роль играет	1	1
282	есть его	1	1
283	или иную	1	1
284	не должна	1	1
285	который в	1	1
286	в значительной	3	1
287	не приходится	2	1
288	под ним	1	1
289	и ряд	1	1
290	сам собой	1	1
291	образную систему	1	1
292	его роль	1	1
293	процессов в	1	1
294	его классового	1	1
295	платон в	1	1
296	чуть ли	2	1
297	замысла и	4	1
298	ни одна	2	1
299	в этой	4	1
300	определили как	1	1
301	в дальнейшем	1	1
302	элементов в	1	1
303	события и	1	1
304	конечно не	1	1
305	и у	2	1
306	если конечно	1	1
307	только на	1	1
308	если он	1	1
309	закрепленное в	1	1
310	положение что	1	1
311	себя и	1	1
312	в нашей	4	1
313	как совершенно	1	1
314	и если	1	1
315	другое если	1	1
316	и чисто	1	1
317	является не	4	1
318	что она	2	1
319	в статье	4	1
320	этого процесса	1	1
321	или даже	1	1
322	и других	1	1
323	на эту	1	1
324	раз навсегда	1	1
325	его и	1	1
326	конечном счете	5	1
327	ту или	1	1
328	всем своем	1	1
329	и социальной	2	1
330	в понимании	1	1
331	в виде	1	1
332	содержания и	1	1
333	мы полагаем	1	1
334	сказал что	1	1
335	проблемы не	1	1
336	в конце	3	1
337	особенно часто	1	1
338	что без	2	1
339	но что	1	1
340	только с	2	1
341	из него	1	1
342	каждый из	1	1
343	еще одну	1	1
344	подобно тому	2	1
345	и никогда	1	1
346	на этом	1	1
347	его можно	1	1
348	говорит следующее	4	1
349	не обязательна	1	1
350	образом не	3	1
351	и вместе	1	1
352	даже и	3	1
353	для того	3	1
354	этим самым	1	1
355	же не	1	1
356	борьбы и	1	1
357	воплощенной в	1	1
358	в особенности	2	1
359	и иметь	1	1
360	и характер	1	1
361	бы быть	1	1
362	для своей	1	1
363	говорить не	3	1
364	не нашел	1	1
365	последнем счете	1	1
366	его в	3	1
367	те или	1	1
368	этим путем	1	1
369	его себе	1	1
370	и сложнее	1	1
371	если только	1	1
372	свести к	1	1
373	и дает	1	1
374	процессе творчества	1	1
375	представляет собою	11	1
376	как же	1	1
377	заключается в	2	1
378	лежит в	1	1
379	в живом	1	1
380	что мы	2	1
381	к более	1	1
382	произведения не	2	1
383	полагаем что	1	1
384	само собою	2	1
385	для них	1	1
386	не было	7	1
387	которые не	1	1
388	поскольку она	1	1
389	далеко не	2	1
390	из наиболее	1	1
391	и самый	1	1
392	и определяет	1	1
393	через напряжение	1	1
394	необходимость в	2	1
395	не всегда	1	1
396	которой он	1	1
397	он и	2	1
398	отмечает и	2	1
399	отнюдь не	3	1
400	же самый	1	1
401	отражается в	1	1
402	выйти за	1	1
403	от индивидуальной	3	1
404	должно быть	2	1
405	все произведение	2	1
406	особенностей и	1	1
407	если не	1	1
408	момента в	1	1
409	есть одно	1	1
410	или менее	6	1
411	полностью в	1	1
412	себе в	1	1
413	художественного творчества	18	1
414	творческой работы	1	1
415	и особенно	1	1
416	как это	12	1
417	теперь к	1	1
418	что всякий	1	1
419	в которых	3	1
420	однако индивидуальный	1	1
421	идти только	1	1
422	предисловии к	1	1
423	он говорит	5	1
424	к этому	9	1
425	тому как	2	1
426	столь резко	2	1
427	богаче и	1	1
428	говорит как	1	1
429	их в	6	1
430	его учеников	1	1
431	и наоборот	1	1
432	в последнем	2	1
433	может идти	1	1
434	зрения и	1	1
435	не создает	1	1
436	это особенно	2	1
437	что такое	2	1
438	только то	2	1
439	тому что	6	1
440	необходимо учитывать	1	1
441	нет никакого	1	1
442	теоретиков искусства	1	1
443	быть и	1	1
444	является для	1	1
445	вплоть до	2	1
446	но это	1	1
447	о значении	1	1
448	эта способность	2	1
449	в начале	1	1
450	к двум	1	1
451	обратимся к	1	1
452	виду что	1	1
453	в то	6	1
454	как о	2	1
455	мысли в	1	1
456	например у	2	1
457	уже из	1	1
458	одна из	4	1
459	в науке	2	1
