N	3gram	Losev_Dial_1	VeschiIm
1	и т д	19	20
2	не может быть	3	18
3	это значит что	9	17
4	и больше ничего	1	9
5	что иное как	1	8
6	не что иное	1	8
7	т д и	2	7
8	д и т	2	7
9	по крайней мере	4	6
10	не есть ни	6	6
11	в том что	7	6
12	на то что	4	6
13	в чем же	1	5
14	одно и то	4	5
15	содержит в себе	3	5
16	и то же	4	5
17	значит что мы	1	5
18	есть не что	1	5
19	тем не менее	1	5
20	т е не	1	4
21	с точки зрения	12	4
22	было бы и	2	4
23	не есть только	1	4
24	что не есть	2	4
25	то же время	4	4
26	значит ли это	2	4
27	в то же	4	4
28	не есть просто	1	4
29	что значит что	1	3
30	более или менее	3	3
31	в самом деле	1	3
32	что она есть	1	3
33	и в то	2	3
34	сам по себе	6	3
35	это значило бы	1	3
36	из того что	1	3
37	можно было бы	4	3
38	то и другое	2	3
39	но что такое	2	3
40	значило бы что	1	3
41	что она уже	1	3
42	только то что	3	3
43	само по себе	5	3
44	что это –	2	3
45	вещи не есть	1	3
46	ли это что	2	3
47	но это –	3	3
48	сама по себе	8	3
49	по смыслу своему	1	2
50	есть нечто совершенно	1	2
51	можно сказать что	3	2
52	мы говорим что	2	2
53	то это значит	2	2
54	что нужно для	1	2
55	дело в том	1	2
56	но даже и	1	2
57	и что они	1	2
58	мы находим в	2	2
59	то что не	1	2
60	ничто не мешает	2	2
61	уже не есть	1	2
62	и в частности	2	2
63	что такое этот	1	2
64	никогда не есть	1	2
65	и ни с	1	2
66	можно говорить о	1	2
67	того что она	1	2
68	я не буду	3	2
69	и – мы	2	2
70	в нем нет	3	2
71	что это есть	1	2
72	его на то	1	2
73	и даже не	2	2
74	ни тем более	1	2
75	то или другое	1	2
76	к тому что	2	2
77	не указывает на	1	2
78	так что в	1	2
79	никакого отношения к	1	2
80	это не есть	1	2
81	она не может	1	2
82	и есть только	1	2
83	так или иначе	1	2
84	я мог бы	2	1
85	и может быть	1	1
86	вытекает того что	1	1
87	как она есть	3	1
88	это уже не	1	1
89	а потому что	1	1
90	и тому же	1	1
91	сознания и бытия	1	1
92	общего ни с	1	1
93	имеется в виду	1	1
94	а потом уже	2	1
95	то что я	2	1
96	только потому что	3	1
97	вещи что же	1	1
98	заключается не в	1	1
99	не вытекает того	1	1
100	даже больше того	2	1
101	все это –	1	1
102	математического естествознания и	1	1
103	ясно что смысл	1	1
104	что это значит?	1	1
105	это было бы	1	1
106	т е прежде	4	1
107	то ясно что	1	1
