N	3gram	Bakhtin_fo_2	Problema
1	и т п	11	13
2	не может быть	1	11
3	с точки зрения	8	6
4	в отличие от	1	5
5	между тем как	1	5
6	и прежде всего	3	5
7	в большинстве случаев	3	5
8	в данном случае	1	4
9	с другой стороны	1	4
10	на самом деле	1	3
11	с одной стороны	1	3
12	как мы увидим	1	3
13	то же время	4	3
14	в том что	3	3
15	в то же	4	3
16	и в нем	1	3
17	в чем не	1	2
18	можно сказать что	1	2
19	то же самое	2	2
20	в том же	4	2
21	со всех сторон	1	2
22	на первый план	2	2
23	но и в	3	2
24	ни в чем	1	2
25	и во всех	2	2
26	и в то	3	2
27	не только в	5	2
28	мы здесь не	1	2
29	во всех своих	1	2
30	и в них	1	2
31	той или иной	1	2
32	не входят в	1	2
33	для того чтобы	7	2
34	в этом отношении	2	2
35	именно в том	1	1
36	в соотнесении с	1	1
37	мы в дальнейшем	1	1
38	только в пределах	1	1
39	то есть как	1	1
40	к себе самому	3	1
41	а вовсе не	1	1
42	в виду что	1	1
43	в свою очередь	1	1
44	вторым и третьим	1	1
45	также и в	1	1
46	протяжении всего романа	2	1
47	счете может быть	1	1
48	о том как	3	1
49	здесь в большинстве	1	1
50	здесь не можем	1	1
51	а следовательно и	2	1
52	до сих пор	2	1
53	важно лишь что	1	1
54	более того в	1	1
55	сами по себе	2	1
56	и др и	1	1
57	не было бы	2	1
58	по аналогии с	1	1
59	с тем что	1	1
60	с самим собою	1	1
61	себе самому к	1	1
62	может быть и	2	1
63	анализа отдельных произведений	1	1
64	широком смысле слова	1	1
65	т п имеет	1	1
66	конечно не в	1	1
67	с прошлым и	1	1
68	уже за пределами	1	1
69	то время как	1	1
70	как бы уже	1	1
71	но в то	1	1
72	таким образом и	1	1
73	для еще более	1	1
74	большое значение для	1	1
75	а также и	1	1
76	и должно быть	2	1
77	и в этом	3	1
78	по сравнению с	1	1
79	это имеет место	1	1
80	и как бы	1	1
81	и в их	1	1
82	во всех отношениях	1	1
83	в связи с	7	1
84	то есть не	1	1
85	становится как бы	1	1
86	в наши задачи	1	1
87	не для того	2	1
88	между вторым и	1	1
89	как момент в	1	1
90	о которых мы	1	1
91	на основе этого	1	1
92	в связи со	1	1
93	то что в	1	1
94	формы и прежде	1	1
95	равно как и	2	1
96	в то время	1	1
97	бытия в его	1	1
98	человека и его	1	1
99	в тех же	1	1
100	мы будем рассматривать	1	1
101	и т д	3	1
102	на протяжении всего	2	1
103	то есть в	1	1
104	дело идет о	1	1
105	выходит за пределы	1	1
106	не выходит за	1	1
107	но не на	1	1
108	в другом случае	1	1
109	как мы уже	4	1
110	чего еще нет	1	1
111	это как бы	1	1
112	к тому что	1	1
113	прошлым и будущим	1	1
114	первый план выступает	1	1
115	к вопросу о	3	1
116	сплошь во всех	1	1
117	бы не было	1	1
118	сомнений и в	1	1
119	как и в	1	1
120	быть и должно	1	1
121	и в другом	1	1
