N	2gram	Vinokur_St_3	Retstnzi
1	не может	7	4
2	и в	25	3
3	в центре	4	2
4	один из	2	2
5	если в	2	2
6	нет и	2	1
7	больше ничего	1	1
8	в особенности	4	1
9	и не	10	1
10	можно и	1	1
11	тому что	3	1
12	не только	12	1
13	связи с	3	1
14	литературного языка	1	1
15	к историческому	2	1
16	бы на	1	1
17	событий и	1	1
18	точки зрения	7	1
19	на примере	1	1
20	но и	9	1
21	и должно	1	1
22	не менее	2	1
23	в системе	3	1
24	тех же	1	1
25	не из	1	1
26	по своим	1	1
27	в ней	4	1
28	с теми	1	1
29	на месте	1	1
30	в то	7	1
31	с точки	4	1
32	подхода к	1	1
33	и на	6	1
34	вопрос что	1	1
35	для него	3	1
36	и социальной	1	1
37	мы видим	4	1
38	на русской	1	1
39	может не	1	1
40	и больше	1	1
41	в языке	8	1
42	на нее	2	1
43	русской почве	1	1
44	в выборе	2	1
45	анализа и	1	1
46	к тому	2	1
47	а не	5	1
48	его от	1	1
49	может быть	19	1
50	при анализе	1	1
51	вполне понятно	1	1
52	несмотря на	3	1
53	русского литературного	1	1
54	в его	12	1
55	же время	3	1
56	то же	5	1
57	и все	1	1
58	из этих	6	1
59	можно назвать	4	1
60	если бы	4	1
61	в каждом	4	1
62	бы в	1	1
