N	2gram	Tiupa_Disk_1	Dialekti
1	не есть	2	40
2	и не	11	30
3	по себе	3	25
4	и в	16	18
5	точки зрения	3	17
6	может быть	17	17
7	и есть	2	16
8	в нем	9	16
9	не имеет	1	15
10	потому что	4	14
11	а не	22	14
12	не только	28	13
13	и даже	3	13
14	то что	5	13
15	что в	4	13
16	в этом	15	12
17	было бы	1	12
18	с точки	1	12
19	если бы	1	12
20	и что	2	12
21	не может	9	12
22	в мифе	1	12
23	что это	1	11
24	учение о	1	11
25	в себе	7	11
26	что он	4	11
27	как бы	5	11
28	то же	7	10
29	несмотря на	1	10
30	что такое	1	10
31	прежде всего	11	10
32	сказать что	3	10
33	и то	1	9
34	отнюдь не	8	9
35	так и	8	9
36	это не	3	9
37	том что	19	9
38	никогда не	2	9
39	в том	23	9
40	но это	1	8
41	в каком	1	8
42	к нему	1	8
43	также и	3	7
44	и как	6	7
45	что она	1	7
46	что не	4	7
47	той или	3	7
48	не существует	1	7
49	но и	14	7
50	сам по	1	6
51	хотя бы	3	6
52	в чем	1	6
53	не то	1	6
54	но в	8	6
55	с другой	10	6
56	не в	7	6
57	в то	3	6
58	можно сказать	5	6
59	не было	7	6
60	да и	1	6
61	говорить о	1	5
62	я не	1	5
63	и он	2	5
64	утверждаю что	1	5
65	отношение к	4	5
66	в своем	6	5
67	все же	3	5
68	себе не	3	5
69	в противоположность	2	5
70	на то	1	5
71	и мы	1	5
72	в этих	1	5
73	ни о	1	5
74	в виду	2	5
75	не с	3	5
76	мы должны	1	5
77	он сам	1	5
78	в особенности	4	5
79	говорит о	1	5
80	или не	1	5
81	а в	5	5
82	это и	1	4
83	одно и	1	4
84	об этом	2	4
85	как таковой	1	4
86	по крайней	2	4
87	и более	1	4
88	и притом	1	4
89	же время	4	4
90	не о	1	4
91	к тому	5	4
92	как мы	2	4
93	не могу	1	4
94	только то	1	4
95	и вообще	2	4
96	о том	8	4
97	крайней мере	2	4
98	быть и	1	4
99	но не	11	4
100	в котором	5	4
101	в конце	1	4
102	мы можем	1	4
103	как раз	1	4
104	как это	1	4
105	хотя и	2	4
106	может и	2	4
107	другой стороны	3	4
108	во всяком	2	4
109	нем нет	1	3
110	отношения к	2	3
111	самом деле	1	3
112	только потому	1	3
113	но она	1	3
114	мысли и	2	3
115	на самом	1	3
116	а только	1	3
117	если в	1	3
118	что они	1	3
119	стороны и	2	3
120	более или	2	3
121	от этого	1	3
122	в самом	3	3
123	из мифа	1	3
124	он не	1	3
125	всех этих	1	3
126	содержит в	1	3
127	что ни	1	3
128	но все	1	3
129	этом смысле	1	3
130	обе стороны	1	3
131	в них	4	3
132	или менее	2	3
133	в их	5	3
134	вплоть до	1	3
135	в основе	7	3
136	но только	1	3
137	в науке	2	3
138	к мифу	1	3
139	могут быть	4	3
140	его с	1	3
141	указывает на	2	3
142	и о	4	3
143	что и	3	3
144	один из	3	3
145	только в	7	3
146	только на	1	3
147	или иной	5	3
148	даже не	1	3
149	еще и	1	3
150	ничем не	1	3
151	и потому	3	3
152	в данном	5	3
153	что же	2	3
154	в его	7	3
155	тех или	1	3
156	не является	4	3
157	и все	2	3
158	у них	1	3
159	или нет	1	3
160	отношении к	1	3
161	о чем-то	1	3
162	можно говорить	1	2
163	чтобы не	1	2
164	разных степеней	1	2
165	он всегда	2	2
166	для своего	2	2
167	и мифа	1	2
168	и состоит	1	2
169	вопрос о	1	2
170	в полной	1	2
171	мы и	1	2
172	быть в	1	2
173	как таковая	1	2
174	из этих	1	2
175	но как	2	2
176	точка зрения	2	2
177	и всякий	1	2
178	себе и	1	2
179	с этим	3	2
180	что касается	2	2
181	просто как	1	2
182	человеческого сознания	3	2
183	бы и	1	2
184	образом и	1	2
185	не был	1	2
186	мифа и	1	2
187	тому же	5	2
188	в первую	1	2
189	в виде	1	2
190	не как	4	2
191	на земле	1	2
192	на этом	2	2
193	которое как	1	2
194	в каждом	2	2
195	могла бы	2	2
196	и может	1	2
197	в мире	1	2
198	это было	2	2
199	с другими	1	2
200	чаще всего	1	2
201	но уже	1	2
202	мы имеем	2	2
203	с этой	1	2
204	как и	16	2
205	до сих	1	2
206	и при	1	2
207	в своей	5	2
208	всяком случае	1	2
209	себе а	1	2
210	во всем	1	2
211	в которых	4	2
212	и от	1	2
213	не должна	1	2
214	образ не	1	2
215	можно указать	1	2
216	не знает	1	2
217	раз и	1	2
218	если и	1	2
219	не менее	2	2
220	но они	2	2
221	как можно	1	2
222	дело не	2	2
223	к ним	3	2
224	заметить что	2	2
225	и является	1	2
226	из того	1	2
227	этом отношении	1	2
228	отличается от	2	2
229	и это	1	2
230	о которых	1	2
231	как не	3	2
232	на нем	1	2
233	в другом	2	2
234	мог бы	1	2
235	или на	3	2
236	в эпоху	5	2
237	по мере	2	2
238	на что	1	2
239	том или	1	2
240	вслед за	1	2
241	того что	3	2
242	в современной	1	2
243	что здесь	1	2
244	чем он	2	2
245	с ними	1	2
246	с одной	9	2
247	в качестве	34	2
248	уже не	4	2
249	то и	1	2
250	из них	3	2
251	для него	4	2
252	и их	1	2
253	со стороны	7	2
254	что человек	1	2
255	именно в	3	2
256	здесь в	2	2
257	с той	1	2
258	а с	5	2
259	с ней	1	2
260	стремится к	1	2
261	о чем	2	2
262	мы сами	1	2
263	в частности	9	2
264	объекта и	1	2
265	как в	10	2
266	одной стороны	9	2
267	еще не	14	2
268	сих пор	1	2
269	об одном	1	2
270	я всегда	1	2
271	тем более	1	2
272	ни к	6	2
273	я в	1	2
274	а о	2	2
275	они были	1	2
276	в отдельности	1	2
277	что даже	2	2
278	мифа как	2	2
279	к этому	2	2
280	новое время	1	1
281	как известно	1	1
282	речь идет	1	1
283	например в	2	1
284	не остается	1	1
285	не становится	1	1
286	и без	2	1
287	тем же	1	1
288	и реального	1	1
289	чего не	1	1
290	к другому	2	1
291	и до	1	1
292	в основании	3	1
293	однако даже	1	1
294	той же	1	1
295	а как	1	1
296	и само	1	1
297	учения об	1	1
298	мы не	1	1
299	из жизни	3	1
300	только благодаря	1	1
301	но исключительно	1	1
302	общем виде	2	1
303	на себя	2	1
304	для выявления	1	1
305	без которой	1	1
306	столь же	3	1
307	говорит и	2	1
308	в различных	2	1
309	во всех	5	1
310	с реальной	1	1
311	различия между	3	1
312	в ее	3	1
313	не требует	1	1
314	в сторону	4	1
315	нет и	1	1
316	и чем	1	1
317	нет как	1	1
318	мифа так	1	1
319	что хотя	1	1
320	в той	1	1
321	не входят	1	1
322	его на	1	1
323	из уст	2	1
324	в связи	1	1
325	мысль о	1	1
326	когда он	2	1
327	сознания в	2	1
328	это тоже	1	1
329	его к	1	1
330	и к	4	1
331	следующим образом	1	1
332	не более	2	1
333	в правильности	1	1
334	к чему	1	1
335	не приходится	2	1
336	в которой	1	1
337	по преимуществу	1	1
338	с их	1	1
339	для которых	1	1
340	но его	1	1
341	эпохи и	2	1
342	говорит не	1	1
343	при этом	13	1
344	и эти	1	1
345	в понимании	1	1
346	она вся	1	1
347	к одному	1	1
348	не к	1	1
349	показать на	1	1
350	в силу	5	1
351	полной мере	1	1
352	чем она	1	1
353	и по	2	1
354	так например	2	1
355	или иных	1	1
356	таким образом	3	1
357	которые существенно	1	1
358	не будет	1	1
359	есть все	1	1
360	же касается	2	1
361	а по	2	1
362	то есть	20	1
363	для своей	1	1
364	зрения на	3	1
365	с целью	1	1
366	первую очередь	1	1
367	от одного	1	1
368	наконец для	1	1
369	то все	1	1
370	могу не	1	1
371	и тем	2	1
372	не соответствует	1	1
373	на сцене	2	1
374	в новое	1	1
375	в жизни	1	1
376	далеко не	10	1
377	в этой	2	1
378	со своими	1	1
379	не всегда	2	1
380	не заметить	1	1
381	оно имеет	1	1
382	потому и	1	1
383	более глубоком	1	1
384	только тем	1	1
385	имеет место	3	1
386	как такое	1	1
387	привело к	4	1
388	о такой	1	1
389	как произведение	1	1
390	представление о	1	1
391	не индивидуален	1	1
392	процесса и	1	1
393	мир и	1	1
394	что особенно	1	1
395	есть его	1	1
396	которые в	1	1
397	сами по	2	1
398	том чтобы	2	1
399	тем не	1	1
400	не могли	1	1
401	где нет	1	1
402	мере и	1	1
403	и вся	1	1
404	чистом виде	1	1
405	же сам	1	1
406	стоит в	1	1
407	о теории	1	1
408	тем самым	1	1
409	до известной	1	1
410	виду что	1	1
411	самого начала	1	1
412	то чего	1	1
413	дело в	1	1
414	и научный	1	1
415	о них	1	1
416	чем не	1	1
417	все наши	1	1
418	как формы	2	1
419	имеем дело	2	1
420	этих двух	1	1
