N	2gram	Propp_Morf_1	Istorich
1	в сказке	15	47
2	и т	41	27
3	и в	13	26
4	т д	39	24
5	так же	3	18
6	т е	21	18
7	то что	8	16
8	не только	4	15
9	может быть	52	14
10	что в	8	14
11	между двумя	1	12
12	но и	4	12
13	в лесу	1	12
14	и пр	37	11
15	так и	6	10
16	таким образом	21	10
17	и его	1	10
18	что он	4	10
19	при помощи	9	10
20	все же	7	9
21	этот случай	5	9
22	его в	2	9
23	волшебное средство	10	9
24	что и	7	9
25	так как	16	9
26	и не	12	9
27	то же	7	8
28	не ешь	1	8
29	коня и	2	8
30	этих случаях	11	8
31	на коне	5	8
32	а в	7	8
33	я тебе	1	7
34	мы имеем	9	7
35	в этом	14	7
36	он не	3	7
37	об этом	4	7
38	с конем	1	7
39	как и	3	7
40	в этих	13	7
41	во время	6	7
42	их в	1	7
43	в иное	5	7
44	как в	3	7
45	волшебных предметов	1	7
46	что здесь	1	7
47	в качестве	5	7
48	в сказку	3	7
49	героя в	4	7
50	и то	1	6
51	конь и	1	6
52	еще не	3	6
53	что они	2	6
54	д к	1	6
55	не всегда	9	6
56	мы можем	2	6
57	могут быть	16	6
58	к нему	3	6
59	мы видим	13	6
60	потому что	3	6
61	а не	11	6
62	не может	14	6
63	предположить что	1	6
64	иное царство	5	6
65	это и	2	5
66	мы уже	1	5
67	то это	3	5
68	но не	4	5
69	и как	5	5
70	но в	2	5
71	уже не	2	5
72	в силу	1	5
73	и по	2	5
74	с собой	3	5
75	но все	3	5
76	у яги	3	5
77	в другом	2	5
78	и с	1	5
79	это не	6	5
80	не в	3	5
81	точно так	1	5
82	ничего не	4	5
83	и у	1	5
84	как мы	6	5
85	и здесь	5	5
86	и что	2	5
87	в его	1	5
88	в животное	1	5
89	с ними	1	5
90	раньше чем	3	5
91	в одном	1	5
92	у него	1	5
93	тем что	4	5
94	до сих	1	5
95	и др	10	5
96	в некоторых	3	5
97	из которых	3	5
98	сих пор	1	5
99	мы должны	3	5
100	в точности	3	5
101	к этому	3	5
102	в доме	1	4
103	вопрос о	7	4
104	в числе	2	4
105	в которых	2	4
106	тогда как	2	4
107	дает нам	1	4
108	в этот	1	4
109	в плену	1	4
110	но он	1	4
111	интересно что	1	4
112	три года	3	4
113	сказке не	1	4
114	в своей	1	4
115	но эта	1	4
116	что этот	1	4
117	даже в	1	4
118	того как	2	4
119	же он	1	4
120	представляют собой	11	4
121	здесь не	2	4
122	о том	2	4
123	и даже	1	4
124	вовсе не	4	4
125	герой получает	5	4
126	с другой	8	4
127	такое же	1	4
128	когда герой	1	4
129	а на	3	4
130	а по	3	4
131	к сказке	1	4
132	этот мотив	1	4
133	в тех	6	4
134	другой стороны	4	4
135	он получает	1	3
136	например в	2	3
137	помощника мы	1	3
138	верхом на	1	3
139	тебе пригожусь	1	3
140	и действительно	1	3
141	из этих	1	3
142	в одной	1	3
