N	4gram	Tiupa_Anal_1	KulturaY
1	до тех пор пока	1	4
2	в той или иной	3	2
3	одного и того же	2	2
4	один и тот же	1	2
5	лишь в том случае	1	2
6	не говоря уже о	1	2
7	обращает на себя внимание	1	1
8	и не может быть	4	1
9	той мере в какой	2	1
10	одной и той же	1	1
11	есть не более чем	1	1
12	а то и просто	1	1
13	в самом деле как	1	1
14	в собственном смысле слова	1	1
15	и вместе с тем	1	1
16	с этой точки зрения	1	1
17	на тех же основаниях	1	1
18	в самом деле в	1	1
19	той или иной форме	1	1
20	не только в том	1	1
21	ни в коем случае	2	1
22	в то же время	6	1
23	в той мере в	2	1
