N	2gram	Medvedev_V_1	VrazhdaK
1	в году	6	18
2	тургенева и	2	18
3	у тургенева	3	11
4	не только	25	9
5	в этом	26	8
6	и в	26	8
7	достоевский в	1	8
8	и что	1	8
9	достоевского в	1	7
10	достоевского и	2	7
11	но и	10	7
12	и все	1	7
13	года в	1	7
14	то что	6	7
15	что в	10	7
16	все же	5	6
17	но в	2	6
18	в нем	6	6
19	как и	7	6
20	в котором	3	6
21	о нем	1	6
22	в начале	1	6
23	и даже	2	6
24	в романе	4	6
25	то же	10	5
26	об этом	9	5
27	в то	6	5
28	же время	5	5
29	между тем	5	5
30	в письме	13	5
31	у него	6	5
32	не было	7	5
33	и не	19	5
34	в ней	2	4
35	что он	4	4
36	в истории	1	4
37	целый ряд	1	4
38	это не	7	4
39	несмотря на	1	4
40	февраля года	1	4
41	в дневнике	2	4
42	все это	10	4
43	письме к	9	4
44	и тургенев	1	4
45	в виду	4	4
46	тургенев в	1	4
47	с ним	1	4
48	о том	10	4
49	для нас	1	4
50	у достоевского	1	4
51	и детей	1	4
52	уже в	1	4
53	отцов и	1	4
54	может быть	22	4
55	тургенев не	1	4
56	как бы	5	4
57	в своих	2	4
58	так же	3	4
59	речь идет	1	3
60	одним из	5	3
61	он был	1	3
62	в чем	2	3
63	с его	3	3
64	к творчеству	1	3
65	в своем	8	3
66	и как	3	3
67	на то	1	3
68	его в	3	3
69	он не	2	3
70	далеко не	2	3
71	том что	8	3
72	в черновиках	1	3
73	но он	1	3
74	что есть	1	3
75	и его	6	3
76	связи с	4	3
77	человека в	2	3
78	что у	2	3
79	и во	1	3
80	в его	14	3
81	в том	15	3
82	апреля года	2	3
83	и у	2	3
84	в конце	3	3
85	тем что	1	3
86	в связи	3	3
87	марта года	2	3
88	т е	18	3
89	к этому	9	3
90	же как	2	2
91	и то	1	2
92	и он	2	2
93	он сам	2	2
94	но как	3	2
95	ответ на	1	2
96	он пишет	7	2
97	и достоевский	2	2
98	отнюдь не	3	2
99	в известном	1	2
100	в той	1	2
101	и дети	1	2
