N	3gram	Berdyaev_O_1	Hudozhes
1	в том что	1	11
2	о том что	1	7
3	так и не	1	4
4	том что в	1	3
5	как и в	1	3
6	для того чтобы	3	3
7	в самом деле	1	3
8	не может быть	2	3
9	и в этом	2	2
10	как будто бы	1	2
11	а не в	2	2
12	о том как	1	2
13	это часто случается	1	1
14	в том случае	1	1
15	ни с какой	1	1
16	в самом начале	1	1
17	с утра до	1	1
18	и в том	1	1
19	что это за	1	1
20	сказать про него	1	1
21	я верю в	1	1
22	том случае если	1	1
23	и то что	1	1
24	сказать что они	2	1
25	все та же	1	1
26	а иногда и	1	1
27	нет у него	1	1
28	в этом отношении	1	1
29	и в самом	1	1
30	утра до вечера	1	1
31	человека а не	1	1
32	после того как	1	1
33	которым можно было	1	1
34	человека в его	2	1
35	ни с чем	1	1
36	у него в	5	1
37	в его жизни	1	1
38	и все же	1	1
39	что нет у	1	1
40	как например в	1	1
41	самое главное в	1	1
42	и все что	1	1
43	развивал в своей	1	1
44	это было бы	2	1
45	человека к богу	1	1
46	как бы в	1	1
47	как это часто	1	1
48	ли может быть	1	1
