N	3gram	Tiupa_Narr_1	Problemy
1	с точки зрения	2	13
2	в этом смысле	1	10
3	то же время	3	9
4	о себе самом	1	9
5	в то же	3	9
6	по отношению к	6	8
7	в том что	8	6
8	на самом деле	1	4
9	том что он	1	4
10	а не как	1	4
11	не может быть	5	4
12	подобно тому как	2	3
13	не входит в	1	3
14	то что было	1	3
15	сами по себе	2	3
16	все то что	1	3
17	в этом отношении	3	3
18	само по себе	1	3
19	с другой стороны	4	3
20	но все же	4	2
21	в самом деле	1	2
22	точку зрения на	1	2
23	до сих пор	1	2
24	и в то	1	2
25	бы то ни	3	2
26	лишь одним из	1	2
27	только то что	1	2
28	но это не	1	2
29	во всей его	1	2
30	он ни был	1	2
31	в данном случае	4	2
32	не только в	2	2
33	пространстве а не	1	2
34	бы он ни	1	2
35	все же не	4	2
36	можно было бы	2	2
37	же как и	1	1
38	оно и не	1	1
39	каков бы он	1	1
40	тому или другому	1	1
41	дело в том	1	1
42	в свою очередь	3	1
43	он не может	1	1
44	и даже не	1	1
45	то же самое	1	1
46	к самому герою	1	1
47	ничем не отличается	1	1
48	с таким же	1	1
49	все те же	4	1
50	несмотря на свою	1	1
51	не отличается от	2	1
52	точно так же	2	1
53	как мы уже	1	1
54	она может быть	1	1
55	может быть только	1	1
56	по крайней мере	1	1
57	точке зрения на	1	1
58	что оно есть	1	1
59	так и в	1	1
60	может быть и	1	1
61	они и не	1	1
62	какой бы то	1	1
63	так же как	2	1
64	а не только	1	1
65	между ними не	1	1
66	в этом не	1	1
67	в первом случае	2	1
68	то ни было	3	1
69	на первый взгляд	2	1
70	тех или иных	1	1
71	отношению к нему	1	1
72	в известном смысле	2	1
73	не довлеет себе	1	1
74	один из этих	1	1
75	героя но и	1	1
76	к другому сознанию	1	1
77	авторской позиции и	1	1
78	и больше всего	1	1
79	именно в том	2	1
80	по себе не	1	1
81	высказывания и в	1	1
82	этой точки зрения	2	1
83	о том что	6	1
84	того или иного	2	1
85	более или менее	2	1
86	независимо от того	1	1
87	по себе а	1	1
88	это и ставит	1	1
89	в другое противоположное	1	1
90	может показаться что	1	1
91	можно сказать что	4	1
92	или может быть	1	1
93	что в плане	1	1
94	до известной степени	1	1
95	и в форме	2	1
96	друг с другом	1	1
97	отношение к своему	1	1
98	перед нами не	2	1
99	единства подобно тому	1	1
100	это не так	1	1
101	как мы видели	1	1
