N	2gram	Berdyaev_O_1	Psycholo
1	то что	5	44
2	и в	19	33
3	в этом	12	28
4	и что	1	25
5	как бы	3	25
6	все время	1	24
7	потому что	9	24
8	для того	3	23
9	том что	2	22
10	того чтобы	4	22
11	может быть	11	22
12	что в	4	21
13	в том	5	21
14	о том	3	20
15	что он	3	20
16	как это	1	14
17	что это	1	13
18	и не	13	13
19	все это	6	13
20	сказать что	2	13
21	самом деле	1	12
22	в самом	5	12
23	было бы	3	12
24	и все	10	12
25	так как	2	12
26	он не	7	11
27	что все	2	11
28	на то	1	10
29	что она	1	10
30	если бы	1	10
31	в его	7	10
32	не может	4	10
33	в этой	5	9
34	по себе	2	9
35	в конце	1	8
36	как будто	1	8
37	в своем	2	7
38	не только	11	7
39	в нем	10	7
40	так что	2	7
41	до конца	7	7
42	когда он	3	7
43	на самом	1	6
44	в сущности	1	6
45	в ней	1	6
46	что они	2	6
47	все эти	4	6
48	в себе	3	6
49	после этого	1	6
50	и вот	3	6
51	но он	7	6
52	в самой	9	6
53	это не	3	6
54	трагедии и	1	6
55	у него	22	6
56	а не	11	6
57	мы не	1	5
58	и на	2	5
59	все же	2	5
60	и как	1	5
61	как и	6	5
62	нисколько не	1	5
63	никогда не	9	5
64	и его	4	5
65	и это	1	5
66	с ним	3	5
67	заключается в	1	5
68	что для	2	5
69	вовсе не	1	5
70	связь с	1	5
71	и есть	3	4
72	в которой	2	4
73	говорит о	1	4
74	он убивает	1	4
75	это было	3	4
76	с тем	2	4
77	в своей	2	4
78	одна из	1	4
79	ее с	1	4
80	а в	5	4
81	с другом	1	4
82	у нас	1	4
83	и о	2	4
84	что у	2	4
85	можно было	1	4
86	о нем	1	4
87	того что	3	4
88	в жизни	1	4
89	и других	1	4
90	из них	1	4
91	никто не	3	4
92	что не	4	4
93	в частности	1	4
94	друг с	1	4
95	совершенно не	1	4
96	жизни и	1	4
97	ее в	2	4
98	к этому	2	4
99	например в	1	3
100	совершенно новый	1	3
101	и до	1	3
102	в первый	1	3
103	и он	8	3
104	но не	1	3
105	к которой	1	3
106	как в	1	3
107	от этого	1	3
108	та же	1	3
109	его в	2	3
110	должен был	2	3
111	этого слова	1	3
112	должно быть	2	3
113	в дневнике	2	3
114	она не	1	3
115	и для	2	3
116	он видит	1	3
117	в мире	1	3
118	так и	2	3
119	и здесь	1	3
120	что и	2	3
121	том как	1	3
122	в уста	2	3
123	был бы	1	3
124	всяком случае	1	3
125	в одном	1	3
126	тем что	2	3
127	и из	2	3
128	но и	13	3
129	на этот	1	3
130	не было	9	3
131	он говорит	1	3
132	смысле этого	1	3
133	да и	1	3
134	указывает на	1	3
135	к этой	2	3
136	в своих	3	3
137	во всяком	1	3
138	нем нет	3	2
139	также и	1	2
140	сам по	1	2
141	и то	2	2
142	между двумя	1	2
143	жизни ее	1	2
144	всей ее	1	2
145	и ее	3	2
146	с его	4	2
147	и всякий	1	2
148	себе и	1	2
149	со стороны	1	2
150	в одной	1	2
151	что нет	1	2
152	не в	11	2
153	и к	2	2
154	но в	2	2
155	бы и	1	2
