N	2gram	Tiupa_Disk_1	Tvorches
1	у достоевского	1	28
2	и в	16	21
3	как бы	5	17
4	в то	3	15
5	то же	7	13
6	времени в	2	13
7	в его	7	13
8	то есть	20	12
9	как и	16	12
10	же время	4	12
11	что в	4	12
12	с его	4	11
13	том что	19	11
14	как в	10	8
15	он не	1	8
16	то что	5	8
17	в году	2	7
18	и на	5	7
19	но в	8	7
20	не только	28	7
21	при этом	13	7
22	тем самым	1	7
23	и не	11	7
24	в том	23	7
25	в свою	3	7
26	в этом	15	6
27	в творчестве	1	6
28	человека в	2	6
29	в котором	5	6
30	не менее	2	6
31	и его	2	6
32	по природе	5	6
33	он сам	1	6
34	о том	8	6
35	и все	2	6
36	что он	4	6
37	для него	4	6
38	а в	5	6
39	жизни в	2	6
40	отнюдь не	8	5
41	все же	3	5
42	в этой	2	5
43	таким образом	3	5
44	в своих	3	5
45	в русской	1	5
46	потому что	4	5
47	как будто	1	5
48	только в	7	5
49	может быть	17	5
50	а не	22	5
51	но это	1	5
52	это уже	1	5
53	хотя бы	3	5
54	не имеют	1	4
55	конечном счете	1	4
56	в своем	6	4
57	и как	6	4
58	в целом	4	4
59	самим собой	1	4
60	это не	3	4
61	в своей	5	4
62	мысли и	2	4
63	своего рода	8	4
64	не случайно	1	4
65	по сути	4	4
66	в мире	1	4
67	времени и	3	4
68	в конечном	1	4
69	одной из	4	4
70	прежде всего	11	4
71	в момент	2	4
72	не может	9	4
73	и от	1	4
74	в основном	1	4
75	один из	3	4
76	одним из	2	4
77	на самом	1	3
78	это и	1	3
79	той же	1	3
80	я не	1	3
81	не был	1	3
82	со всеми	1	3
83	хотя и	2	3
84	в самом	3	3
85	представляет собой	17	3
86	в нем	9	3
87	он ни	2	3
88	в россии	1	3
89	на его	4	3
90	на земле	1	3
91	и по	2	3
92	в каждом	2	3
93	и других	1	3
94	на протяжении	2	3
95	соответствии с	2	3
96	далеко не	10	3
97	в их	5	3
98	представление о	1	3
99	дело не	2	3
100	самого начала	1	3
101	дело в	1	3
102	не по	1	3
103	никогда не	2	3
104	этой книги	1	3
105	стремится к	1	3
106	с ее	2	3
107	и другие	1	3
108	с самого	1	3
109	там же	1	3
110	повести и	1	3
111	того что	3	3
112	по мнению	1	3
113	времени как	1	3
114	уже не	4	3
115	уже в	2	3
116	в виде	1	3
117	говорит о	1	3
118	в соответствии	2	3
119	в которой	1	3
120	и даже	3	3
121	с другой	10	3
122	но и	14	3
123	что человек	1	3
124	в рассказе	2	3
125	но не	11	3
126	сути дела	2	3
127	он говорит	1	3
128	в книге	1	3
129	не существует	1	3
130	это как	1	3
131	это в	2	3
132	в нашей	1	2
133	того же	3	2
134	самом деле	1	2
135	некоторые из	1	2
136	в первом	3	2
137	по преимуществу	1	2
138	а как	1	2
139	но она	1	2
140	и он	2	2
141	героя и	2	2
142	в отличие	5	2
143	в чем	1	2
144	не то	1	2
145	если в	1	2
146	отличие от	5	2
147	в одной	3	2
148	же с	1	2
149	как к	2	2
150	когда он	2	2
151	но его	1	2
152	отчасти и	1	2
153	в себе	7	2
154	следуя за	1	2
155	что она	1	2
156	тем не	1	2
157	так сказать	2	2
158	в принципе	2	2
159	не будет	1	2
160	этом он	1	2
161	о котором	2	2
162	а по	2	2
163	действительности в	1	2
164	и тем	2	2
165	в данном	5	2
166	ведет к	3	2
167	и того	3	2
168	в этих	1	2
169	не столько	1	2
170	не в	7	2
171	по крайней	2	2
172	однако в	3	2
173	и притом	1	2
174	в основе	7	2
175	но только	1	2
176	свидетельствует о	2	2
177	личности в	1	2
178	могут быть	4	2
179	к тому	5	2
180	с традицией	1	2
181	отказаться от	1	2
182	в жизни	1	2
183	более не	1	2
184	в виду	2	2
185	не могу	1	2
186	данном случае	2	2
187	мысль о	1	2
188	в себя	5	2
189	приводит к	2	2
