N	3gram	Voloshinov_1	EvropaiE
1	с точки зрения	5	16
2	в то же	1	15
3	то же время	1	14
4	с одной стороны	2	8
5	в том что	2	6
6	с этой точки	1	5
7	так же как	1	5
8	этой точки зрения	1	5
9	для того чтобы	1	5
10	того или иного	2	4
11	само по себе	1	4
12	в этом отношении	1	3
13	можно было бы	1	3
14	ту или иную	1	3
15	прежде всего в	1	2
16	нам кажется что	1	2
17	то что в	1	2
18	в данном случае	2	2
19	но в то	1	2
20	с другой стороны	2	2
21	не может быть	4	2
22	хотя бы в	1	2
23	на то что	1	2
24	в пределах данной	2	1
25	что в этом	1	1
26	в последнее время	1	1
27	чуть ли не	1	1
28	но так как	2	1
29	более или менее	1	1
30	в тех случаях	1	1
31	же время в	1	1
32	в отличие от	1	1
33	тех случаях когда	1	1
34	почти никогда не	1	1
35	в значительной мере	1	1
36	то или иное	1	1
37	может быть и	1	1
38	существует только в	1	1
39	и тот же	1	1
40	а также и	1	1
41	в связи с	1	1
42	так и для	1	1
43	указать на то	1	1
44	один и тот	1	1
45	ориентироваться не на	1	1
46	мы не можем	1	1
47	та или иная	1	1
48	выходит за пределы	1	1
49	к тому что	1	1
50	тех или иных	1	1
51	не может в	1	1
