N	3gram	Voloshinov_1	Mirosoze
1	не может быть	3	17
2	вместе с тем	1	5
3	это и есть	1	4
4	в любви к	1	4
5	мы увидим что	1	3
6	человек не может	1	2
7	на этом пути	1	2
8	в конце пути	1	2
9	в свою противоположность	1	2
10	не могут быть	2	2
11	в высшей степени	1	2
12	для того чтобы	1	2
13	до сих пор	3	2
14	в том смысле	1	2
15	о том что	2	1
16	в него все	1	1
17	по сравнению с	3	1
18	в глубине ее	1	1
19	одну и ту	1	1
20	что иное как	1	1
21	новых и новых	1	1
22	он не был	1	1
23	в разных местах	1	1
24	имеем в виду	1	1
25	в том что	1	1
26	быть может наиболее	1	1
27	на протяжении всей	2	1
28	человека и все	1	1
29	в этот момент	1	1
30	не что иное	1	1
31	и есть та	1	1
32	есть прежде всего	1	1
33	мы имеем в	1	1
34	не был связан	1	1
35	и ту же	1	1
36	и та же	1	1
37	в самом деле	2	1
38	в нем нет	2	1
39	одна и та	1	1
40	влечет его к	1	1
41	ним может быть	1	1
42	а иногда и	1	1
43	во всяком случае	3	1
44	можно было бы	1	1
