N	3gram	Potebnia_M_4	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	3	9
4	в том что	7	7
5	на самом деле	3	6
6	во всяком случае	3	6
7	для того чтобы	4	6
8	а между тем	4	5
9	до сих пор	4	5
10	на то что	4	4
11	к тому чтобы	1	4
12	в том случае	3	4
13	не может быть	5	4
14	в этом случае	5	3
15	том случае если	1	3
16	вместе с тем	3	3
17	и не может	1	3
18	и то что	4	3
19	в данном случае	2	3
20	а следовательно и	1	2
21	то это потому	1	2
22	точно так же	1	2
23	в настоящее время	1	2
24	в том и	2	2
25	только в том	2	2
26	таким же образом	1	2
27	чтобы понять что	1	2
28	не только к	1	2
29	и в том	2	2
30	это потому что	2	2
31	и вместе с	1	2
32	лишь в том	1	2
33	о том что	5	2
34	друг от друга	1	2
35	в большинстве случаев	2	2
36	к тому что	1	2
37	но и к	1	2
38	даже тогда когда	1	1
39	и того же	1	1
40	в том виде	1	1
41	но мы должны	1	1
42	то-то и то-то	1	1
43	к ближнему и	1	1
44	в силу этого	1	1
45	то хотя бы	1	1
46	то есть не	1	1
47	дело в том	1	1
48	в свою очередь	1	1
49	по отношению к	8	1
50	в том числе	1	1
51	то же самое	4	1
52	в том же	2	1
53	может быть назван	3	1
54	так как оно	2	1
55	и не только	1	1
56	и то и	1	1
57	до известной степени	2	1
58	по отношению ко	1	1
59	лишь тогда когда	3	1
60	можно было говорить	2	1
61	они в своем	1	1
62	особое значение и	1	1
63	в этом отношении	1	1
64	том числе и	1	1
65	заключает в себе	8	1
66	на этот вопрос	2	1
67	что все это	1	1
68	по крайней мере	5	1
69	человек только тогда	1	1
70	не подлежит сомнению	1	1
71	то и другое	2	1
72	есть то что	2	1
73	не есть только	3	1
74	роль в истории	1	1
75	в том чтобы	1	1
76	не признает за	1	1
77	и состоит сущность	1	1
78	то этим самым	1	1
79	смысле этого слова	1	1
80	еще не было	1	1
81	на том основании	1	1
82	в этом состоит	1	1
83	но при этом	1	1
84	и в этом	4	1
85	и как бы	2	1
86	таким образом при	1	1
87	в этом настроении	1	1
88	в связи с	1	1
89	если бы все	1	1
90	друг к другу	1	1
91	не следует чтобы	1	1
92	о котором мы	1	1
93	одну и ту	1	1
94	и таким образом	3	1
95	а в том	2	1
96	не заботясь о	1	1
97	того и другого	1	1
98	том основании что	1	1
99	от того что	3	1
100	заключается в том	1	1
101	даже и в	1	1
102	мы можем думать	1	1
103	с самого начала	1	1
104	как бы ни	1	1
105	вопрос о том	2	1
106	если признать что	1	1
107	речь идет о	1	1
108	одного и того	1	1
109	и ту же	1	1
110	но на самом	1	1
111	мы не знаем	1	1
112	именно в силу	1	1
113	только в этом	1	1
114	тем не менее	4	1
115	по которому оно	1	1
116	быть не может	1	1
117	том случае когда	1	1
118	на первый взгляд	1	1
