N	3gram	Berdyaev_O_1	FransuaR
1	в том что	1	6
2	в эпоху возрождения	1	3
3	в этом отношении	1	3
4	даже и в	1	3
5	так и не	1	3
6	и прежде всего	1	3
7	но и в	2	2
8	нужно отметить что	1	2
9	и в том	1	2
10	и он всегда	1	1
11	одно из самых	1	1
12	в самом деле	1	1
13	еще одну особенность	1	1
14	и человеческих отношений	1	1
15	и не может	1	1
16	в нем все	1	1
17	и он не	1	1
18	к человеку и	4	1
19	от всех тех	1	1
20	но от этого	1	1
21	человека в его	2	1
22	в самом начале	1	1
23	в обычном смысле	1	1
24	человека и человеческих	1	1
25	не могут быть	2	1
26	гюго диккенса и	1	1
27	эпоху возрождения но	1	1
28	во всяком случае	1	1
29	в самой глубине	3	1
30	в одном месте	1	1
31	как бы в	1	1
32	не может быть	2	1
33	нем нет ничего	1	1
34	бросается в глаза	1	1
35	в нем нет	3	1
36	он еще не	1	1
37	он говорит в	1	1
38	для того чтобы	3	1
39	друг с другом	1	1
