N	2gram	Vinokur_St_1	Poddanst
1	не только	18	17
2	и в	44	14
3	и не	16	12
4	в области	14	11
5	в этом	21	10
6	в отношении	9	10
7	в качестве	4	9
8	но в	10	9
9	то же	5	9
10	в том	36	9
11	хотя бы	6	8
12	только в	10	7
13	в то	9	7
14	же время	4	7
15	в ней	3	6
16	xix века	1	6
17	было бы	17	6
18	е с	3	6
19	но и	10	6
20	р и	1	6
21	отношении к	1	5
22	россии в	1	5
23	в которых	5	5
24	с другой	9	5
25	может быть	15	5
26	п о	2	5
27	не в	12	5
28	и о	1	5
29	если бы	9	4
30	а также	2	4
31	в своем	2	4
32	и к	1	4
33	как бы	4	4
34	но также	9	4
35	том что	29	4
36	не может	8	4
37	и потому	2	4
38	в котором	5	4
39	по себе	1	4
40	а л	1	4
41	в русской	1	4
42	что в	30	4
43	а в	17	4
44	то что	18	4
45	и т	30	3
46	мы не	2	3
47	столь же	4	3
48	между тем	3	3
49	это не	8	3
50	хотя и	1	3
51	тот же	1	3
52	с одной	3	3
53	в себе	2	3
54	в нем	5	3
55	сами по	1	3
56	в россии	4	3
57	для того	10	3
58	заключается в	4	3
59	прежде всего	7	3
60	одной стороны	2	3
61	с тем	1	3
62	что мы	5	3
63	и без	3	3
64	с точки	8	3
65	но не	3	3
66	могут быть	5	3
67	т е	15	3
68	тем самым	2	3
69	потому что	6	3
70	точки зрения	11	3
71	и это	2	2
72	отношения к	2	2
73	например в	8	2
74	в ее	4	2
75	и есть	1	2
76	было в	1	2
77	является в	1	2
78	одних и	1	2
79	но к	1	2
80	сомнения что	1	2
81	время в	1	2
82	во всех	8	2
83	говорить о	2	2
84	если в	2	2
85	во всей	1	2
86	со стороны	6	2
87	с этим	3	2
88	того что	9	2
89	стороны и	1	2
90	и ц	1	2
91	ii в	1	2
92	бы ни	1	2
93	и и	2	2
94	думать что	2	2
95	есть в	2	2
96	но о	1	2
97	в начале	3	2
98	г и	2	2
99	и других	1	2
100	в его	9	2
101	из них	8	2
102	в виде	3	2
103	и вот	1	2
104	в выборе	1	2
105	как раз	4	2
106	где в	1	2
107	в статье	7	2
108	и с	3	2
109	точек зрения	1	2
110	именно в	6	2
111	и тем	3	2
112	для них	1	2
113	в них	1	2
114	не было	4	2
115	а не	16	2
116	д д	6	2
117	нужно было	2	2
118	более чем	2	2
119	не столько	1	2
120	культуры в	3	2
121	не менее	5	2
122	все это	5	2
123	между прочим	2	2
124	не о	1	2
125	одна из	1	2
126	сколько бы	1	2
127	она ни	1	2
128	при посредстве	1	2
129	мысль о	1	2
130	да и	3	2
131	еще более	4	2
132	тем более	4	2
133	в перспективе	1	2
134	для нас	7	2
135	исключительно в	1	2
136	в частности	4	2
137	как на	1	2
138	том числе	2	2
139	в применении	3	1
140	также и	9	1
141	же как	3	1
142	не очень	1	1
143	и то	5	1
144	тем и	1	1
145	как известно	1	1
146	на основе	1	1
147	индивидуальной личности	1	1
148	как по	1	1
149	оказаться в	1	1
150	тем же	3	1
151	во времена	4	1
152	в иных	2	1
153	и этим	1	1
154	на две	1	1
155	зрения той	1	1
156	применении к	3	1
157	должна быть	3	1
158	за то	3	1
159	поэзии и	1	1
160	в и	130	1
