N	3gram	Medvedev_S_1	Problema
1	в настоящее время	1	16
2	во всяком случае	1	10
3	в конце концов	2	7
4	по крайней мере	1	6
5	с одной стороны	1	5
6	в связи с	1	5
7	то же самое	1	5
8	в то же	1	4
9	сама по себе	1	4
10	в том что	2	4
11	на первый план	1	3
12	только то что	1	3
13	и в этом	1	3
14	в этой области	1	3
15	это и есть	1	2
16	друг от друга	1	2
17	тем более не	1	2
18	не может не	1	1
19	дает нам право	1	1
20	о том как	1	1
21	а в том	1	1
22	том что это	1	1
23	то что в	1	1
24	что все это	1	1
25	и в то	1	1
26	а с другой	1	1
27	может быть для	1	1
28	и только как	1	1
29	только в этом	2	1
30	это вовсе не	1	1
