N	2gram	Tiupa_Disk_2	Formalny
1	и в	16	38
2	в этом	16	27
3	может быть	16	23
4	и его	3	21
5	таким образом	1	20
6	и не	15	20
7	в самом	1	16
8	не в	3	15
9	прежде всего	7	15
10	не может	9	14
11	в нем	7	13
12	но и	11	13
13	в пределах	4	12
14	языка и	1	12
15	в поэзии	1	12
16	с его	6	11
17	в том	8	11
18	вовсе не	1	11
19	в его	3	10
20	не только	10	9
21	при этом	17	9
22	и с	2	9
23	как и	16	9
24	на почве	2	9
25	в процессе	1	9
26	самом деле	1	8
27	отнюдь не	6	8
28	все же	6	8
29	точки зрения	4	8
30	так и	9	8
31	конструктивное значение	1	8
32	что и	2	8
33	тем что	1	8
34	в первом	1	7
35	лишь в	1	7
36	для него	5	7
37	в своей	6	7
38	с точки	2	7
39	во втором	1	7
40	уже не	3	7
41	этом отношении	4	7
42	в других	1	7
43	не могут	1	7
44	слова и	1	7
45	что в	5	7
46	художественного произведения	1	6
47	и ее	3	6
48	в ней	2	6
49	в истории	1	6
50	все эти	3	6
51	в этой	4	6
52	то же	6	6
53	он не	3	6
54	могут быть	3	6
55	в языке	2	6
56	только в	3	6
57	как такового	1	6
58	то что	5	6
59	не было	3	6
60	вместе с	2	6
61	а не	14	6
62	речевого общения	1	6
63	в результате	2	6
64	а в	2	6
65	это и	1	5
66	по преимуществу	2	5
67	должна быть	2	5
68	говорить о	2	5
69	во всех	1	5
70	в то	5	5
71	в основе	4	5
72	же время	5	5
73	ни о	1	5
74	сводится к	2	5
75	и должно	1	5
76	и только	1	5
77	что он	2	5
78	всяком случае	1	5
79	именно в	2	5
80	что же	2	5
81	более того	1	5
82	и для	2	5
83	еще более	1	5
84	или иного	2	5
85	во всяком	1	5
86	в сущности	1	4
87	в сторону	1	4
88	как в	8	4
89	и наконец	3	4
90	не следует	3	4
91	не как	1	4
92	его от	1	4
93	входит в	2	4
94	восприятия и	1	4
95	не столько	3	4
96	как о	1	4
97	ничего не	1	4
98	к тому	1	4
99	здесь не	2	4
100	того или	1	4
101	но в	11	4
102	в большинстве	2	4
103	из них	3	4
104	не о	2	4
105	в особенности	1	4
106	и даже	1	4
107	в некоторых	1	4
108	другой стороны	2	4
109	там где	1	4
110	на фоне	1	4
111	вот как	1	4
112	как бы	4	4
