N	3gram	Vinokur_Ku_1	VrazhdaK
1	и все же	1	5
2	то же время	2	4
3	в то же	2	4
4	в связи с	3	3
5	с точки зрения	9	2
6	в письме к	1	2
7	не может быть	3	2
8	в том что	15	2
9	но не менее	1	1
10	в этом смысле	3	1
11	в соответствии с	3	1
12	тем более что	1	1
13	до сих пор	4	1
14	но нас интересует	1	1
15	в этом отношении	5	1
16	это состояло в	1	1
17	всего то что	1	1
18	в литературе и	1	1
19	точно так же	1	1
20	по крайней мере	5	1
21	и в то	1	1
22	одно и то	1	1
23	в это время	1	1
24	о том как	3	1
25	едва ли не	1	1
26	так же как	1	1
27	к вопросу о	1	1
28	все равно не	1	1
29	в их отношениях	1	1
30	и то же	1	1
31	а с другой	3	1
32	уже на пороге	1	1
33	во всяком случае	5	1
34	с другой стороны	6	1
35	тем не менее	4	1
36	заключается в том	2	1
37	в свою очередь	3	1
38	что в ней	1	1
39	о том что	5	1
40	и в самом	2	1
41	на этот раз	1	1
42	еще один пример	1	1
43	у целого ряда	1	1
44	лет тому назад	1	1
45	на то что	2	1
46	имеется в виду	1	1
47	то что они	1	1
48	что для нас	1	1
49	целого ряда других	1	1
50	речь идет о	2	1
