N	4gram	Potebnia_M_3	EvropaiC
1	лишь в том что	1	3
2	заключается в том что	1	3
3	в то же время	5	2
4	одно и то же	5	1
5	не заключающие в себе	1	1
6	в том что оно	2	1
7	не может быть сомнения	1	1
8	только в том случае	1	1
9	в том что как	1	1
10	как мы видели выше	1	1
11	в том что только	1	1
12	в то время как	1	1
13	именно в том что	1	1
14	не в том что	3	1
15	одной и той же	2	1
16	в том что он	2	1
17	до сих пор еще	1	1
18	но вместе с тем	1	1
19	а в том что	1	1
20	а между тем в	1	1
21	не говоря уже о	1	1
