N	3gram	Potebnia_M_1	Sotsiolo
1	по отношению к	13	2
2	не в том	4	2
3	в том что	13	2
4	что в них	1	1
5	а в том	3	1
6	то что в	1	1
7	с одной стороны	3	1
8	в сущности есть	1	1
9	только то что	1	1
10	противном случае пришлось	1	1
11	они ни были	2	1
12	во всяком случае	1	1
13	в связи с	1	1
14	в противном случае	3	1
15	в том и	2	1
16	именно в том	1	1
17	а между тем	3	1
18	то же время	3	1
19	друг от друга	2	1
20	и как только	1	1
21	и в этом	6	1
22	в то же	3	1
23	не было бы	1	1
24	по крайней мере	2	1
25	что на ней	1	1
26	сама по себе	3	1
27	бы они ни	2	1
28	случае пришлось бы	1	1
29	не в этих	1	1
