N	2gram	Berdyaev_V_1	Morfolog
1	может быть	1	52
2	и т	2	49
3	т д	2	47
4	в этих	3	16
5	могут быть	2	15
6	и в	16	13
7	в этом	4	13
8	так как	9	12
9	мы видим	1	11
10	видим что	1	10
11	то же	1	9
12	так и	4	9
13	не всегда	1	9
14	прежде всего	2	9
15	а не	7	9
16	и не	20	9
17	что и	3	8
18	с другой	1	8
19	в результате	1	8
20	вопрос о	1	7
21	все же	1	7
22	но не	2	6
23	это не	2	6
24	не могут	2	6
25	составные части	1	6
26	в форме	2	6
27	в том	3	6
28	а в	2	6
29	мы не	2	5
30	во всех	3	5
31	то что	9	5
32	в образе	4	5
33	потому что	4	5
34	вслед за	2	5
35	один из	2	5
36	мы увидим	1	5
37	как бы	5	5
38	и другие	1	5
39	то это	3	4
40	если в	1	4
41	как в	1	4
42	хотя и	5	4
43	не только	2	4
44	на этом	1	4
45	вовсе не	1	4
46	как и	4	4
47	на котором	1	4
48	ничего не	1	4
49	тем что	2	4
50	как мы	1	4
51	другой стороны	1	4
52	так же	1	4
53	на пути	1	4
54	что в	3	4
55	и для	3	3
56	но в	3	3
57	к чему	3	3
58	в целом	1	3
59	и по	1	3
60	но все	1	3
61	ни в	3	3
62	том что	2	3
63	на него	1	3
64	того чтобы	2	3
65	но и	5	3
66	к нему	1	3
67	и ее	1	3
68	в руки	1	3
69	по мотивам	1	3
70	что они	7	3
71	но это	3	3
72	иногда может	1	3
73	в последнем	2	3
74	как это	1	2
75	а с	2	2
76	себя за	1	2
77	чтобы овладеть	2	2
78	которое может	1	2
79	можно было	2	2
80	и за	2	2
81	с тем	2	2
82	и тогда	2	2
83	для него	2	2
84	за которым	1	2
85	все эти	3	2
86	не имеет	3	2
87	одна из	2	2
88	они и	2	2
89	для того	1	2
90	оно не	3	2
91	и что	3	2
92	если они	1	2
93	не с	2	2
94	является в	2	2
95	если за	1	2
96	того что	5	2
97	хотя бы	3	2
98	идет по	1	2
99	что он	4	2
100	только в	2	2
101	уже не	2	2
102	в виде	1	2
103	его и	2	2
104	себя и	1	2
105	что мы	4	2
106	самого себя	2	2
107	есть и	1	2
108	их на	1	2
109	не существует	1	2
110	от него	2	2
111	но вот	1	2
112	к этому	1	2
113	к людям	6	1
114	по законам	1	1
115	и то	2	1
116	победы над	1	1
117	свое место	1	1
118	их и	1	1
119	есть не	1	1
120	но она	1	1
121	что это	1	1
122	вместо того	2	1
123	средство для	1	1
124	в виду	1	1
125	кто же	1	1
126	он был	1	1
127	мы будем	1	1
128	но как	1	1
129	тогда как	1	1
130	отношение к	1	1
131	которые не	2	1
132	во что	1	1
133	более чем	2	1
134	его не	2	1
135	говорит что	1	1
136	по пути	5	1
137	его к	2	1
138	царства и	1	1
139	царство и	1	1
140	духа в	1	1
141	со своей	1	1
142	в которой	1	1
143	не в	3	1
144	в этой	1	1
145	не нужны	1	1
146	но прежде	1	1
147	его если	1	1
148	и вот	1	1
149	наука не	1	1
150	то ни	1	1
151	конечно в	1	1
152	и тем	1	1
153	превращаются в	2	1
154	между собою	1	1
155	в их	1	1
156	этому же	1	1
157	в первый	3	1
158	что я	3	1
159	и уж	1	1
160	а есть	2	1
161	тех которые	3	1
162	все это	5	1
163	тому что	3	1
164	и очень	1	1
165	она не	1	1
166	лишь к	1	1
167	того как	1	1
168	есть путь	1	1
169	она с	1	1
170	а остальные	2	1
171	от неба	1	1
172	у нас	1	1
173	всего в	2	1
174	дух в	1	1
175	к тому	3	1
176	не есть	6	1
177	того кому	1	1
178	прибавить к	1	1
179	где есть	1	1
180	как не	3	1
181	людей в	3	1
182	ни стало	1	1
183	и говорит	1	1
184	роль в	1	1
185	когда в	2	1
186	и с	1	1
187	что от	2	1
188	находится в	1	1
189	реакция на	1	1
190	но к	1	1
191	но мы	2	1
192	бы то	1	1
193	их в	3	1
194	на составные	1	1
195	тогда мы	1	1
196	в его	4	1
197	а потому	1	1
198	что бы	1	1
199	в лице	1	1
200	красоте и	1	1
201	д и	1	1
202	с ними	1	1
203	ли он	1	1
204	говорить о	4	1
205	и свободе	1	1
206	же и	1	1
207	что не	4	1
208	каким образом	1	1
209	этой новой	1	1
210	за ним	3	1
211	не так	2	1
212	же они	1	1
213	но путь	1	1
214	в одном	1	1
215	по иным	1	1
216	у него	1	1
217	и никогда	2	1
218	без такого	1	1
219	может и	1	1
220	может ли	1	1
221	результатом этого	1	1
222	я был	1	1
223	еще и	1	1
224	не нужна	3	1
225	и своего	1	1
226	на которых	1	1
227	ничем не	1	1
228	о чем	1	1
229	для их	2	1
230	всех людей	3	1
231	ведет к	1	1
232	в тот	1	1
233	говорят уже	1	1
234	он сжигает	1	1
235	это значит	1	1
236	с этой	1	1
237	с любовью	1	1
238	указать на	1	1
239	что очень	1	1
240	для нас	2	1
241	могли бы	1	1
242	и все	4	1
243	лишь как	1	1
244	освобождению и	1	1
245	этом нет	1	1
246	бы в	1	1
247	не будет	2	1
248	первый раз	3	1
249	и царство	1	1
250	таким же	1	1
251	во всяком	2	1
