N	3gram	Medvedev_F_1	FransuaR
1	то же время	8	10
2	в то же	8	10
3	до сих пор	6	8
4	в большинстве случаев	2	6
5	в том что	1	6
6	и в то	1	5
7	и до конца	3	4
8	в настоящее время	10	3
9	в том числе	1	3
10	в той же	1	3
11	начала и до	2	3
12	в связи с	2	3
13	до настоящего времени	2	3
14	с начала и	2	3
15	более или менее	6	2
16	и до сих	1	2
17	с точки зрения	13	2
18	бы то ни	3	2
19	том числе и	1	2
20	в этом процессе	2	2
21	как мы видели	2	2
22	в данном случае	1	2
23	но в то	2	2
24	с одной стороны	4	2
25	в нем и	2	2
26	не только не	2	2
27	с другой стороны	1	2
28	мы видим что	1	2
29	не может быть	5	2
30	и до настоящего	1	2
31	и глубже чем	1	1
32	еще далеко не	1	1
33	в чем же	1	1
34	прежде всего в	3	1
35	а также и	1	1
36	по отношению к	4	1
37	как один из	1	1
38	на самом деле	6	1
39	еще не было	1	1
40	и все остальные	1	1
41	одной стороны и	4	1
42	вместе с тем	1	1
43	с разных сторон	1	1
44	в отличие от	1	1
45	но и в	1	1
46	же время не	1	1
47	на самом же	1	1
48	в этом отношении	1	1
49	эпохи так и	1	1
50	в точке пересечения	1	1
51	может быть и	3	1
52	а отчасти и	2	1
53	них и в	1	1
54	не был понят	1	1
55	и в частности	2	1
56	мы полагаем что	2	1
57	в самом начале	1	1
58	с конкретностью и	1	1
59	то ни было	1	1
60	состоит в том	1	1
61	так и в	4	1
62	они вовсе не	1	1
63	и в этом	2	1
64	по сравнению с	1	1
65	настоящее время в	3	1
66	людей и вещей	1	1
67	это конечно не	1	1
68	и наконец в	2	1
69	самом же деле	1	1
70	вместо того чтобы	1	1
71	могут быть найдены	1	1
72	между этими двумя	1	1
73	данной эпохи и	1	1
74	мы не можем	2	1
75	и как бы	1	1
76	и притом в	1	1
77	и в лице	1	1
78	одним словом не	1	1
79	к миру когда	1	1
80	вовсе не как	1	1
81	в ее целом	3	1
82	с самого начала	1	1
83	выходит за пределы	1	1
84	заключается в том	1	1
85	как бы ни	3	1
86	прежде всего это	1	1
87	может и не	1	1
88	дело здесь идет	1	1
89	в этом смысле	1	1
90	и здесь в	1	1
91	лишена подхода к	1	1
92	или же в	1	1
93	настоящего времени еще	1	1
94	в предисловии к	1	1
95	в новое время	1	1
96	как мы знаем	1	1
