N	3gram	Losev_Vesc_1	RusskieA
1	в том что	4	15
2	и т д	19	9
3	вместе с тем	1	6
4	о том что	4	4
5	к тому что	2	4
6	с точки зрения	3	3
7	мы не можем	1	3
8	тем не менее	3	3
9	что иное как	7	2
10	и потому что	1	2
11	все же не	1	2
12	это не значит	1	2
13	в свою очередь	4	2
14	не значит что	1	2
15	не что иное	7	2
16	а следовательно и	1	1
17	есть один из	1	1
18	только потому что	1	1
19	т е очень	1	1
20	и того же	1	1
21	они состоят из	1	1
22	по меньшей мере	1	1
23	подобно тому как	4	1
24	одна из основных	1	1
25	т д и	5	1
26	и не только	4	1
27	же корень что	1	1
28	тот же корень	1	1
29	что мы имеем	1	1
30	можно говорить о	2	1
31	свое внимание на	1	1
32	на самом же	1	1
33	в себе и	1	1
34	в этом отношении	1	1
35	независимо от того	1	1
36	что не только	1	1
37	в собственном смысле	2	1
38	в свете того	1	1
39	можно было бы	1	1
40	же а не	1	1
41	же т е	3	1
42	только одна из	1	1
43	т е в	7	1
44	у него нет	1	1
45	не потому что	4	1
46	не только в	4	1
47	и этого мало	1	1
48	как будто бы	1	1
49	и как бы	1	1
50	потому что она	1	1
51	во всяком случае	2	1
52	в одно целое	1	1
53	так же как	1	1
54	только о том	1	1
55	самом же деле	1	1
56	не дает права	1	1
57	в одном и	1	1
58	перед нами как	1	1
59	в то время	1	1
60	не только потому	1	1
61	с тем что	1	1
62	и в и	1	1
63	вопрос о том	1	1
64	от жизни и	1	1
65	можно сказать что	3	1
66	на то что	2	1
67	одного и того	1	1
68	мы видим что	1	1
69	у нас в	2	1
70	друг с другом	1	1
71	потому что они	3	1
72	из них в	1	1
73	что и в	1	1
74	только тогда когда	2	1
75	слово для обозначения	1	1
76	один из самых	1	1
77	как мы знаем	1	1
78	в данном случае	2	1
