N	2gram	Bakhtin_sl_1	RusskieA
1	и в	41	29
2	том что	2	22
3	в том	3	22
4	как бы	12	18
5	в других	3	15
6	и другие	1	14
7	так как	3	13
8	может быть	14	13
9	п в	1	12
10	в этом	12	11
11	как и	4	11
12	одна из	2	11
13	в этот	1	10
14	не только	16	10
15	и с	4	10
16	все это	5	10
17	а на	2	9
18	о том	3	9
19	а в	6	9
20	его в	3	8
21	или на	1	8
22	но и	16	8
23	как в	8	7
24	данном случае	3	7
25	мы видели	1	7
26	или в	8	7
27	мы имеем	1	6
28	мы не	2	6
29	еще не	4	6
30	и на	14	6
31	при этом	6	6
32	таким образом	9	6
33	того чтобы	1	6
34	для нас	2	6
35	для того	2	6
36	вместе с	1	6
37	в данном	3	6
38	этом случае	2	6
39	же в	1	6
40	и т	28	5
41	но не	2	5
42	но в	8	5
43	это не	6	5
44	т д	5	5
45	не может	14	5
46	потому что	2	5
47	для этого	1	5
48	и что	1	5
49	или же	1	5
50	с ней	2	5
51	к этому	2	5
52	же как	2	4
53	то же	14	4
54	не все	1	4
55	что по	1	4
56	уже не	2	4
57	том же	4	4
58	а затем	1	4
59	в них	6	4
60	далеко не	5	4
61	становятся в	1	4
62	в которых	1	4
63	не в	7	4
64	у нас	2	4
65	а также	2	4
66	к нему	5	4
67	так что	2	4
68	то и	1	4
69	в виде	2	4
70	из них	3	4
71	именно в	3	4
72	а не	15	4
73	о чем	1	4
74	так же	2	4
75	по существу	3	4
76	и все	4	4
77	в таком	1	4
78	и через	1	3
79	и о	2	3
80	в ее	2	3
81	все эти	9	3
82	в этой	1	3
83	что она	1	3
84	по всем	1	3
85	и по	2	3
86	на этом	2	3
87	и других	3	3
88	с другими	5	3
89	этой силы	1	3
90	в эту	2	3
91	в этих	2	3
92	в котором	2	3
93	в отличие	1	3
94	но он	2	3
95	она не	3	3
96	как мы	8	3
97	во всех	17	3
98	того что	3	3
99	между тем	2	3
100	в качестве	3	3
101	связь с	2	3
102	или даже	2	3
103	друг друга	3	3
104	отличие от	1	3
105	по всей	3	3
106	что для	1	3
107	до конца	12	3
108	и там	3	3
109	и от	4	3
110	было бы	3	3
111	но если	1	3
112	одним из	4	2
113	и то	2	2
114	тем и	2	2
115	на самом	2	2
116	в стороне	1	2
117	рассматривается как	1	2
118	но она	1	2
119	между собой	2	2
120	не был	1	2
121	там и	1	2
122	с одной	4	2
123	иногда и	1	2
124	а через	1	2
125	с этим	3	2
126	все же	7	2
127	не было	3	2
128	в руках	1	2
129	них как	2	2
130	та же	1	2
131	в которой	4	2
132	из этих	3	2
133	как оно	3	2
134	не к	1	2
135	людей и	1	2
136	связанные с	3	2
137	смерть и	1	2
138	для них	2	2
139	должно быть	2	2
140	так в	2	2
141	в своей	7	2
142	в их	4	2
143	не столько	1	2
144	тем не	1	2
145	не менее	1	2
146	а иногда	3	2
147	в то	14	2
148	дело не	2	2
149	с элементами	1	2
150	никогда не	3	2
151	во всем	1	2
152	связи с	2	2
153	кроме того	4	2
154	все то	1	2
155	день в	1	2
156	должен быть	1	2
157	в виду	1	2
158	за пределами	2	2
159	смерти в	1	2
160	то время	2	2
161	можно было	2	2
162	не с	2	2
163	оно как	2	2
164	жизнь и	1	2
165	образом в	3	2
166	своей книге	1	2
167	влияние на	1	2
168	с другой	5	2
169	можно встретить	1	2
170	у них	2	2
171	что и	1	2
172	в форме	1	2
173	в него	3	2
174	один из	4	2
175	и ее	3	2
176	где они	2	2
177	есть в	1	2
178	на эту	1	2
179	каждый из	1	2
180	же деле	1	2
181	чем в	1	2
182	здесь в	4	2
183	а с	2	2
184	прежде всего	8	2
185	самом же	1	2
186	одной стороны	4	2
187	тем это	1	2
188	там где	4	2
189	совершенно не	2	2
190	в течение	1	2
191	могут быть	19	2
192	быть только	2	2
193	с этой	3	2
194	вокруг него	2	2
195	и для	4	2
196	только как	1	2
197	из этого	3	2
198	а между	2	1
199	ту же	4	1
200	отношение к	7	1
201	относятся к	1	1
202	и есть	1	1
203	тех форм	1	1
204	из самых	1	1
205	и до	1	1
206	с таким	1	1
207	сливается с	2	1
208	мы уже	2	1
209	например в	2	1
210	тридевять земель	1	1
211	в первый	1	1
212	мы и	2	1
213	полное и	1	1
214	в ней	4	1
215	силы от	1	1
216	в иванов	1	1
217	в различных	1	1
218	которое он	1	1
219	этим не	1	1
220	только два	1	1
221	еще далеко	1	1
222	не входит	1	1
223	к слову	1	1
224	нет и	1	1
225	сила этих	1	1
226	что они	2	1
227	стороны и	1	1
228	в своем	3	1
229	в различные	2	1
230	в одних	1	1
231	в противном	1	1
232	перед нами	4	1
233	и где	1	1
234	хотя и	2	1
235	и наконец	4	1
236	от других	2	1
237	всего как	1	1
238	более или	3	1
239	от этого	2	1
240	в самом	5	1
241	еще на	1	1
242	к необходимости	1	1
243	он в	5	1
244	или во	2	1
245	выражение в	3	1
246	только один	1	1
247	лица и	1	1
248	на то	1	1
249	не могла	2	1
250	и если	1	1
251	вообще не	3	1
252	в нем	30	1
253	так сказать	5	1
254	за тридевять	1	1
255	образом на	1	1
256	всех этих	4	1
257	различные формы	2	1
258	он должен	1	1
259	только в	6	1
260	в нее	1	1
261	по аналогии	1	1
262	эта же	1	1
263	именно это	1	1
264	встречаются и	1	1
265	могла бы	1	1
266	что все	2	1
267	почти каждый	1	1
268	значение в	1	1
269	в другом	2	1
270	связанных с	4	1
271	на все	2	1
272	этих форм	1	1
273	а как	2	1
274	входит в	4	1
275	того или	2	1
276	те или	3	1
277	и дает	1	1
278	чаще всего	1	1
279	только одно	1	1
280	дни в	1	1
281	значение что	1	1
282	или менее	3	1
283	что между	1	1
284	вносят в	2	1
285	таким же	1	1
286	как все	1	1
287	это только	1	1
288	наиболее полное	1	1
289	место в	1	1
290	не от	1	1
291	мир и	1	1
292	свет на	1	1
293	однако в	1	1
294	на всю	3	1
295	из одного	2	1
296	полное описание	1	1
297	при всех	2	1
298	эти формы	1	1
299	дело в	1	1
300	ее с	1	1
301	одних случаях	1	1
302	в основе	5	1
303	солидаризируясь с	1	1
304	следовательно и	3	1
305	есть уже	1	1
306	ничего не	4	1
307	с одним	1	1
308	по своей	1	1
309	такая же	2	1
310	и его	14	1
311	же он	1	1
312	можно рассматривать	1	1
313	звучит в	1	1
314	интересующие нас	1	1
315	этом отношении	1	1
316	не является	2	1
317	и здесь	3	1
318	других случаях	2	1
319	в духе	2	1
320	во все	1	1
321	как только	3	1
322	с полной	1	1
323	и другим	2	1
324	для его	1	1
325	например на	1	1
326	оно не	6	1
327	и это	1	1
328	совпадают с	1	1
329	свою очередь	2	1
330	здесь не	2	1
331	без всякого	1	1
332	в в	1	1
333	ним до	1	1
334	в особенности	8	1
335	и этим	3	1
336	в пределах	14	1
337	приводит к	1	1
338	и иные	1	1
339	и совершенно	1	1
340	поэтому мы	1	1
341	так и	11	1
342	был предметом	1	1
343	на которую	1	1
344	оно все	1	1
345	этим в	1	1
346	могла быть	1	1
347	но у	1	1
348	он был	1	1
349	если бы	1	1
350	и вообще	2	1
351	с ним	7	1
352	погружается в	1	1
353	находится в	1	1
354	сводится к	1	1
355	можно сказать	2	1
356	может не	8	1
357	аналогии с	1	1
358	и во	3	1
359	нас в	2	1
360	и остаются	1	1
361	в его	13	1
362	все время	3	1
363	в другую	1	1
364	и мир	5	1
365	в литературе	1	1
366	уходит в	1	1
367	быть и	4	1
368	но с	1	1
369	сделать это	1	1
370	тот же	1	1
371	в основном	3	1
372	с ними	3	1
373	ли он	4	1
374	в какой	1	1
375	употребляет их	1	1
376	те которые	1	1
377	и так	1	1
378	они могут	7	1
379	только элементы	1	1
380	от них	1	1
381	в эти	1	1
382	какой степени	1	1
383	из которого	1	1
384	же и	2	1
385	акт и	2	1
386	в большинстве	10	1
387	только на	2	1
388	вернуться к	1	1
389	так называемый	1	1
390	входящие в	1	1
391	в борьбу	1	1
392	ни с	1	1
393	был бы	2	1
394	для него	3	1
395	всяком случае	5	1
396	в одном	2	1
397	с девушкой	1	1
398	в состоянии	1	1
399	себя от	2	1
400	к ним	1	1
401	как его	5	1
402	случае не	1	1
403	как раз	2	1
404	не просто	1	1
405	и делать	1	1
406	рядом с	4	1
407	которые как	1	1
408	из своих	2	1
409	время как	2	1
410	в другой	2	1
411	в это	1	1
412	и даже	6	1
413	как у	1	1
414	по своим	6	1
415	в ряде	1	1
416	притом по	1	1
417	и др	14	1
418	месте и	1	1
419	смысла и	3	1
420	не на	5	1
421	на весь	1	1
422	на смерть	1	1
423	в изучении	1	1
424	и следовательно	7	1
425	на которые	2	1
426	может иметь	1	1
427	эти слова	2	1
428	в одной	1	1
429	и потому	4	1
430	в иных	1	1
431	книге о	1	1
432	по своему	2	1
433	он может	2	1
434	которая у	1	1
435	и связанных	2	1
436	был в	1	1
437	и более	1	1
438	быть не	1	1
439	этого слова	1	1
440	и не	16	1
441	активности и	2	1
442	на пути	1	1
443	как более	2	1
444	но это	1	1
445	при всем	3	1
446	и другими	1	1
447	он по	1	1
448	в двух	1	1
449	из различных	1	1
450	от него	1	1
451	тем более	1	1
452	которые в	3	1
453	его к	1	1
454	несмотря на	1	1
455	только с	1	1
456	о своем	1	1
457	в свою	3	1
458	сказать что	2	1
459	другой стороны	4	1
460	они как	2	1
461	введением в	1	1
462	на который	1	1
463	например и	1	1
464	как за	1	1
465	одновременно и	2	1
466	есть и	1	1
467	и становится	1	1
468	во всяком	7	1
469	и эта	2	1
470	как на	1	1
471	все что	1	1
