N	3gram	Losev_Prob_4	Otkroven
1	о великом инквизиторе	1	6
2	в преступлении и	1	3
3	преступлении и наказании	1	3
4	в романах достоевского	1	3
5	для того чтобы	2	3
6	это было бы	1	2
7	легенда о великом	1	2
8	ли сказать что	1	2
9	можно ли сказать	2	2
10	достоевский прежде всего	1	2
11	он прежде всего	1	2
12	по себе есть	1	1
13	как будто бы	2	1
14	по сравнению с	1	1
15	хотя и не	2	1
16	в эпоху возрождения	1	1
17	не в том	1	1
18	в самой жизни	1	1
19	прежде всего в	1	1
20	друг к другу	1	1
21	все это было	1	1
22	лучше сказать с	1	1
23	и все эти	1	1
24	и не очень	1	1
25	о том как	1	1
26	бросается в глаза	1	1
27	у достоевского нет	1	1
28	униженные и оскорбленные	1	1
29	и не может	1	1
30	во всяком случае	4	1
31	всякого человека и	1	1
32	сам по себе	6	1
33	само по себе	1	1
34	о том что	3	1
35	то что в	1	1
36	в вечном муже	2	1
37	вовсе не так	1	1
38	у достоевского не	1	1
39	и прежде всего	2	1
40	чтобы все эти	1	1
41	тысячи лет назад	1	1
42	в том что	8	1
43	на то что	1	1
44	и не в	1	1
45	и то что	1	1
46	но и тут	1	1
47	не в ней	1	1
48	человека в этом	1	1
49	в братьях карамазовых	1	1
50	бы и не	1	1
51	или лучше сказать	1	1
52	хотя бы даже	2	1
53	там и здесь	1	1
54	как и в	1	1
55	не есть просто	1	1
