N	2gram	Berdyaev_M_1	Analitik
1	в этом	20	18
2	не только	29	16
3	и в	28	16
4	в частности	1	16
5	так и	1	15
6	как и	5	14
7	но и	25	12
8	и не	11	12
9	том что	3	12
10	в том	6	12
11	могут быть	2	10
12	а не	25	10
13	как бы	2	10
14	в этой	6	9
15	лишь в	6	9
16	ничего не	3	9
17	в пределах	1	9
18	и даже	1	9
19	то есть	3	9
20	особенно в	3	7
21	к тому	3	7
22	о том	2	7
23	в себе	7	7
24	то что	5	7
25	в самом	11	6
26	и на	6	6
27	но в	7	6
28	в мире	10	6
29	может быть	30	6
30	в сторону	1	5
31	и к	2	5
32	о предопределении	2	5
33	говорит о	1	5
34	между двумя	1	4
35	но не	8	4
36	по отношению	2	4
37	за пределы	4	4
38	как в	2	4
39	в своем	10	4
40	он в	2	4
41	на этом	3	4
42	для него	11	4
43	точки зрения	4	4
44	не в	16	4
45	в конце	7	4
46	не менее	1	4
47	во всех	1	4
48	только в	6	4
49	и его	9	4
50	уже не	4	4
51	не так	3	4
52	у него	17	4
53	не может	28	4
54	о его	1	4
55	все это	6	4
56	отношению к	2	4
57	я и	1	3
58	и то	1	3
59	в их	4	3
60	мы имеем	1	3
61	ему в	1	3
62	не был	7	3
63	ответ на	1	3
64	в центре	2	3
65	ключ к	1	3
66	и сам	1	3
67	его от	1	3
68	удивительно что	1	3
69	не мог	3	3
70	место в	2	3
71	не столько	1	3
72	никогда не	14	3
73	казалось бы	1	3
74	тем что	4	3
75	как будто	2	3
76	приводит к	2	3
77	можно было	1	3
78	если бы	2	3
79	одного из	1	3
80	что и	4	3
81	и все	10	3
82	одной из	1	3
83	так что	1	3
84	я в	1	3
85	было бы	10	3
86	бы в	2	3
87	прежде всего	10	3
88	а в	4	3
89	не знает	4	3
90	с самим	2	3
91	отношения к	4	2
92	и до	1	2
93	а как	2	2
94	и он	12	2
95	собой в	1	2
96	еще не	1	2
97	он был	14	2
98	отличие от	1	2
99	и я	5	2
100	как говорит	1	2
101	в значительной	1	2
102	о жизни	1	2
103	в противоположность	1	2
104	с их	2	2
105	вообще не	2	2
106	он не	24	2
107	что она	1	2
108	значительной степени	1	2
109	же не	1	2
110	них не	1	2
111	это было	1	2
112	на протяжении	2	2
113	он же	1	2
114	он и	2	2
115	еще в	2	2
116	в этих	4	2
117	в своей	15	2
118	в котором	8	2
119	в отличие	1	2
120	стало быть	1	2
121	о себе	3	2
122	и наоборот	1	2
123	она не	4	2
124	в обоих	1	2
125	в то	2	2
126	не имеет	3	2
127	особого рода	1	2
128	всего в	2	2
129	роль в	1	2
130	природе своей	1	2
131	по природе	1	2
132	с ним	2	2
133	что в	10	2
134	о своей	2	2
135	его в	3	2
136	и во	2	2
137	между тем	1	2
138	в его	9	2
139	борьбе с	1	2
140	вообще и	1	2
141	того что	7	2
142	с той	1	2
143	один из	4	2
144	и свободы	4	2
145	себя в	3	2
146	не есть	9	2
147	ни с	4	2
148	одно из	3	2
149	и их	3	2
150	ведь это	2	2
151	в одном	1	2
152	вовсе не	1	2
153	может ли	1	2
154	на этот	2	2
155	его как	2	2
156	о чем	2	2
157	вступает в	1	2
158	вместе с	6	2
159	так же	1	2
160	к его	1	2
161	в столь	1	2
162	в состоянии	1	2
163	о свободе	18	2
164	и для	2	2
165	я всегда	2	2
166	еще более	1	2
167	личности и	1	2
168	от своего	1	2
169	сказать что	2	2
170	т е	2	2
171	выходят за	1	2
172	ли человек	2	2
173	все что	2	2
174	к этому	2	2
175	ко всем	3	1
176	и т	1	1
177	также и	2	1
178	совершенно новый	1	1
179	выражения в	1	1
180	самом деле	1	1
181	переход от	1	1
182	этого мира	3	1
183	к другому	1	1
184	можно лишь	1	1
185	и рассудок	1	1
186	мы уже	1	1
187	есть не	4	1
188	бы уже	1	1
189	производить впечатление	1	1
190	почти все	1	1
191	налагает на	1	1
192	что иное	1	1
193	не вполне	1	1
194	я не	1	1
195	самой своей	1	1
196	о судьбе	1	1
197	собой он	1	1
198	иное как	1	1
199	в последних	1	1
200	и мира	3	1
201	бытие человека	1	1
202	тем как	1	1
203	быть художественно	1	1
204	иных случаях	1	1
205	то он	1	1
206	сил и	1	1
207	и всякий	1	1
208	тех же	1	1
209	не все	2	1
210	могут производить	1	1
211	не принимает	1	1
212	это ни	1	1
213	комнаты и	1	1
214	на человека	2	1
215	когда он	3	1
216	и наконец	1	1
217	его к	1	1
218	искусство и	1	1
219	есть на	1	1
220	со своей	1	1
221	светом и	1	1
222	в которой	6	1
223	бы и	3	1
224	интересно что	1	1
225	привести к	4	1
226	все эти	2	1
227	жизни так	1	1
228	бы не	2	1
229	в иную	1	1
230	свободы но	5	1
231	и те	2	1
232	но ведь	1	1
233	как он	2	1
234	от природы	3	1
235	что вообще	1	1
236	с чем	1	1
237	в нем	13	1
238	вера в	3	1
239	всех этих	1	1
240	к одному	1	1
241	не к	4	1
242	не как	4	1
243	в силу	1	1
244	об отношении	1	1
245	на свободу	3	1
246	антиномии и	1	1
247	этой темы	1	1
