N	3gram	Nazirov_Vr_1	FransuaR
1	в то же	4	6
2	то же время	4	6
3	с точки зрения	2	5
4	до сих пор	1	4
5	не может быть	2	4
6	в этом отношении	1	3
7	все же в	1	3
8	но в то	2	3
9	о том что	1	3
10	с другой стороны	1	3
11	в году в	2	2
12	он как бы	1	2
13	и в то	1	2
14	раз в году	1	2
15	во всяком случае	1	2
16	в ту эпоху	1	2
17	узнает в нем	1	1
18	одна из вариаций	1	1
19	в том же	1	1
20	над тем что	1	1
21	одним из основателей	1	1
22	и не может	1	1
23	что в нем	1	1
24	как и у	3	1
25	был еще относительно	1	1
26	его отношения к	1	1
27	мотивы и образы	2	1
28	в году когда	1	1
29	в конце концов	1	1
30	в году и	2	1
31	не только как	1	1
32	и во всей	1	1
33	не только от	1	1
34	не только не	1	1
35	на то что	1	1
36	но не менее	1	1
37	что уже в	1	1
38	в том что	2	1
39	говорить не будем	1	1
