N	3gram	Tiupa_Narr_1	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	8	6
4	о том что	6	5
5	в конечном счете	2	4
6	дело в том	1	3
7	в соответствии с	1	3
8	по сути дела	2	3
9	том что в	1	2
10	на самом деле	1	2
11	прошлого и будущего	1	2
12	точно так же	2	2
13	по крайней мере	1	2
14	в данном случае	4	2
15	не только в	2	2
16	в году в	1	2
17	пространстве а не	1	2
18	на протяжении всего	1	2
19	можно сказать что	4	2
20	и в то	1	2
21	в русской литературе	1	2
22	тем не менее	3	2
23	что иное как	2	1
24	не может не	2	1
25	да и в	1	1
26	прежде всего они	1	1
27	и того же	1	1
28	занимает особое место	1	1
29	то же самое	1	1
30	в том же	1	1
31	в отрыве от	1	1
32	все та же	2	1
33	пространства и времени	1	1
34	по отношению к	6	1
35	до сих пор	1	1
36	сами по себе	2	1
37	в отличие от	5	1
38	в первую очередь	1	1
39	только то что	1	1
40	в мире не	1	1
41	бы то ни	3	1
42	в финале рассказа	1	1
43	не то что	2	1
44	же время они	1	1
45	некоторые из них	1	1
46	он видит в	1	1
47	ту или иную	2	1
48	и его и	1	1
49	он далек от	1	1
50	не в его	1	1
51	события но и	1	1
52	то ни было	3	1
53	с одной стороны	7	1
54	представляет собой не	2	1
55	в известном смысле	2	1
56	ставит под сомнение	1	1
57	и как бы	1	1
58	как и на	2	1
59	в связи с	2	1
60	составляет один из	1	1
61	так и от	1	1
62	только в качестве	1	1
63	по себе а	1	1
64	если же в	1	1
65	в свою очередь	3	1
66	он не может	1	1
67	с другой стороны	4	1
68	одного и того	1	1
69	бы он ни	1	1
70	на ту или	1	1
71	собой не что	1	1
72	но это не	1	1
73	не что иное	2	1
74	как и в	1	1
75	на первый взгляд	2	1
76	к тому же	4	1
77	является как бы	1	1
78	на наш взгляд	1	1
