N	2gram	Nazirov_Vr_1	Mirosoze
1	у достоевского	4	42
2	может быть	4	30
3	не только	9	29
4	не может	2	28
5	и в	8	28
6	но и	7	25
7	он не	3	24
8	в этом	8	20
9	не было	5	18
10	у него	5	17
11	потому что	1	16
12	в своей	2	15
13	в ней	4	15
14	человека и	1	14
15	он был	3	14
16	до конца	1	14
17	никогда не	2	14
18	и есть	1	14
19	в нем	6	13
20	человека в	3	13
21	и достоевский	2	12
22	и он	2	12
23	и это	2	12
24	он –	1	12
25	и не	5	11
26	в самом	1	11
27	для него	2	11
28	достоевского и	7	10
29	прежде всего	1	10
30	и все	7	10
31	что в	7	10
32	в мире	2	10
33	что он	4	10
34	было бы	1	10
35	из подполья	3	10
36	в своем	3	10
37	но он	3	9
38	достоевского в	7	9
39	достоевский был	2	9
40	в его	3	9
41	и его	3	9
42	достоевского –	2	9
43	человек в	1	9
44	не есть	1	9
45	к достоевскому	6	8
46	но не	1	8
47	в глубине	1	8
48	в котором	6	8
49	в себе	2	7
50	к нему	1	7
51	в конце	3	7
52	подпольного человека	4	7
53	того что	1	7
54	достоевского он	2	7
55	о достоевском	2	7
56	нет ничего	1	7
57	но в	6	7
58	не был	1	7
59	быть может	1	7
60	достоевский не	3	6
61	он сам	2	6
62	вместе с	2	6
63	в том	3	6
64	человек и	1	6
65	в этой	2	6
66	все в	1	6
67	все это	4	6
68	он уже	1	6
69	как и	6	5
70	и я	1	5
71	это не	4	5
72	что есть	3	5
73	у человека	1	5
74	достоевский с	1	5
75	достоевского к	3	5
76	то что	7	5
77	для достоевского	1	5
78	– не	1	5
79	достоевский в	8	5
80	и этот	1	4
81	достоевского не	4	4
82	был в	1	4
83	человека он	1	4
84	всю жизнь	1	4
85	точки зрения	2	4
86	не знал	1	4
87	в их	1	4
88	а в	2	4
89	веру в	1	4
90	отношения к	2	4
91	человека но	1	4
92	в этих	1	4
93	о великом	1	4
94	что достоевский	4	4
95	один из	1	4
96	это и	1	4
97	уже не	2	4
98	в них	2	4
99	тем что	3	4
100	чем у	1	4
101	ни с	1	4
102	был еще	1	4
103	которых он	1	4
104	уже в	4	4
105	отношение к	2	4
106	и с	6	3
107	для нас	4	3
108	христа и	1	3
109	в него	2	3
110	и их	1	3
111	в жизни	1	3
112	не хотел	1	3
113	этот процесс	1	3
114	его в	3	3
115	не мог	2	3
116	в свете	1	3
117	в ее	1	3
118	сам достоевский	3	3
119	в момент	2	3
120	достоевский и	8	3
121	ко всем	1	3
122	с этим	1	3
123	людьми и	1	3
124	ничего не	1	3
125	не имеет	1	3
126	вряд ли	1	3
127	с его	3	3
128	о себе	3	3
129	себя в	1	3
130	преступления и	1	3
131	том что	3	3
132	этом он	1	2
133	по своей	1	2
134	одним из	3	2
135	все же	6	2
136	отношении к	1	2
137	бы в	1	2
138	достоевского с	9	2
139	конце концов	1	2
140	в бесах	10	2
141	жизни и	1	2
142	и самый	1	2
143	в дневнике	4	2
144	его с	2	2
145	людей и	1	2
146	отличается от	1	2
147	никто не	1	2
148	в этот	3	2
149	на этот	1	2
150	был очень	1	2
151	т е	3	2
152	сих пор	1	2
153	с ним	4	2
154	человека достоевский	1	2
155	и во	3	2
156	личность и	2	2
157	в преступлении	1	2
158	до сих	1	2
159	человека с	2	2
160	в истории	4	2
161	великих писателей	2	2
162	эти слова	3	2
163	и достоевского	9	2
164	достоевского о	3	2
165	почувствовал что	1	2
166	героев достоевского	1	2
167	в начале	6	2
168	не хочет	1	2
169	который был	3	2
170	и от	1	2
171	о своей	1	2
172	в той	2	2
173	уж конечно	1	2
174	высшей степени	1	2
175	свободой и	1	2
176	в россии	5	2
177	вопрос и	1	2
178	как в	1	2
179	и уж	1	2
180	которую он	1	2
181	в высшей	1	2
182	в то	5	2
183	как он	1	2
184	он лишь	1	2
185	не все	1	2
186	к этой	1	2
187	к гоголю	1	2
188	о чем	2	2
189	своей души	1	2
190	по своему	1	2
191	человека как	1	2
192	принуждения и	1	2
193	человека к	1	2
194	могут быть	1	2
195	живет в	1	2
196	место в	2	2
197	и что	8	2
198	также и	1	2
199	достоевском и	1	2
200	я всегда	1	2
201	начало в	1	2
202	возвращается к	1	2
203	дневника писателя	1	2
204	о том	4	2
205	достоевский прежде	1	2
206	то время	1	2
207	в каком	1	2
208	и у	3	2
209	к этому	3	2
210	я хотел	3	2
211	достоевского это	1	2
212	привела к	1	2
213	в виду	4	2
214	о нем	6	2
215	и как	3	2
216	еще в	1	2
217	достоевский изобличает	1	2
218	все что	1	2
219	он и	1	2
220	как бы	4	2
221	в свою	2	2
222	и из	1	1
223	достоевский писал	2	1
224	– одна	1	1
225	его болезнь	1	1
226	самому достоевскому	1	1
227	мне все	1	1
228	бесов в	2	1
229	еще до	1	1
230	от них	1	1
231	он пишет	2	1
232	еще не	2	1
233	во всяком	1	1
234	его на	2	1
235	судьбу его	1	1
236	в обоих	1	1
237	ставрогин –	3	1
238	нашей истории	1	1
239	двух великих	2	1
240	с нею	2	1
241	обычно не	1	1
242	ее не	1	1
243	что же	1	1
244	говорит о	1	1
245	жизнь его	1	1
246	что раскрывается	1	1
247	в плане	1	1
248	то он	1	1
249	что они	1	1
250	идет не	1	1
251	и заимствования	1	1
252	пришел к	2	1
253	целый ряд	4	1
254	начинается с	1	1
255	на это	2	1
256	а от	1	1
257	что как	1	1
258	в эти	2	1
259	все свои	1	1
260	и ее	2	1
261	может в	1	1
