N	3gram	Savitsky_E_1	Hudozhes
1	в том что	6	11
2	то же время	14	4
3	в то же	15	4
4	к тому что	1	4
5	не может быть	2	3
6	с одной стороны	8	3
7	для того чтобы	5	3
8	в соответствии с	1	3
9	и в этом	4	2
10	с точки зрения	16	2
11	только в том	2	2
12	и в то	8	2
13	хотя бы и	3	2
14	можно было бы	3	2
15	так же как	5	2
16	в данном случае	2	2
17	не более чем	2	2
18	того или иного	4	2
19	не только в	4	2
20	к тому же	1	2
21	и т д	1	2
22	той или иной	4	1
23	дело в том	1	1
24	же как и	3	1
25	как же обстоит	1	1
26	одной из европейских	1	1
27	и то и	1	1
28	в том случае	1	1
29	бы то ни	4	1
30	в этом отношении	3	1
31	том числе и	1	1
32	то или иное	1	1
33	то и другое	1	1
34	том случае если	1	1
35	в значительной степени	1	1
36	же обстоит дело	1	1
37	а также и	1	1
38	и не было	1	1
39	между тем в	3	1
40	то время как	1	1
41	а также о	1	1
42	как одно из	1	1
43	к ней в	1	1
44	с другой стороны	2	1
45	как и всякая	1	1
46	заключается в том	2	1
47	в то время	1	1
48	та или иная	1	1
49	но и для	1	1
50	именно потому что	1	1
51	можно сказать что	3	1
52	друг от друга	2	1
53	настоящего времени в	1	1
54	в одном из	2	1
55	в том числе	1	1
56	чтобы ответить на	1	1
57	мы стремились показать	1	1
58	в пределах одного	1	1
