1	дело в том что	2	3
2	или по крайней мере	4	2
3	заключается в том что	2	2
4	в том что он	1	2
5	само собой разумеется что	1	2
6	не имеет никакого отношения	1	1
7	в собственном смысле слова	1	1
8	во что бы то	1	1
9	и тем не менее	3	1
10	что бы то ни	1	1
11	все дело заключается в	1	1
12	отрыве от всего прочего	1	1
13	взятое само по себе	2	1
14	в отрыве от всего	1	1
15	и по существу своему	1	1
16	тем не менее по	1	1
17	также и то что	4	1
18	само по себе не	1	1
19	в данном случае мы	1	1
20	точно так же и	1	1
21	взятый сам по себе	2	1
22	имеет никакого отношения к	1	1
23	не что иное как	4	1
24	в то время как	4	1
25	по крайней мере в	1	1
26	бы то ни стало	1	1
