N	4gram	Medvedev_F_3	formyVre
1	в то же время	7	4
2	мы имеем в виду	1	2
3	в том числе и	1	2
4	и в то же	2	2
5	мы еще вернемся в	1	2
6	мы не касаемся здесь	1	1
7	одного и того же	1	1
8	и т п в	2	1
9	не выходит за пределы	1	1
10	с этой точки зрения	1	1
11	пр и пр все	1	1
12	не значит конечно что	1	1
13	и пр все это	2	1
14	это не значит конечно	1	1
15	с другой стороны в	1	1
16	в том что они	1	1
17	все более и более	1	1
18	здесь необходимо остановиться на	1	1
19	и пр и пр	1	1
20	но и помимо этого	1	1
