N	2gram	Nazirov_Tr_1	Problemy
1	и в	18	43
2	и не	7	29
3	т е	1	26
4	может быть	7	23
5	как бы	7	22
6	не может	5	18
7	как и	5	14
8	у достоевского	5	14
9	но и	4	14
10	и т	1	13
11	в этом	9	13
12	что он	6	13
13	в нем	4	12
14	в одном	2	12
15	слова в	1	12
16	не только	8	11
17	не в	2	11
18	по себе	1	11
19	и на	7	10
20	но в	6	10
21	как мы	1	10
22	в его	3	10
23	прежде всего	4	10
24	еще не	4	9
25	он не	2	9
26	никогда не	2	9
27	т п	1	9
28	то же	5	8
29	лишь в	1	8
30	для него	3	8
31	и его	6	8
32	перед нами	2	7
33	в самом	2	7
34	к себе	1	7
35	в то	5	7
36	и сам	3	7
37	в другом	1	7
38	а не	1	7
39	о себе	1	7
40	то что	4	7
41	и наконец	1	6
42	так сказать	1	6
43	при этом	3	6
44	к одному	1	6
45	не как	1	6
46	что я	4	6
47	о нем	1	6
48	в том	2	6
49	что ж	1	6
50	в котором	1	6
51	у него	6	6
52	и все	4	6
53	сам по	1	5
54	самом деле	1	5
55	и он	3	5
56	но не	1	5
57	в себе	4	5
58	все эти	3	5
59	таким образом	1	5
60	и с	7	5
61	рядом с	1	5
62	ну да	1	5
63	о том	2	5
64	и что	4	5
65	же время	6	5
66	к нему	3	5
67	так что	2	5
68	в той	1	5
69	все это	4	5
70	а что	2	5
71	бы в	1	5
72	героя и	1	5
73	достоевского в	3	4
74	и до	2	4
75	а как	2	4
76	я не	4	4
77	с его	2	4
78	во всех	1	4
79	отличие от	2	4
80	вот как	1	4
81	в своем	3	4
82	же не	1	4
83	в них	1	4
84	должно быть	3	4
85	произведениях достоевского	1	4
86	я ведь	2	4
87	в своей	1	4
88	в отличие	2	4
89	но он	1	4
90	как его	1	4
91	в самой	1	4
92	или как	1	4
93	достоевский в	7	4
94	к тому	2	4
95	и это	2	4
96	с собой	1	4
97	только в	1	4
98	в стиле	1	4
99	на этот	1	4
100	до конца	2	4
101	то есть	3	4
102	не могут	2	4
103	но это	4	4
104	в результате	1	4
105	совершенно не	1	4
106	что в	4	4
107	должна быть	1	3
108	той же	1	3
109	в виду	1	3
110	он был	2	3
111	он сам	7	3
112	за пределы	1	3
113	только на	1	3
114	чем у	1	3
115	никому не	1	3
116	я вам	1	3
117	это не	5	3
118	а за	1	3
119	достоевского но	1	3
120	и их	1	3
121	она не	1	3
122	ничего не	2	3
123	во всем	1	3
124	могут быть	1	3
125	не менее	1	3
126	но при	2	3
127	он с	1	3
128	можно было	1	3
129	так и	5	3
130	не за	2	3
131	и даже	4	3
132	с ним	3	3
133	и здесь	2	3
134	между тем	1	3
135	что и	2	3
136	а он	1	3
137	его в	2	3
138	и ее	2	3
139	устной речи	1	3
140	есть в	1	3
141	уже не	2	3
142	героя с	1	3
143	в виде	2	3
144	достоевского не	1	3
145	тем что	2	3
146	в рассказе	2	3
147	он и	2	3
148	в человеке	1	3
149	в романах	1	3
150	все же	5	3
151	голядкина в	1	3
152	для достоевского	2	3
153	в романе	10	3
154	есть и	1	3
155	я и	1	2
156	а между	1	2
157	ту же	1	2
158	чтобы не	1	2
159	человека и	1	2
160	ивана карамазова	2	2
161	из подполья	1	2
162	и о	1	2
163	вопрос о	2	2
164	на себя	1	2
165	быть в	1	2
166	в двойнике	1	2
167	в голове	1	2
168	отношение к	2	2
169	друга и	1	2
170	опирается на	1	2
171	как в	3	2
172	романах достоевского	2	2
173	и как	3	2
174	слова он	1	2
175	в первом	2	2
176	сливается с	1	2
177	бы и	2	2
178	что это	5	2
179	в целом	4	2
180	бы не	1	2
181	как он	1	2
182	и еще	1	2
183	что тут	1	2
184	но все	2	2
185	а затем	1	2
186	конечно в	1	2
187	об этом	4	2
188	знает что	2	2
189	он есть	1	2
190	известно что	1	2
191	лишь на	1	2
192	ни в	2	2
193	достоевского и	1	2
194	для чего	1	2
195	том что	4	2
196	и при	1	2
197	в такой	1	2
198	почти не	1	2
199	что говорит	2	2
200	значение для	1	2
201	но эта	2	2
202	что этот	2	2
203	и то	2	2
204	раз и	2	2
205	того как	1	2
206	одна из	2	2
207	достоевский не	4	2
208	и всегда	1	2
209	его речи	1	2
210	тем не	1	2
211	и эта	1	2
212	что на	1	2
213	перед ним	1	2
214	на суде	3	2
215	указывает на	1	2
216	здесь мы	1	2
217	в конце	3	2
218	и тонко	1	2
219	всего этого	1	2
220	говорили что	1	2
221	в образе	6	2
222	собою но	1	2
223	не был	2	2
224	мире достоевского	1	2
225	в глаза	2	2
226	в форме	1	2
227	что вот	1	2
228	того что	1	2
229	первостепенное значение	1	2
230	уже в	3	2
231	то и	2	2
232	на меня	2	2
233	с другим	1	2
234	как же	2	2
235	и др	1	2
236	что не	1	2
