N	2gram	Berdyaev_O_1	Mirosoze
1	и в	19	46
2	у достоевского	19	34
3	в нем	10	22
4	у него	22	22
5	может быть	11	21
6	в этом	12	20
7	не только	11	18
8	и не	13	18
9	никогда не	9	18
10	для него	5	18
11	есть лишь	4	17
12	во имя	3	16
13	но и	13	15
14	не может	4	15
15	человека в	11	14
16	как и	6	13
17	ведет к	1	13
18	иван карамазов	2	13
19	а не	11	13
20	не есть	2	13
21	к человеку	9	12
22	прежде всего	9	12
23	потому что	9	12
24	и он	8	11
25	не было	9	11
26	но он	7	11
27	в ней	1	11
28	все дозволено	2	11
29	у нас	1	11
30	но в	2	10
31	та же	1	10
32	в себе	3	10
33	он не	7	10
34	достоевский был	3	9
35	он был	8	9
36	не в	11	9
37	и есть	3	8
38	отношение к	5	8
39	и достоевский	1	8
40	в своем	2	8
41	на земле	4	8
42	любовь к	2	8
43	так как	2	8
44	она не	1	8
45	человека к	2	8
46	как бы	3	8
47	но это	1	8
48	до глубины	2	8
49	для достоевского	5	8
50	человека и	10	7
51	связана с	1	7
52	ивана карамазова	7	7
53	человеческой природы	20	7
54	в мире	1	7
55	как в	1	7
56	и к	2	7
57	в этой	5	7
58	человек не	7	7
59	русского человека	5	7
60	человеческой личности	6	7
61	любви к	1	7
62	хотя бы	3	7
63	и потому	2	7
64	и для	2	7
65	что он	3	7
66	вопрос о	10	6
67	достоевского есть	4	6
68	судьба человека	1	6
69	там и	1	6
70	русской души	1	6
71	что это	1	6
72	в бесах	3	6
73	в русской	3	6
74	не могу	1	6
75	он сам	4	6
76	и здесь	1	6
77	доходит до	1	6
78	того что	3	6
79	и там	2	6
80	жизни и	1	6
81	есть не	1	5
82	достоевский раскрывает	5	5
83	к преступлению	1	5
84	друг к	1	5
85	совсем не	2	5
86	в самом	5	5
87	бы и	1	5
88	свободу и	1	5
89	и вот	3	5
90	что она	1	5
91	что все	2	5
92	к другу	1	5
93	бога и	1	5
94	в своей	2	5
95	в отношении	1	5
96	в конце	1	5
97	достоевский не	4	5
98	во всем	1	5
99	и его	4	5
100	и это	1	5
101	достоевского к	2	5
102	это не	3	5
103	один из	1	5
104	человеческого духа	3	5
105	в его	7	5
106	к злу	1	5
107	для того	3	5
108	то что	5	5
109	образ и	1	5
110	и все	10	5
111	также и	1	4
112	все ли	1	4
113	к чему	1	4
114	любовь версилова	1	4
115	с его	4	4
116	вечной жизни	1	4
117	версилова к	1	4
118	думать что	1	4
119	чем у	1	4
120	петр верховенский	1	4
121	в жизни	1	4
122	мити карамазова	2	4
123	народа и	1	4
124	в царстве	1	4
125	том что	2	4
126	не имеет	2	4
127	свободы и	2	4
128	того чтобы	4	4
129	только и	4	4
130	перед ним	1	4
131	они и	1	4
132	что у	2	4
133	так и	2	4
134	ума и	2	4
135	в русском	1	4
136	и женщины	1	4
137	уже не	1	4
138	на поверхности	1	4
139	что и	2	4
140	мужчины и	1	4
141	к гибели	3	4
142	до конца	7	4
143	т е	4	4
144	великого инквизитора	1	4
145	есть уже	1	4
146	человека не	1	4
147	что в	4	4
148	все что	3	4
149	смысле слова	1	3
150	народ в	1	3
151	чтобы не	1	3
152	к другому	1	3
153	человека через	1	3
154	всегда у	1	3
155	и на	2	3
156	человеку и	5	3
157	что нет	1	3
158	достоевского не	4	3
159	со злом	3	3
160	духа и	1	3
161	он в	2	3
162	путь человека	1	3
163	творчество достоевского	2	3
164	в россии	5	3
165	любви любовь	1	3
166	в каждом	1	3
167	и с	2	3
168	в глубине	7	3
169	его в	2	3
170	и аглаю	1	3
171	в них	1	3
172	всю жизнь	1	3
173	и тогда	1	3
174	любовь и	1	3
175	что было	1	3
176	для русского	1	3
177	любви и	1	3
178	можно ли	2	3
179	и против	2	3
180	человека есть	2	3
181	того как	1	3
182	и ивана	2	3
183	русский человек	4	3
184	по своей	1	3
185	людей и	1	3
186	его он	1	3
187	достоевский в	1	3
188	достоевским в	1	3
189	момент в	2	3
190	не существует	1	3
191	в простое	1	3
192	достоевского о	1	3
193	если бы	1	3
194	с ним	3	3
195	о том	3	3
196	не стоит	1	3
197	самого достоевского	3	3
198	нет у	1	3
199	и можно	1	3
